GDTCR,GEX file
WSSS_F_Imm10424040,FCAImmP7555856
WSSS_F_Imm10424041,FCAImmP7555858
WSSS_F_Imm10424042,FCAImmP7555860
WSSS_F_Imm10424043,FCAImmP7555862
WSSS_F_Imm10424044,FCAImmP7579226
WSSS_F_Imm10424045,FCAImmP7579228
WSSS_F_Imm10424046,FCAImmP7579230
WSSS_F_Imm10424047,FCAImmP7579232
WSSS_F_Imm10424048,FCAImmP7292031
WSSS_F_Imm10424049,FCAImmP7292029
WSSS_F_Imm10424050,FCAImmP7292030
WSSS_F_Imm10424051,FCAImmP7803034
WSSS_F_Imm10424052,FCAImmP7803037
WSSS_F_Imm10424053,FCAImmP7803028
WSSS_F_Imm10424054,FCAImmP7862084
WSSS_F_Imm10424055,FCAImmP7964506
WSSS_F_Imm10424056,FCAImmP7292028
WSSS_F_Imm10424057,FCAImmP7555859
WSSS_F_Imm10424058,FCAImmP7579224
WSSS_F_Imm10424059,FCAImmP7803017
WSSS_F_Imm10424060,FCAImmP7803021
WSSS_F_Imm10424061,FCAImmP7803025
WSSS_F_Imm10424062,FCAImmP7862088
WSSS_F_Imm11279975,FCAImmP7555861
WSSS_F_Imm11279976,FCAImmP7579231
WSSS_F_Imm12128717,Human_colon_16S8159182
WSSS_F_Imm12128718,Human_colon_16S8159183
WSSS_F_Imm12128719,Human_colon_16S8159184
WSSS_F_Imm12128720,Human_colon_16S8159185
WSSS_F_Imm12128721,Human_colon_16S8159186
WSSS_F_Imm12128722,Human_colon_16S8159187
WSSS_F_Imm12128723,Human_colon_16S8159188
WSSS_F_Imm12128724,Human_colon_16S8159189
WSSS_F_Imm12128725,Human_colon_16S8159190
