,anno_group,updated_anno
0,NK/ILC/T CELLS,DN(P)_DN(EARLY) T CELL
1,NK/ILC/T CELLS,DN(Q) T CELL
2,NK/ILC/T CELLS,DP(Q) T CELL
3,NK/ILC/T CELLS,DP(P) T CELL
4,NK/ILC/T CELLS,ABT(ENTRY)
5,NK/ILC/T CELLS,CD4+T
6,NK/ILC/T CELLS,CD8+T
7,NK/ILC/T CELLS,CD8AA
8,NK/ILC/T CELLS,TREG
9,NK/ILC/T CELLS,TH17
10,NK/ILC/T CELLS,NK T
11,NK/ILC/T CELLS,NK
0,B CELLS,PRE PRO B CELL
1,B CELLS,PRO B CELL
2,B CELLS,LATE PRO B CELL
3,B CELLS,PRO TO PRE B CELL
4,B CELLS,SMALL PRE B CELL
5,B CELLS,LARGE PRE B CELL
6,B CELLS,PRE B CELL
7,B CELLS,IMMATURE B CELL
8,B CELLS,MATURE B CELL
9,B CELLS,B1 CELL
10,B CELLS,PLASMA B CELL
0,ILC,ILCP
1,ILC,ILC2
2,ILC,ILC3
3,ILC,CYCLING ILC
0,EO/BASO/MAST,BASOPHIL
1,EO/BASO/MAST,EOSINOPHIL_MOP
2,EO/BASO/MAST,MAST_CELL
0,MYELOID,PROMYELOCYTE
1,MYELOID,MYELOCYTE
2,MYELOID,NEUTROPHIL
3,MYELOID,MONO_MAC
4,MYELOID,ERY_MAC
5,MYELOID,KUPFFER
6,MYELOID,LANGERHAN CELLS
7,MYELOID,LYMPHOID_SCAVENGING_MAC
8,MYELOID,MAC
9,MYELOID,MZM
10,MYELOID,MZM_(BAFF)
11,MYELOID,RP_MAC
12,MYELOID,STROMAL_MAC
13,MYELOID,PROMONOCYTE
14,MYELOID,CD14_MONOCYTE
15,MYELOID,PDC_PROGEN
16,MYELOID,MYELOID_DC_PROGEN
17,MYELOID,DC_PROGEN
18,MYELOID,DC1
19,MYELOID,DC2
20,MYELOID,DC3
21,MYELOID,PDC
0,PROGENITORS,HSC_MPP
1,PROGENITORS,CMP
2,PROGENITORS,MEMP
3,PROGENITORS,GMP
4,PROGENITORS,MPP_MYE
5,PROGENITORS,CLP
6,PROGENITORS,ELP
7,PROGENITORS,PROGENITOR
0,ERYTHROID,EARLY_ERYTHROID
1,ERYTHROID,MID_ERYTHROID
2,ERYTHROID,LATE_ERYTHROID
3,ERYTHROID,GOWER1_ERY
0,MK,EARLY_MK
1,MK,MK
