,gene,anno_lvl_2
0,CLEC9A,HSC_MPP
1,CD34,HSC_MPP
2,CD34,CMP
3,CD34,ELP
4,SPINK2,HSC_MPP
5,SPINK2,CMP
6,SPINK2,ELP
7,MPO,CMP
8,CSF1R,CMP
9,IL7R,ELP
10,KIT,HSC_MPP
11,KIT,CMP
12,KIT,ELP
13,FLT3,HSC_MPP
14,FLT3,CMP
15,FLT3,ELP
16,FLT3,PRE PRO B CELL
17,CD19,PRE PRO B CELL
18,CD19,PRO B CELL
19,CD19,LATE PRO B CELL
20,CD19,PRO TO PRE B CELL
21,CD19,LARGE PRE B CELL
22,CD19,SMALL PRE B CELL
23,CD19,IMMATURE B CELL
24,CD19,MATURE B CELL
25,CD19,CYCLING B/B1 CELL
26,CD19,PLASMA B CELL
27,VPREB1,PRE PRO B CELL
28,VPREB1,PRO B CELL
29,VPREB1,LATE PRO B CELL
30,VPREB1,PRO TO PRE B CELL
31,VPREB1,LARGE PRE B CELL
32,VPREB1,SMALL PRE B CELL
33,MME,PRO B CELL
34,MME,LATE PRO B CELL
35,MME,PRO TO PRE B CELL
36,MME,LARGE PRE B CELL
37,MME,SMALL PRE B CELL
38,CDC45,PRO B CELL
39,CDC45,PRO TO PRE B CELL
40,CDC45,LARGE PRE B CELL
41,DHFR,PRO B CELL
42,DHFR,PRO TO PRE B CELL
43,DHFR,LARGE PRE B CELL
44,MKI67,PRO B CELL
45,MKI67,PRO TO PRE B CELL
46,MKI67,LARGE PRE B CELL
47,MKI67,CYCLING B/B1 CELL
48,CD27,LATE PRO B CELL
49,CD27,CYCLING B/B1 CELL
50,CD27,PLASMA B CELL
51,RAG1,PRE PRO B CELL
52,RAG1,PRO B CELL
53,RAG1,LATE PRO B CELL
54,RAG1,LARGE PRE B CELL
55,RAG1,SMALL PRE B CELL
56,DNTT,PRO B CELL
57,DNTT,LATE PRO B CELL
58,MS4A1,PRE PRO B CELL
59,MS4A1,PRO TO PRE B CELL
60,MS4A1,IMMATURE B CELL
61,MS4A1,MATURE B CELL
62,MS4A1,CYCLING B/B1 CELL
63,MS4A1,PLASMA B CELL
64,CD24,PRO B CELL
65,CD24,LATE PRO B CELL
66,CD24,PRO TO PRE B CELL
67,CD24,LARGE PRE B CELL
68,CD24,SMALL PRE B CELL
69,CD24,IMMATURE B CELL
70,CD24,MATURE B CELL
71,CD24,CYCLING B/B1 CELL
72,TNFRSF17,LARGE PRE B CELL
73,TNFRSF17,SMALL PRE B CELL
74,TNFRSF17,PLASMA B CELL
75,MME,PRO B CELL
76,MME,LATE PRO B CELL
77,MME,PRO TO PRE B CELL
78,MME,LARGE PRE B CELL
79,MME,SMALL PRE B CELL
80,IDH2,PRO TO PRE B CELL
81,IDH2,LARGE PRE B CELL
82,SPIB,IMMATURE B CELL
83,CD40,IMMATURE B CELL
84,CD40,MATURE B CELL
85,CD40,CYCLING B/B1 CELL
86,CD40,PLASMA B CELL
87,FCER2,IMMATURE B CELL
88,FCER2,MATURE B CELL
89,FCER2,CYCLING B/B1 CELL
90,FCER2,PLASMA B CELL
91,CD5,CYCLING B/B1 CELL
92,SPN,CYCLING B/B1 CELL
93,JCHAIN,PLASMA B CELL
94,SDC1,PLASMA B CELL
95,CD38,PLASMA B CELL
