,gene,anno_lvl_2
0,C1QA,ERYTHROID_MACROPHAGE
1,C1QB,ERYTHROID_MACROPHAGE
2,TYROBP,ERYTHROID_MACROPHAGE
3,C1QC,ERYTHROID_MACROPHAGE
4,CD74,ERYTHROID_MACROPHAGE
5,HMOX1,ERYTHROID_MACROPHAGE
6,S100A11,ERYTHROID_MACROPHAGE
7,FCER1G,ERYTHROID_MACROPHAGE
8,LGMN,ERYTHROID_MACROPHAGE
9,HLA-DRA,ERYTHROID_MACROPHAGE
10,SERPINB1,MEMP
11,AIF1,MEMP
12,PKM,MEMP
13,ARHGDIB,MEMP
14,GATA2,MEMP
15,SRGN,MEMP
16,GMFG,MEMP
17,FCER1A,MEMP
18,CLIC1,MEMP
19,ACTG1,MEMP
20,GP9,MK
21,RGS18,MK
22,LAT,MK
23,CMTM6,MK
24,CMTM5,MK
25,HLA-B,MK
26,SLC2A3,MK
27,PDLIM1,MK
28,C6orf25,MK
29,LIMS1,MK
30,CD74,PRE_PRO_B
31,HLA-B,PRE_PRO_B
32,HLA-DRA,PRE_PRO_B
33,CD79B,PRE_PRO_B
34,RCSD1,PRE_PRO_B
35,LAPTM5,PRE_PRO_B
36,TMSB10,PRE_PRO_B
37,B2M,PRE_PRO_B
38,VPREB3,PRE_PRO_B
39,CD52,PRE_PRO_B
40,FAM213A,EARLY_ERYTHROID
41,MT1X,EARLY_ERYTHROID
42,SLC39A8,EARLY_ERYTHROID
43,MT2A,EARLY_ERYTHROID
44,MT1G,EARLY_ERYTHROID
45,MT1F,EARLY_ERYTHROID
46,HBE1,EARLY_ERYTHROID
47,MT1H,EARLY_ERYTHROID
48,MT1E,EARLY_ERYTHROID
49,FTL,EARLY_ERYTHROID
50,HBB,LATE_ERYTHROID
51,HBM,LATE_ERYTHROID
52,SLC4A1,LATE_ERYTHROID
53,HBG2,LATE_ERYTHROID
54,HEMGN,LATE_ERYTHROID
55,ALAS2,LATE_ERYTHROID
56,TSPO2,LATE_ERYTHROID
57,HBA2,LATE_ERYTHROID
58,RHCE,LATE_ERYTHROID
59,GYPA,LATE_ERYTHROID
60,CD36,MID_ERYTHROID
61,S100A6,MID_ERYTHROID
62,OAT,MID_ERYTHROID
63,UBAC1,MID_ERYTHROID
64,TMEM14B,MID_ERYTHROID
65,SYNGR1,MID_ERYTHROID
66,PRDX2,MID_ERYTHROID
67,HEBP1,MID_ERYTHROID
68,KCNH2,MID_ERYTHROID
69,AHSP,MID_ERYTHROID
