,gene,anno_lvl_2
0,CD34,DN(EARLY) T CELL
1,IGLL1,DN(EARLY) T CELL
2,ST18,DN(EARLY) T CELL
3,CD3D,DN(EARLY) T CELL
4,BCL11B,DN(EARLY) T CELL
5,TRGC2,DN(P) T CELL
6,TRDC,DN(P) T CELL
7,HIVEP3,DN(P) T CELL
8,RAG1,DN(P) T CELL
9,RAG2,DN(P) T CELL
10,TP53INP1,DN(P) T CELL
11,PTCRA,DN(P) T CELL
12,RGPD3,DN(P) T CELL
13,FLT3,PRE PRO B CELL
14,CD19,PRE PRO B CELL
15,VPREB1,PRE PRO B CELL
16,RAG1,PRE PRO B CELL
17,MS4A1,PRE PRO B CELL
18,CD34,LMPP_ELP
19,SPINK2,LMPP_ELP
20,GATA2,LMPP_ELP
21,IL7R,LMPP_ELP
22,IL2RG,LMPP_ELP
23,CD34,HSC_MPP
24,CLEC9A,HSC_MPP
25,SPINK2,HSC_MPP
26,MKI67,CYCLING MPP
27,MKI67,CYCLING MEMP
28,CD34,MEMP
29,SPINK2,MEMP
30,GATA2,MEMP
31,KLF1,MEP
32,ITGA2B,MEP
33,GATA2,MEP
34,,EARLY MK
35,,PROMONOCYTE
36,,CMP
37,,PROMYELOCYTE
38,,GMP
