cluster,gene
ASDC_tDC,JAML
ASDC_tDC,CIITA
ASDC_tDC,FGD2
ASDC_tDC,ACY3
ASDC_tDC,CLEC10A
ASDC_tDC,ACY3
ASDC_tDC,AXL
ASDC_tDC,SIGLEC6
ASDC_tDC,ADAM28
B_lymphoid,LTB
B_lymphoid,JCHAIN
B_lymphoid,SOX4
B_lymphoid,ITGA4
B_lymphoid,CD79A
B_lymphoid,ADA
B_lymphoid,CD7
B_lymphoid,HNRNPA1
B_lymphoid,IGLL1
B_lymphoid,MS4A1
CD14+_Macrophage,CD14
CD14+_Macrophage,F13A1
CD14+_Macrophage,RNASE1
CD14+_Macrophage,SPP1
CD14+_Macrophage,AGR2
CD14+_Macrophage,STAB1
CD14+_Macrophage,LYVE1
CD14+_Macrophage,DAB2
CD14+_Macrophage,PLTP
CD14+_Macrophage,MRC1
CD14+_Macrophage,CD36
CD16+_Macrophage,HLA-DPA1
CD16+_Macrophage,HLA-DPB1
CD16+_Macrophage,HLA-DRA
CD16+_Macrophage,HLA-DRB1
CD16+_Macrophage,HLA-DMA
CD16+_Macrophage,RNASE6
CD16+_Macrophage,HLA-DMB
CD16+_Macrophage,HLA-DRB5
CD16+_Macrophage,CST3
DC1,HLA-DQB1
DC1,HLA-DQA1
DC1,HLA-DPB1
DC1,HLA-DPA1
DC1,CD74
DC1,CLEC9A
DC1,S100B
DC1,IDO1
DC1,LGALS2
DC1,PCNA
DC2,HLA-DPA1
DC2,HLA-DPB1
DC2,CLEC10A
DC2,HLA-DQB1
DC2,HLA-DRA
DC2,HLA-DRB1
DC2,HLA-DRB5
DC2,ITGAX
DC2,JAML
DC2,CLEC10
DC3,GPR183
DC3,PLD4
DC3,CLEC10A
DC3,S100A4
DC3,S100A
DC3,LSP1
DC3,CST3
DC3,RETN
DC3,NKG7
DC3,JAML
ERY_Mac,HMOX1
ERY_Mac,LIPA
ERY_Mac,FTL
ERY_Mac,CTSB
ERY_Mac,C1QB
ERY_Mac,LGMN
ERY_Mac,C1QC
ERY_Mac,CTSL
ERY_Mac,C1QA
ERY_Mac,MS4A7
ERY_Mac,CETP
HSC_CMP,SMIM24
HSC_CMP,RPS3
HSC_CMP,LDHB
HSC_CMP,NPM1
HSC_CMP,RPL3
HSC_CMP,SPINK2
HSC_CMP,RPS14
HSC_CMP,EEF1B2
HSC_CMP,RPS4X
HSC_CMP,HMGA1
MZM_Mac,VCAM1
MZM_Mac,SIGLEC1
MZM_Mac,CD209
MZM_Mac,BAG3
MZM_Mac,HSPB1
MZM_Mac,APOC1
MZM_Mac,NR1H3
MZM_Mac,LTB
MZM_Mac,APOOL
MZM_Mac,APOOL
MZM_Mac,CYSLTR1
MZM_Mac,CD68
Mac,APOC1
Mac,CTSD
Mac,SPP1
Mac,APOE
Mac,CSTB
Mac,PSAP
Mac,NPC2
Mac,CD63
Mac,LGALS3
Mac,TREM2
Mono,FCN1
Mono,S100A9
Mono,S100A6
Mono,S100A8
Mono,MNDA
Mono,S100A12
Mono,CSTA
Mono,CD52
Mono,LYZ
Mono,VCAN
Mono_4,BCL2A1
Mono_4,PLAUR
Mono_4,FCN1
Mono_4,IL1B
Mono_4,NAMPT
Mono_4,S100A6
Mono_4,VCAN
Mono_4,S100A9
Mono_4,S100A8
Mono_4,SOD2
NK_lymph,LTB
NK_lymph,BTG1
NK_lymph,CD69
NK_lymph,CD52
NK_lymph,CD7
NK_lymph,CXCR4
NK_lymph,KLRB1
NK_lymph,IFITM1
NK_lymph,ETS1
NK_lymph,NKG7
OLFML3+_microglia,MDK
OLFML3+_microglia,SPARC
OLFML3+_microglia,COL1A2
OLFML3+_microglia,OLFML3
OLFML3+_microglia,HTRA1
OLFML3+_microglia,BHLHE41
OLFML3+_microglia,COL6A2
OLFML3+_microglia,FSTL1
OLFML3+_microglia,BEX3
OLFML3+_microglia,DCN
Osteoclast,MMP9
Osteoclast,ACP5
Osteoclast,ANXA2
Osteoclast,RGS10
Osteoclast,ATP6V1G1
Osteoclast,NDUFS8
Osteoclast,CTSK
Osteoclast,CKB
Osteoclast,RAB13
Osteoclast,ATP5MD
Proliferating_Mac,AGR2
Proliferating_Mac,TOP2A
Proliferating_Mac,TUBA1B
Proliferating_Mac,STMN1
Proliferating_Mac,STAB1
Proliferating_Mac,RNASE1
Proliferating_Mac,TUBB
Proliferating_Mac,MKI67
Proliferating_Mac,H2AFZ
Proliferating_Mac,HMGN2
Promonocyte_(proliferating),LYZ
Promonocyte_(proliferating),RETN
Promonocyte_(proliferating),RNASE2
Promonocyte_(proliferating),HMGB2
Promonocyte_(proliferating),S100A8
Promonocyte_(proliferating),MNDA
Promonocyte_(proliferating),CSTA
Promonocyte_(proliferating),TSPO
Promonocyte_(proliferating),MKI67
Promonocyte_(proliferating),S100A9
RP_Mac,TUBA1B
RP_Mac,TIMD4
RP_Mac,CTSD
RP_Mac,FTL
RP_Mac,TUBB
RP_Mac,HMOX1
RP_Mac,H2AFZ
RP_Mac,SLC40A1
RP_Mac,C1QB
RP_Mac,LIPA
RP_mac_(iron_reclying),HMOX1
RP_mac_(iron_reclying),C1QB
RP_mac_(iron_reclying),FTL
RP_mac_(iron_reclying),SIGLEC1
RP_mac_(iron_reclying),SPIC
RP_mac_(iron_reclying),VCAM1
RP_mac_(iron_reclying),MRC1
RP_mac_(iron_reclying),HBA2
RP_mac_(iron_reclying),HBA1
RP_mac_(iron_reclying),BPGM
eo/baso/mast,CPA3
eo/baso/mast,GATA2
eo/baso/mast,HDC
eo/baso/mast,RHEX
eo/baso/mast,SLC18A2
eo/baso/mast,LMO4
eo/baso/mast,AL157895.1
eo/baso/mast,IL1RL1
eo/baso/mast,HPGDS
eo/baso/mast,HPGD
neutrophil,S100A8
neutrophil,RETN
neutrophil,S100P
neutrophil,PGLYRP1
neutrophil,S100A9
neutrophil,NKG7
neutrophil,BPI
neutrophil,DEFA1B
neutrophil,CEACAM8
neutrophil,DEFA1
promonocyte,MPO
promonocyte,AZU1
promonocyte,LYZ
promonocyte,RNASE2
promonocyte,PRTN3
promonocyte,MS4A3
promonocyte,CTSG
promonocyte,RETN
promonocyte,PLAC8
promonocyte,CLEC11A
ys_Mac,SPP1
ys_Mac,TTR
ys_Mac,CXCL8
ys_Mac,IER3
ys_Mac,APOA2
ys_Mac,CCL3
ys_Mac,APOA1
ys_Mac,APOC3
ys_Mac,CCL4L2
ys_Mac,CCL4
