,gene,anno_lvl_2
0,JAML,ASDC_TDC
1,CIITA,ASDC_TDC
2,FGD2,ASDC_TDC
3,ACY3,ASDC_TDC
4,CLEC10A,ASDC_TDC
5,ACY3,ASDC_TDC
6,AXL,ASDC_TDC
7,SIGLEC6,ASDC_TDC
8,ADAM28,ASDC_TDC
9,LTB,B_LYMPHOID
10,JCHAIN,B_LYMPHOID
11,SOX4,B_LYMPHOID
12,ITGA4,B_LYMPHOID
13,CD79A,B_LYMPHOID
14,ADA,B_LYMPHOID
15,CD7,B_LYMPHOID
16,HNRNPA1,B_LYMPHOID
17,IGLL1,B_LYMPHOID
18,MS4A1,B_LYMPHOID
19,CD14,CD14+_MACROPHAGE
20,F13A1,CD14+_MACROPHAGE
21,RNASE1,CD14+_MACROPHAGE
22,SPP1,CD14+_MACROPHAGE
23,AGR2,CD14+_MACROPHAGE
24,STAB1,CD14+_MACROPHAGE
25,LYVE1,CD14+_MACROPHAGE
26,DAB2,CD14+_MACROPHAGE
27,PLTP,CD14+_MACROPHAGE
28,MRC1,CD14+_MACROPHAGE
29,CD36,CD14+_MACROPHAGE
30,HLA-DPA1,CD16+_MACROPHAGE
31,HLA-DPB1,CD16+_MACROPHAGE
32,HLA-DRA,CD16+_MACROPHAGE
33,HLA-DRB1,CD16+_MACROPHAGE
34,HLA-DMA,CD16+_MACROPHAGE
35,RNASE6,CD16+_MACROPHAGE
36,HLA-DMB,CD16+_MACROPHAGE
37,HLA-DRB5,CD16+_MACROPHAGE
38,CST3,CD16+_MACROPHAGE
39,HLA-DQB1,DC1
40,HLA-DQA1,DC1
41,HLA-DPB1,DC1
42,HLA-DPA1,DC1
43,CD74,DC1
44,CLEC9A,DC1
45,S100B,DC1
46,IDO1,DC1
47,LGALS2,DC1
48,PCNA,DC1
49,HLA-DPA1,DC2
50,HLA-DPB1,DC2
51,CLEC10A,DC2
52,HLA-DQB1,DC2
53,HLA-DRA,DC2
54,HLA-DRB1,DC2
55,HLA-DRB5,DC2
56,ITGAX,DC2
57,JAML,DC2
58,CLEC10,DC2
59,GPR183,DC3
60,PLD4,DC3
61,CLEC10A,DC3
62,S100A4,DC3
63,S100A,DC3
64,LSP1,DC3
65,CST3,DC3
66,RETN,DC3
67,NKG7,DC3
68,JAML,DC3
69,HMOX1,ERY_MAC
70,LIPA,ERY_MAC
71,FTL,ERY_MAC
72,CTSB,ERY_MAC
73,C1QB,ERY_MAC
74,LGMN,ERY_MAC
75,C1QC,ERY_MAC
76,CTSL,ERY_MAC
77,C1QA,ERY_MAC
78,MS4A7,ERY_MAC
79,CETP,ERY_MAC
80,SMIM24,HSC_CMP
81,RPS3,HSC_CMP
82,LDHB,HSC_CMP
83,NPM1,HSC_CMP
84,RPL3,HSC_CMP
85,SPINK2,HSC_CMP
86,RPS14,HSC_CMP
87,EEF1B2,HSC_CMP
88,RPS4X,HSC_CMP
89,HMGA1,HSC_CMP
90,VCAM1,MZM_MAC
91,SIGLEC1,MZM_MAC
92,CD209,MZM_MAC
93,BAG3,MZM_MAC
94,HSPB1,MZM_MAC
95,APOC1,MZM_MAC
96,NR1H3,MZM_MAC
97,LTB,MZM_MAC
98,APOOL,MZM_MAC
99,APOOL,MZM_MAC
100,CYSLTR1,MZM_MAC
101,CD68,MZM_MAC
102,APOC1,MAC
103,CTSD,MAC
104,SPP1,MAC
105,APOE,MAC
106,CSTB,MAC
107,PSAP,MAC
108,NPC2,MAC
109,CD63,MAC
110,LGALS3,MAC
111,TREM2,MAC
112,FCN1,MONO
113,S100A9,MONO
114,S100A6,MONO
115,S100A8,MONO
116,MNDA,MONO
117,S100A12,MONO
118,CSTA,MONO
119,CD52,MONO
120,LYZ,MONO
121,VCAN,MONO
122,BCL2A1,MONO_4
123,PLAUR,MONO_4
124,FCN1,MONO_4
125,IL1B,MONO_4
126,NAMPT,MONO_4
127,S100A6,MONO_4
128,VCAN,MONO_4
129,S100A9,MONO_4
130,S100A8,MONO_4
131,SOD2,MONO_4
132,LTB,NK_LYMPH
133,BTG1,NK_LYMPH
134,CD69,NK_LYMPH
135,CD52,NK_LYMPH
136,CD7,NK_LYMPH
137,CXCR4,NK_LYMPH
138,KLRB1,NK_LYMPH
139,IFITM1,NK_LYMPH
140,ETS1,NK_LYMPH
141,NKG7,NK_LYMPH
142,MDK,OLFML3+_MICROGLIA
143,SPARC,OLFML3+_MICROGLIA
144,COL1A2,OLFML3+_MICROGLIA
145,OLFML3,OLFML3+_MICROGLIA
146,HTRA1,OLFML3+_MICROGLIA
147,BHLHE41,OLFML3+_MICROGLIA
148,COL6A2,OLFML3+_MICROGLIA
149,FSTL1,OLFML3+_MICROGLIA
150,BEX3,OLFML3+_MICROGLIA
151,DCN,OLFML3+_MICROGLIA
152,MMP9,OSTEOCLAST
153,ACP5,OSTEOCLAST
154,ANXA2,OSTEOCLAST
155,RGS10,OSTEOCLAST
156,ATP6V1G1,OSTEOCLAST
157,NDUFS8,OSTEOCLAST
158,CTSK,OSTEOCLAST
159,CKB,OSTEOCLAST
160,RAB13,OSTEOCLAST
161,ATP5MD,OSTEOCLAST
162,AGR2,PROLIFERATING_MAC
163,TOP2A,PROLIFERATING_MAC
164,TUBA1B,PROLIFERATING_MAC
165,STMN1,PROLIFERATING_MAC
166,STAB1,PROLIFERATING_MAC
167,RNASE1,PROLIFERATING_MAC
168,TUBB,PROLIFERATING_MAC
169,MKI67,PROLIFERATING_MAC
170,H2AFZ,PROLIFERATING_MAC
171,HMGN2,PROLIFERATING_MAC
172,LYZ,PROMONOCYTE_(PROLIFERATING)
173,RETN,PROMONOCYTE_(PROLIFERATING)
174,RNASE2,PROMONOCYTE_(PROLIFERATING)
175,HMGB2,PROMONOCYTE_(PROLIFERATING)
176,S100A8,PROMONOCYTE_(PROLIFERATING)
177,MNDA,PROMONOCYTE_(PROLIFERATING)
178,CSTA,PROMONOCYTE_(PROLIFERATING)
179,TSPO,PROMONOCYTE_(PROLIFERATING)
180,MKI67,PROMONOCYTE_(PROLIFERATING)
181,S100A9,PROMONOCYTE_(PROLIFERATING)
182,TUBA1B,RP_MAC
183,TIMD4,RP_MAC
184,CTSD,RP_MAC
185,FTL,RP_MAC
186,TUBB,RP_MAC
187,HMOX1,RP_MAC
188,H2AFZ,RP_MAC
189,SLC40A1,RP_MAC
190,C1QB,RP_MAC
191,LIPA,RP_MAC
192,HMOX1,RP_MAC_(IRON_RECLYING)
193,C1QB,RP_MAC_(IRON_RECLYING)
194,FTL,RP_MAC_(IRON_RECLYING)
195,SIGLEC1,RP_MAC_(IRON_RECLYING)
196,SPIC,RP_MAC_(IRON_RECLYING)
197,VCAM1,RP_MAC_(IRON_RECLYING)
198,MRC1,RP_MAC_(IRON_RECLYING)
199,HBA2,RP_MAC_(IRON_RECLYING)
200,HBA1,RP_MAC_(IRON_RECLYING)
201,BPGM,RP_MAC_(IRON_RECLYING)
202,CPA3,EO/BASO/MAST
203,GATA2,EO/BASO/MAST
204,HDC,EO/BASO/MAST
205,RHEX,EO/BASO/MAST
206,SLC18A2,EO/BASO/MAST
207,LMO4,EO/BASO/MAST
208,AL157895.1,EO/BASO/MAST
209,IL1RL1,EO/BASO/MAST
210,HPGDS,EO/BASO/MAST
211,HPGD,EO/BASO/MAST
212,S100A8,NEUTROPHIL
213,RETN,NEUTROPHIL
214,S100P,NEUTROPHIL
215,PGLYRP1,NEUTROPHIL
216,S100A9,NEUTROPHIL
217,NKG7,NEUTROPHIL
218,BPI,NEUTROPHIL
219,DEFA1B,NEUTROPHIL
220,CEACAM8,NEUTROPHIL
221,DEFA1,NEUTROPHIL
222,MPO,PROMONOCYTE
223,AZU1,PROMONOCYTE
224,LYZ,PROMONOCYTE
225,RNASE2,PROMONOCYTE
226,PRTN3,PROMONOCYTE
227,MS4A3,PROMONOCYTE
228,CTSG,PROMONOCYTE
229,RETN,PROMONOCYTE
230,PLAC8,PROMONOCYTE
231,CLEC11A,PROMONOCYTE
232,SPP1,YS_MAC
233,TTR,YS_MAC
234,CXCL8,YS_MAC
235,IER3,YS_MAC
236,APOA2,YS_MAC
237,CCL3,YS_MAC
238,APOA1,YS_MAC
239,APOC3,YS_MAC
240,CCL4L2,YS_MAC
241,CCL4,YS_MAC
