,gene,anno_lvl_2
0,IGLL1,DN(EARLY)
1,ST18,DN(EARLY)
2,TRGC2,DN(P)
3,TRDC,DN(P)
4,HIVEP3,DN(P)
5,HIVEP3,DN(Q)
6,RAG1,DN(P)
7,RAG1,DN(Q)
8,RAG1,DP(P)
9,RAG1,DP(Q)
10,RAG2,DN(P)
11,RAG2,DN(Q)
12,RAG2,DP(P)
13,RAG2,DP(Q)
14,TP53INP1,DN(P)
15,TP53INP1,DN(Q)
16,PTCRA,DN(P)
17,PTCRA,DN(Q)
18,PTCRA,DP(P)
19,PTCRA,DP(Q)
20,RGPD3,DN(P)
21,RGPD3,DN(Q)
22,SMPD3,DP(P)
23,SMPD3,DP(Q)
24,AQP3,DP(P)
25,AQP3,DP(Q)
26,RORC,DP(P)
27,RORC,DP(Q)
28,RORC,ILC3
29,CCR9,ABT(ENTRY)
30,SATB1,ABT(ENTRY)
31,TOX2,ABT(ENTRY)
32,CCR7,CD8+T
33,CCR7,CD4+T
34,CCR7,CYCLING T
35,CD5,CD8+T
36,CD5,CD4+T
37,CD5,CYCLING T
38,CD5,TREG
39,CD5,CD8AA
40,CD27,CD8+T
41,CD27,CD4+T
42,CD27,CYCLING T
43,CD27,TREG
44,CD27,CD8AA
45,CD27,NK T
46,CD8A,DP(P)
47,CD8A,DP(Q)
48,CD8A,CD8+T
49,CD8A,CD8AA
50,CD8B,DP(P)
51,CD8B,DP(Q)
52,CD8B,CD8+T
53,CD4,DP(P)
54,CD4,DP(Q)
55,CD4,CD4+T
56,CD4,TREG
57,FOXP3,TREG
58,CTLA4,TREG
59,PDCD1,CD8AA
60,GNG4,CD8AA
61,KLRB1,ILC2
62,KLRB1,ILC3
63,KLRB1,NK T
64,KLRB1,NK
65,KLRB1,CYCLING NK
66,IL7R,ILC2
67,IL7R,ILC3
68,IL7R,NK T
69,PTGDR2,ILC2
70,HPGDS,ILC2
71,GATA3,ILC2
72,IL1R1,ILC3
73,IL23R,ILC3
74,KIT,ILC3
75,NKG7,NK T
76,NKG7,NK
77,NKG7,CYCLING NK
78,EOMES,NK T
79,EOMES,NK
80,EOMES,CYCLING NK
81,IFNG-AS1,NK T
82,KLRD1,NK T
83,KLRD1,NK
84,KLRD1,CYCLING NK
85,KLRF1,NK
86,KLRF1,CYCLING NK
87,NCAM1,NK
88,NCAM1,CYCLING NK
89,MKI67,CYCLING ILC
90,MKI67,CYCLING T
91,MKI67,CYCLING NK
