PDGFRA,FIBROBLAST
NKX2-5,SPLENIC FIBROBLAST
ACTA2,MYOFIBROBLAST
PAX7,MUSCLE SATELLITE CELLS
MYOD1,MUSCLE SATELLITE CELLS
MYF5,MUSCLE SATELLITE CELLS
UPK3B,MESOTHELIUM
LRRN4,MESOTHELIUM
C1QA,PERIVASCULAR MACROPHAGE
F13A1,PERIVASCULAR MACROPHAGE
RNASE1,PERIVASCULAR MACROPHAGE
COLEC12,PERIVASCULAR MACROPHAGE
LYVE1,PERIVASCULAR MACROPHAGE
MYL1,SKELETAL MUSCLE
ACTA1,SKELETAL MUSCLE
TNNT3,SKELETAL MUSCLE
MYH11,SMOOTH MUSCLE
TAGLN,SMOOTH MUSCLE
ACTA2,SMOOTH MUSCLE
DES,SMOOTH MUSCLE
ETV1,INTERSTITIAL CELLS OF CAJAL
KIT,INTERSTITIAL CELLS OF CAJAL
IBSP,OSTEOBLAST
PHOSPHO1,OSTEOBLAST
IFITM5,OSTEOBLAST
SOX10,GLIAL CELL
SOX2,GLIAL CELL
TUBB2B,NEURON
STMN4,NEURON
ELAVL3,NEURON
PMEL,MELANOCYTE
TYR,MELANOCYTE
TYRP1,MELANOCYTE
MLANA,MELANOCYTE
KRT14,KERATINOCYTE
KRT5,KERATINOCYTE
GATA3,KERATINOCYTE
APOA1,HEPATOCYTE
ALB,HEPATOCYTE
AFP,HEPATOCYTE
PAX2,DEVELOPING NEPHRON
EPCAM,EPITHELIUM
MKI67,CYCLING EPITHELIUM
MKI67,CYCLING FIBROBLAST
CHGA,ENTEROENDOCRINE CELL
NEUROD1,ENTEROENDOCRINE CELL
NEUROG3,ENTEROENDOCRINE CELL
CDH5,ENDOTHELIUM
PECAM1,ENDOTHELIUM
CD34,ENDOTHELIUM
ACTA2,VSMC/PERICYTE
TAGLN,VSMC/PERICYTE
RGS5,VSMC/PERICYTE
CCL19,MESENCHYMAL LYMPHOID TISSUE ORGANISER
CCL21,MESENCHYMAL LYMPHOID TISSUE ORGANISER
CXCL13,MESENCHYMAL LYMPHOID TISSUE ORGANISER
CSPG4,CHONDROCYTE
COL9A1,CHONDROCYTE
HAPLN1,CHONDROCYTE
LECT1,CHONDROCYTE
