,gene,anno_lvl_2
0,PDGFRA,FIBROBLAST
1,NKX2-5,SPLENIC FIBROBLAST
2,ACTA2,MYOFIBROBLAST
3,PAX7,MUSCLE SATELLITE CELLS
4,MYOD1,MUSCLE SATELLITE CELLS
5,MYF5,MUSCLE SATELLITE CELLS
6,UPK3B,MESOTHELIUM
7,LRRN4,MESOTHELIUM
8,C1QA,PERIVASCULAR MACROPHAGE
9,F13A1,PERIVASCULAR MACROPHAGE
10,RNASE1,PERIVASCULAR MACROPHAGE
11,COLEC12,PERIVASCULAR MACROPHAGE
12,LYVE1,PERIVASCULAR MACROPHAGE
13,MYL1,SKELETAL MUSCLE
14,ACTA1,SKELETAL MUSCLE
15,TNNT3,SKELETAL MUSCLE
16,MYH11,SMOOTH MUSCLE
17,TAGLN,SMOOTH MUSCLE
18,ACTA2,SMOOTH MUSCLE
19,DES,SMOOTH MUSCLE
20,ETV1,INTERSTITIAL CELLS OF CAJAL
21,KIT,INTERSTITIAL CELLS OF CAJAL
22,IBSP,OSTEOBLAST
23,PHOSPHO1,OSTEOBLAST
24,IFITM5,OSTEOBLAST
25,SOX10,GLIAL CELL
26,SOX2,GLIAL CELL
27,TUBB2B,NEURON
28,STMN4,NEURON
29,ELAVL3,NEURON
30,PMEL,MELANOCYTE
31,TYR,MELANOCYTE
32,TYRP1,MELANOCYTE
33,MLANA,MELANOCYTE
34,KRT14,KERATINOCYTE
35,KRT5,KERATINOCYTE
36,GATA3,KERATINOCYTE
37,APOA1,HEPATOCYTE
38,ALB,HEPATOCYTE
39,AFP,HEPATOCYTE
40,PAX2,DEVELOPING NEPHRON
41,EPCAM,EPITHELIUM
42,MKI67,CYCLING EPITHELIUM
43,MKI67,CYCLING FIBROBLAST
44,CHGA,ENTEROENDOCRINE CELL
45,NEUROD1,ENTEROENDOCRINE CELL
46,NEUROG3,ENTEROENDOCRINE CELL
47,CDH5,ENDOTHELIUM
48,PECAM1,ENDOTHELIUM
49,CD34,ENDOTHELIUM
50,ACTA2,VSMC/PERICYTE
51,TAGLN,VSMC/PERICYTE
52,RGS5,VSMC/PERICYTE
53,CCL19,MESENCHYMAL LYMPHOID TISSUE ORGANISER
54,CCL21,MESENCHYMAL LYMPHOID TISSUE ORGANISER
55,CXCL13,MESENCHYMAL LYMPHOID TISSUE ORGANISER
56,CSPG4,CHONDROCYTE
57,COL9A1,CHONDROCYTE
58,HAPLN1,CHONDROCYTE
59,LECT1,CHONDROCYTE
