original_cell_type,updated_cell_type
S3-like,S3-LIKE
Pericyte,PERICYTE
Arterial endothelial 1,ENDOTHELIAL CELL
mLTo,MLTO
Stromal 3,FIBROBLAST
Myofibroblast,MYOFIBROBLAST
Stromal 1,FIBROBLAST
Venous endothelial 2,ENDOTHELIAL CELL
Crypt,CRYPT
macrophage,MACROPHAGE
Enteric glia,GLIA
Stromal 2,FIBROBLAST
Venous endothelial 1,ENDOTHELIAL CELL
Neuron branch 2a,NEURON
Neuron branch 1,NEURON
Enterocyte,ENTEROCYTE
Lymphatic endothelial,ENDOTHELIAL CELL
Non-myelin Schwann-like,SCHWANN CELLS
Arterial endothelial 2,ENDOTHELIAL CELL
Erythroblast,ERYTHROCYTE
SMC,SMOOTH MUSCLE/PERICYTE
SMC1,SMOOTH MUSCLE/PERICYTE
LTi-like NK/T,NK T
MLN/GHRL EEC,ENTEROENDOCRINE CELL
Pro-B,PRO B CELL
Myelin Schwann-like,SCHWANN CELLS
Committed neuron prog,NEURON
LYVE1+ macrophage,MACROPHAGE
Mesothelium,MESOTHELIUM
Tuft,TUFT
Goblet,GOBLET
TPH1 EEC,ENTEROENDOCRINE CELL
BEST4 enterocyte,ENTEROCYTE
Neuron branch 2b,NEURON
ENCC,NEURAL CREST
Capillary endothelium,ENDOTHELIAL CELL
ICC,ICC
cDC2,DC
NK cell,NK
Monocyte 2,MONOCYTE
NTS/GCG/PYY EEC,ENTEROENDOCRINE CELL
SELL+ CD4 T,SP T CELL
Cycling endothelium,ENDOTHELIAL CELL
Immature B,B CELL
Inflammatory macrophage,MACROPHAGE
M cell,M CELL
EEC,ENTEROENDOCRINE CELL
LTi-like ILC3,LTI/ILC3
CLP,LYMPHOID PROGENITOR
cDC1,DC
Treg,TREG
pDC,PDC
SCP,SCHWANN CELLS
GAST/GIP EEC,ENTEROENDOCRINE CELL
CCK EEC,ENTEROENDOCRINE CELL
SELL+ CD8 T,SP T CELL
NK T cell,NK T
Pre-B,PRE B CELL
TA,TA
NEUROG3hi EEC,ENTEROENDOCRINE CELL
Mast,MAST CELL
Monocyte,MONOCYTE
ILCP,ILC PRECURSOR
Lymphoid DC,DC
Cycling stromal,FIBROBLAST
MPO+ mono-neutrophil,NEUTROPHIL
Cycling myeloid,CD16 MYELOID
CD177+ neutrophil,NEUTROPHIL
Committed glial prog,GLIA
cycling T,SP T CELL
