original_cell_type,updated_cell_type
CD8+T,SP T CELL
CD4+T,SP T CELL
CD8αα(I),SP T CELL
αβT(entry),SP T CELL
CD8αα(II),SP T CELL
Th17,SP T CELL
γδT,SP T CELL
CD8+Tmem,SP T CELL
CD4+Tmem,SP T CELL
CD4+CTL,SP T CELL
Tfh,SP T CELL
CD4+PD1,SP T CELL
DP(P),DP T CELL
DP(Q),DP T CELL
DN(Q),DN T CELL
DN(P),DN T CELL
DN(early),DN T CELL
Treg(diff),TREG
T(agonist),TREG
Treg,TREG
Mono,MONOCYTE
B_naive,B CELL
B_memory,B CELL
B_plasma,B CELL
B_pro/pre,PRE PRO B CELL
DC2,DC
DC1,DC
aDC1,DC
aDC3,DC
aDC2,DC
pDC,PDC
NKT,NK T
Mac,MACROPHAGE
NMP,NEUTROPHIL-MYELOID PROGENITOR
Fb_1,FIBROBLAST
Fb_2,FIBROBLAST
Fb_cycling,FIBROBLAST
NK,NK
Mast,MAST CELL
ETP,LYMPHOID PROGENITOR
ILC3,ILC
Ery,ERYTHROCYTE
VSMC,SMOOTH MUSCLE/PERICYTE
mTEC(I),EPITHELIUM
TEC(neuro),EPITHELIUM
mTEC(II),EPITHELIUM
cTEC,EPITHELIUM
mcTEC,EPITHELIUM
TEC(myo),EPITHELIUM
mTEC(III),EPITHELIUM
mTEC(IV),EPITHELIUM
Epi_GCM2,EPITHELIUM
Endo,ENDOTHELIAL CELL
Mgk,MEGAKARYOCYTE
Lymph,LYMPHATIC
