,uniform_label,uniform_label_lvl0,uniform_label_expanded,uniform_label_expanded_merged
1,EARLY ERYTHROID,ERYTHROID,EARLY ERYTHROID,EARLY ERYTHROID
2,MACROPHAGE,MYELOID,MACROPHAGE,MACROPHAGE
3,NEUTROPHIL,MYELOID,NEUTROPHIL,NEUTROPHIL
4,MONOCYTE,MYELOID,MONOCYTE,MONOCYTE
5,DC PRECURSOR,MYELOID,DC PRECURSOR,DC PRECURSOR
6,ELP,LYMPHOID,ELP,ELP
7,PRE B CELL,LYMPHOID,PRE B CELL,PRE B CELL
8,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
9,PRE PRO B CELL,LYMPHOID,PRE PRO B CELL,PRE PRO B CELL
10,PROMONOCYTE,MYELOID,PROMONOCYTE,PROMONOCYTE
11,PRO B CELL,LYMPHOID,PRO B CELL,PRO B CELL
12,DC,MYELOID,DC,DC
13,ERYTHROCYTE,ERYTHROID,ERYTHROCYTE,ERYTHROID
14,MID ERYTHROID,ERYTHROID,MID ERYTHROID,MID ERYTHROID
15,MYELOCYTE,MYELOID,MYELOCYTE,MYELOCYTE
16,MAST CELL,EO_BASO_MAST,MAST CELL,MAST CELL
17,SP T CELL,LYMPHOID,SP T CELL,SP T CELL
18,MEP,HSC_MPP,MK_ERY_PROGENITOR,MK_ERY_PROGENITOR
19,MOP,HSC_MPP,COMMITTED_MONOCYTE_PROGENITOR,COMMITTED_MONOCYTE_PROGENITOR
20,GMP,HSC_MPP,GRANULOCYTE_MONOCYTE_PROGENITOR,GRANULOCYTE_MONOCYTE_PROGENITOR
21,EOSINOPHIL,EO_BASO_MAST,EOSINOPHIL,EOSINOPHIL
22,EARLY MK,MEGAKARYOCYTE,EARLY MK,EARLY MK
23,PROMYELOCYTE,MYELOID,PROMYELOCYTE,PROMYELOCYTE
24,OSTEOBLAST,OSTEOCHONDRAL,OSTEOBLAST,OSTEOBLAST
25,PDC,LYMPHOID,PDC,PDC
26,OSTEOCLAST,MYELOID,OSTEOCLAST,OSTEOCLAST
27,PDC PROGENITOR,LYMPHOID,PDC PROGENITOR,PDC PROGENITOR
28,EO/BASO/MAST PRECURSOR,EO_BASO_MAST,EO/BASO/MAST PRECURSOR,EO/BASO/MAST PRECURSOR
29,LATE ERYTHROID,ERYTHROID,LATE ERYTHROID,LATE ERYTHROID
30,CMP,HSC_MPP,COMMON_MYELOID_PROGENITOR,COMMON_MYELOID_PROGENITOR
31,B CELL,LYMPHOID,B CELL,B CELL
32,NK,LYMPHOID,NK,NK
33,HSC,HSC_MPP,HSC,HSC
34,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL,ENDOTHELIAL CELL
35,BASOPHIL,EO_BASO_MAST,BASOPHIL,BASOPHIL
36,MUSCLE STEM CELL,MESENCHYMAL_PROGENITOR,MUSCLE STEM CELL,MUSCLE STEM CELL
37,FIBROBLAST,STROMAL,FIBROBLAST,FIBROBLAST
38,NK T,LYMPHOID,NK T,NK T
39,MUSCLE,MUSCLE,MUSCLE,MUSCLE
40,MPP MYELOID,HSC_MPP,MYELOID_MULTIPOTENT_PROGENITOR,MYELOID_MULTIPOTENT_PROGENITOR
41,OSTEOCHONDRAL PRECURSOR,OSTEOCHONDRAL,OSTEOCHONDRAL PRECURSOR,OSTEOCHONDRAL PRECURSOR
42,EARLY OSTEOBLAST,OSTEOCHONDRAL,EARLY OSTEOBLAST,EARLY OSTEOBLAST
43,CHONDROCYTE,OSTEOCHONDRAL,CHONDROCYTE,CHONDROCYTE
44,LMPP,HSC_MPP,LYMPHOID_PROGENITOR,LYMPHOID_PROGENITOR
45,TREG,LYMPHOID,TREG,TREG
46,MYELOID DC PROGENITOR,HSC_MPP,MYELOID DC PROGENITOR,MYELOID DC PROGENITOR
47,ILC PRECURSOR,LYMPHOID,ILC PRECURSOR,ILC PRECURSOR
48,OSTEOBLAST PRECURSOR,OSTEOCHONDRAL,OSTEOBLAST PRECURSOR,OSTEOBLAST PRECURSOR
49,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST,MYOFIBROBLAST
50,NK PROGENITOR,LYMPHOID,NK PROGENITOR,NK PROGENITOR
51,ADIPOCYTE,ADIPOSE,ADIPOCYTE,ADIPOCYTE
52,MEMP,HSC_MPP,MEMP,MEMP
53,SCHWANN CELLS,GLIAL,SCHWANN CELLS,SCHWANN CELLS
54,S3-LIKE,STROMAL,S3-LIKE,S3-LIKE
55,PERICYTE,VASCULATURE,PERICYTE,PERICYTE
56,MLTO,STROMAL,MESENCHYMAL_LYMPHOID_TISSUE_ORGANISER,MESENCHYMAL_LYMPHOID_TISSUE_ORGANISER
57,STROMAL CELL,STROMAL,STROMAL CELL,STROMAL CELL
58,CRYPT,EPI,CRYPT,CRYPT
59,GLIA,GLIAL,GLIA,GLIA
60,NEURON,NEURONAL,NEURON,NEURON
61,ENTEROCYTE,EPI,ENTEROCYTE,ERYTHROID
62,ERYTHROBLAST,ERYTHROID,ERYTHROBLAST,ERYTHROID
63,SMOOTH MUSCLE/PERICYTE,VASCULATURE,SMOOTH MUSCLE/PERICYTE,SMOOTH MUSCLE/PERICYTE
64,ENTEROENDOCRINE CELL,ENDOCRINE,ENTEROENDOCRINE CELL,ENTEROENDOCRINE CELL
65,MESOTHELIUM,EPI,MESOTHELIUM,MESOTHELIUM
66,TUFT,EPI,TUFT,TUFT
67,GOBLET,EPI,GOBLET,GOBLET
68,NEURAL CREST,NEURAL CREST,NEURAL CREST,NEURAL CREST
69,ICC,STROMAL,INTERSTITIAL_CELL_CAJAL,INTERSTITIAL_CELL_CAJAL
70,M CELL,EPI,MICROFOLD_CELL,MICROFOLD_CELL
71,LTI/ILC3,LYMPHOID,LTI/ILC3,LTI/ILC3
