,original_cell_type,organ,uniform_label,uniform_label_lvl0,uniform_label_expanded_merged
0,Macrophage,sk,MACROPHAGE,MYELOID,MACROPHAGE
1,Monocyte,sk,MONOCYTE,MYELOID,MONOCYTE
2,Granulocyte progenitor,sk,GMP,HSC_MPP,GRANULOCYTE_MONOCYTE_PROGENITOR
3,DC2,sk,DC,MYELOID,DC
4,Microglia,sk,GLIA,GLIAL,GLIA
5,Monocyte precusor,sk,MONOCYTE/DC PRECURSOR,MYELOID,MONOCYTE/DC PRECURSOR
6,Fibroblast WNT2+,sk,FIBROBLAST,STROMAL,FIBROBLAST
7,NK cell,sk,NK,LYMPHOID,NK
8,B cell,sk,B CELL,LYMPHOID,B CELL
9,Lti,sk,LTI/ILC3,LYMPHOID,LTI/ILC3
10,ILC3,sk,LTI/ILC3,LYMPHOID,LTI/ILC3
11,MEMP,sk,MEMP,HSC_MPP,MEMP
12,CD4 T cell,sk,SP T CELL,LYMPHOID,SP T CELL
13,HSC,sk,HSC,HSC_MPP,HSC
14,Mac-mono,sk,MONOCYTE/MACROPHAGE,MYELOID,MONOCYTE/MACROPHAGE
15,Lymphatic endothelium,sk,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
16,NK T cell,sk,NK T,LYMPHOID,NK T
17,CD8 T cell,sk,SP T CELL,LYMPHOID,SP T CELL
18,Skeletal muscle,sk,MUSCLE,MUSCLE,MUSCLE
19,pDC,sk,PDC,LYMPHOID,PDC
20,Mast cell,sk,MAST CELL,EO_BASO_MAST,MAST CELL
21,DC1,sk,DC,MYELOID,DC
22,Vascular endothelium,sk,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
23,Neutrophil,sk,NEUTROPHIL,MYELOID,NEUTROPHIL
24,Langerhans cell,sk,LANGERHAN CELLS,MYELOID,LANGERHAN CELLS
25,Megakaryocyte,sk,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
26,Erythroid,sk,ERYTHROID,ERYTHROID,ERYTHROID
27,Myofibroblast,sk,FIBROBLAST,STROMAL,FIBROBLAST
28,Fibroblast HF,sk,FIBROBLAST,STROMAL,FIBROBLAST
29,Fibroblast HOX5+,sk,FIBROBLAST,STROMAL,FIBROBLAST
30,Fibroblast unknown,sk,FIBROBLAST,STROMAL,FIBROBLAST
31,Pericyte,sk,PERICYTE,VASCULATURE,PERICYTE
32,Fibroblast FRZB+,sk,FIBROBLAST,STROMAL,FIBROBLAST
33,Early erythroid,sk,EARLY ERYTHROID,ERYTHROID,EARLY ERYTHROID
34,Neuronal cells,sk,NEURON,NEURONAL,NEURON
35,Schwann cell,sk,SCHWANN CELLS,GLIAL,SCHWANN CELLS
36,Smooth muscle,sk,SMOOTH MUSCLE/PERICYTE,VASCULATURE,SMOOTH MUSCLE/PERICYTE
37,ILC2,sk,ILC,LYMPHOID,ILC
38,Lymphoid progenitor,sk,LYMPHOID PROGENITOR,HSC_MPP,LYMPHOID PROGENITOR
39,Adipocyte,sk,ADIPOCYTE,ADIPOSE,ADIPOCYTE
40,Treg,sk,TREG,LYMPHOID,TREG
41,ASDC,sk,DC,MYELOID,DC
42,Periderm,sk,PERIDERM,STROMAL,PERIDERM
43,Melanocyte,sk,MELANOCYTE,MELANOCYTE,MELANOCYTE
44,Melanoblast,sk,MELANOBLAST,MELANOCYTE,MELANOBLAST
45,Basal KC,sk,BASAL KC,KERATINOCYTES,BASAL KC
46,Suprabasal KC,sk,KERATINOCYTES,KERATINOCYTES,KERATINOCYTES
47,Fibroblast dermal papillia,sk,FIBROBLAST,STROMAL,FIBROBLAST
48,HF KC,sk,KERATINOCYTES,KERATINOCYTES,KERATINOCYTES
49,B cell,li,B CELL,LYMPHOID,B CELL
50,DC precursor,li,DC PRECURSOR,MYELOID,DC PRECURSOR
51,DC1,li,DC,MYELOID,DC
52,DC2,li,DC,MYELOID,DC
53,early erythroid,li,EARLY ERYTHROID,ERYTHROID,EARLY ERYTHROID
54,Early Erythroid,li,EARLY ERYTHROID,ERYTHROID,EARLY ERYTHROID
55,Early lymphoid_T lymphocyte,li,EARLY ERYTHROID/T CELL,ERYTHROID,EARLY ERYTHROID/T CELL
