Sanger_ID,img_id,EXP_id,Organ,Fetal_id,SN,Visium_Area_id,Age_PCW,Date_sectioned,seq?,Status,SapceRanger?,nBlocks,Block_ID,Digestion time,Repeats,Notes,Data_dir,Data_dir_name,ImageSpot_position_list_path,ImageSpot_position_list_name
WSSS_F_IMMsp9838712,F121_LP1_4LIV,LP1,LIV,F121,V10U29-031,A1,18,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36654_WSSS_F_IMMsp9838712_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F121_LP1_4LIV_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp9838709,F117_LP1_1SPL,LP1,SPL,F117,V10U29-031,D1,11,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36654_WSSS_F_IMMsp9838709_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F117_LP1_1SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp9838710,F121_LP1_2SPL,LP1,SPL,F121,V10U29-031,C1,18,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36654_WSSS_F_IMMsp9838710_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F121_LP1_2SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp9838711,F121_LP1_3THY,LP1,THY,F121,V10U29-031,B1,18,,T,Complete,T,,,24,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36654_WSSS_F_IMMsp9838711_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F121_LP1_3THY_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp9838717,F121_LP2_4LIV,LP2,LIV,F121,V10U29-029,A1,18,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36811_WSSS_F_IMMsp9838717_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F121_LP2_4LIV_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp9838714,F117_LP2_1SPL,LP2,SPL,F117,V10U29-029,D1,11,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36811_WSSS_F_IMMsp9838714_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F117_LP2_1SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp9838715,F121_LP2_2SPL,LP2,SPL,F121,V10U29-029,C1,18,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36811_WSSS_F_IMMsp9838715_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F121_LP2_2SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp9838716,F121_LP2_3THY,LP2,THY,F121,V10U29-029,B1,18,,T,Complete,T,,,24,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_36811_WSSS_F_IMMsp9838716_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F121_LP2_3THY_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp10864177,F113_LP3_1SPL,LP3,SPL,F113,V10U29-028,D1,12,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_WSSS_F_IMMsp10864177_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F113_LP3_1SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp10864178,F122_LP3_2SPL,LP3,SPL,F122,V10U29-028,C1,15,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_WSSS_F_IMMsp10864178_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F122_LP3_2SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp10864180,F122_LP3_4LIV,LP3,LIV,F122,V10U29-028,A1,15,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_WSSS_F_IMMsp10864180_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F122_LP3_4LIV_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp10864184,F136_LP4_1LIV,LP4,LIV,F136,V10U29-030,D1,18,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_WSSS_F_IMMsp10864184_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F136_LP4_1LIV_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp10864181,F136_LP4_1SPL,LP4,SPL,F136,V10U29-030,A1,18,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_WSSS_F_IMMsp10864181_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F136_LP4_1SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp10864182,F136_LP4_2SPL,LP4,SPL,F136,V10U29-030,B1,18,,T,Complete,T,,,18,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_WSSS_F_IMMsp10864182_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F136_LP4_2SPL_tissue_positions_list_ImageSpot.csv
WSSS_F_IMMsp10864183,F136_LP4_3THY,LP4,THY,F136,V10U29-030,C1,18,,T,Complete,T,,,24,,,/nfs/team205/ig7/work_backups/backup_210306/projects/Pan_fetal/Visium/data/spaceranger/,spaceranger130_count_WSSS_F_IMMsp10864183_GRCh38-2020-A,nfs/team205/ny1/Panfetal/Visium/TissueDetection_ImageSpot/,F136_LP4_3THY_tissue_positions_list_ImageSpot.csv
6330STDY9479159,F78-FTIL-0-FO-4-S4,,FTIL,F78,,,17,,T,Complete,T,,,,,,/nfs/team205/vk7/sanger_projects/large_data/gut_kj_re/Visium/rawdata/,6330STDY9479159,,
6330STDY9479160,F78-FTIL-0-FO-4-S4,,FPIL,F102,,,17,,T,Complete,T,,,,,,/nfs/team205/vk7/sanger_projects/large_data/gut_kj_re/Visium/rawdata/,6330STDY9479160,,
