,index,0,lfc_mean
1,G0S2,1,-5.727377206931474
5,IL1B,1,-5.278099434262665
12,CCL3L1,1,-3.0494013403517415
16,OSM,1,-4.151136190413374
31,CYP1B1,1,-1.0724338432421379
35,C1QB,1,-4.776121769467268
41,HBB,1,-2.7490713155597155
48,C1QC,1,-4.377951215813273
54,TCEAL9,1,-1.8705555945097072
56,C1QA,1,-3.8498927339296274
58,HES1,1,-2.275155860078914
59,MAFB,1,-1.7939655798408278
70,FCGR3A,1,-2.052075911606047
75,ANKRD28,1,-2.1796169944709094
76,SOD2,1,-2.5254790711146096
79,SELENOP,1,-3.605808163694864
88,GBP2,1,-2.697338501743757
100,VNN2,1,-1.2580245721645986
105,TREM1,1,-2.2172007194316157
108,CYTIP,1,-1.6932767795131314
109,PALLD,1,-1.6989080933892309
112,HSBP1L1,1,-1.7905609644577127
118,ACSL1,1,-1.338478029699968
119,C3AR1,1,-1.0546276034499311
123,ZFP36L1,1,-1.6004582419760576
135,COL1A1,1,-3.1680178126885985
136,IL1RN,1,-1.9280575924716523
142,AF213884.3,1,-2.769692127376917
146,USP53,1,-2.3121244533807928
148,ALAS1,1,-1.2361941001820174
153,PNRC1,1,-1.0634593523222369
162,RHOH,1,-2.1781334753623742
165,ATP2B1-AS1,1,-1.15530703703104
167,RUNX3,1,-1.154874801922065
169,PLAUR,1,-1.6114318891984123
172,CHST15,1,-1.5677966971635204
176,NCR3LG1,1,-2.8837775672899704
181,NEAT1,1,-1.3516221922837048
182,ADGRG3,1,-1.88229073076334
184,SERPINB9,1,-1.3484350480353973
185,RASGRP3,1,-1.4276844927106342
191,RALGDS,1,-1.3161333126977528
195,TENT5C,1,-3.779823074652184
200,SLCO4A1,1,-1.5067198711699032
202,GBP1,1,-2.291714884564805
206,DHRS3,1,-2.1811999568151728
207,SEMA7A,1,-1.9457485687047809
208,ST20,1,-1.0435419489493971
209,AC016831.1,1,-2.267361552024333
210,TSPAN13,1,-1.3004347441938702
213,DHDH,1,-2.981802689663873
216,DLC1,1,-3.9545660858178993
218,KRT23,1,-2.2737273504976354
219,RNF149,1,-1.075961661618268
220,STRIP2,1,-1.9863096237862168
225,BCL10,1,-1.2982081167269568
226,SAMSN1,1,-1.0582833439792565
227,HES4,1,-4.733536389663539
228,ZDHHC1,1,-1.6020967732428772
229,FCGR2A,1,-1.070229199962984
230,AC007384.1,1,-1.3071842816090735
233,PEX11G,1,-1.5101236884684173
235,HIVEP1,1,-1.0410873046040985
241,KCNN1,1,-1.9586535158544052
242,ZNF10,1,-1.3727162071412051
244,PACERR,1,-2.4792520764836534
246,IL1R1,1,-2.6113906681141765
249,IRF2BPL,1,-1.3000530341551002
250,TGFA,1,-1.37677978772849
251,TMEM64,1,-2.0660484470324976
253,SEZ6,1,-2.6138212647642973
255,MCTP2,1,-1.6490108346875207
256,CPEB2,1,-1.1142179302667323
257,GPR82,1,-1.9875561602028355
260,CTSL,1,-2.2963862368195365
262,KLHL26,1,-1.536195699905169
266,LINC00672,1,-1.1127498224408865
268,LINC01001,1,-1.6849901219478394
270,SPAG5,1,-1.591319208082295
272,Z97832.2,1,-2.750142635546115
275,FAM83D,1,-2.088736710747237
276,ZNF793,1,-2.472974244762363
277,ARRDC4,1,-1.219286119503331
278,ZBTB42,1,-2.4420811202313644
283,DACH1,1,-4.052672497606544
285,AC233723.1,1,-1.7909348076806526
286,ANKRD9,1,-1.8525323257074768
287,TLE1,1,-1.228578344163563
289,ZNF436-AS1,1,-1.1268150058944344
290,TMEM185B,1,-1.5767508420867922
291,DMPK,1,-1.15968232032452
292,AC144831.1,1,-3.155002098267457
295,TUBB6,1,-1.5734199520255538
296,ADNP2,1,-1.4797532822831267
297,TRIP10,1,-1.7829143431745844
