,index,0,lfc_mean
1,AC020656.1,1,1.3650074862404602
2,DEFA1B,1,8.551632186716217
3,DEFA1,1,9.788270955562547
5,PCLAF,1,1.2374532994751029
6,MS4A3,1,1.7182335902289978
10,NKG7,1,1.200046309223494
11,CES1,1,1.3218835073566662
13,H1F0,1,1.0376747102916803
18,AP1G2,1,1.0105367150797655
20,CD2,1,1.09446915827887
22,NOMO2,1,1.1615362194262158
23,MAP4K1,1,1.2354342796114175
24,PADI4,1,1.0304669273263896
25,ATP2A3,1,1.4120748295655412
28,ITGB7,1,1.1616195878355409
29,RFLNB,1,1.2535355594054878
30,IVD,1,1.2912839860110872
31,NLRC5,1,1.1663529686477558
33,CDCA7,1,1.2612915219858525
35,MYB,1,1.4509770014413497
36,CENPF,1,1.1434752857633528
39,UCK2,1,1.035232296576181
41,NOM1,1,1.3043617461897066
42,GPATCH4,1,1.1611046807269898
44,HIST1H4H,1,1.548524883086519
45,BTN3A2,1,1.0287710931245782
46,AC084033.3,1,1.2475776183920368
49,EMG1,1,1.3644689457612906
52,MCM7,1,1.2583244820568964
53,ANAPC7,1,1.0903120088711498
54,PDCD11,1,1.34913038414525
58,H1FX,1,1.1500176229734669
59,BOP1,1,1.2389715327118125
60,CD84,1,1.0924388299071128
61,LIMA1,1,1.1202897000308496
63,FUT7,1,1.1464596424406752
66,MBD3,1,1.0841229930084113
67,VPS51,1,1.0228862658910904
69,AURKB,1,2.1049176180767986
70,MLC1,1,1.0621723313458629
71,TOP2A,1,1.0598342298416052
72,HELLS,1,1.8679145095274927
73,SCRN1,1,1.0353568704529987
74,DTYMK,1,1.094082421176667
75,MCM2,1,1.1577194091349192
77,CORO2A,1,1.0933170231770342
78,PHGDH,1,1.7986662910255602
79,GINS2,1,1.1964034015642349
80,UHRF1,1,1.2295953242294266
81,UTP3,1,1.1745526590847577
82,SEC31B,1,1.0410649269485508
83,HIST1H1B,1,1.1750370289508778
88,USP5,1,1.0715124962151572
90,INTS14,1,1.2313207401115691
91,FAHD1,1,1.1165947484161591
92,C19orf48,1,1.4169570998579826
93,DENND1B,1,1.00582958003142
94,EPHA1-AS1,1,1.075520082156615
96,TCF3,1,1.197135053705631
97,BX255925.3,1,1.1223787328412116
98,PAICS,1,1.0526355597407806
99,ABHD10,1,1.2797920631828226
102,CDK5RAP1,1,1.0607639840478835
103,TRUB2,1,1.3282211779108954
104,PIGM,1,1.018614457231385
106,TSFM,1,1.2520903538971828
107,CCNB2,1,1.0415531860685567
109,TIMM29,1,1.1883006840754182
110,CDC20,1,1.577144297298621
112,TYW5,1,1.1120832594250882
113,HHEX,1,1.071592022584567
114,PYGB,1,1.069894666186752
115,NHLRC2,1,1.0337165412285527
116,MNAT1,1,1.1408946417441117
117,PM20D2,1,1.0275478795009865
118,MED20,1,1.3265623939438058
119,ACOT7,1,1.2204770743793951
121,LIG1,1,1.3960749141773277
124,AC017083.1,1,1.9150268775583297
126,RRP9,1,1.4685656694763587
127,EOGT,1,1.5528967223084535
128,KCNE5,1,1.1209612638412645
129,RTN4IP1,1,1.1459878343117362
131,POLR3B,1,1.3548832382222753
133,AL033528.2,1,1.148322898095515
134,UTP4,1,1.265731182775209
135,PRAG1,1,1.1299331804672192
138,JMJD8,1,1.0446157482251284
139,MMS19,1,1.1853498737698511
140,PEX6,1,1.0195637182651651
141,TPRN,1,1.2831172963390127
142,IL18R1,1,1.539004682324305
144,SMAD5,1,1.1990163271855527
145,NSD2,1,1.0269282994262796
147,DPP3,1,1.0401930246682856
148,AL132639.2,1,1.6806005037762788
150,KNOP1,1,1.1201750112398854
151,GTF3C4,1,1.2859651540777592
152,PUS1,1,1.0146028331166332
155,LRRC7,1,inf
156,UBE2T,1,1.079837171482674
157,FASN,1,1.6827274369449927
158,KCTD15,1,1.005421427423538
159,NLE1,1,1.1397664742695717
160,KIFC2,1,1.0491082385441068
162,TEX2,1,1.438396198454666
163,FANCI,1,1.0672352487512056
165,AC092117.1,1,1.8976757918227056
168,CTPS1,1,1.1727216172519854
169,LINC01954,1,1.6443272143673853
171,YARS2,1,1.060500082627123
172,GALNT10,1,1.0958111761909757
173,CPNE2,1,1.385057761431393
174,DHCR24,1,1.5325770135904435
175,FMO4,1,1.7911370555299249
176,GTPBP3,1,1.3632973104635049
177,HIST1H2AG,1,1.4058520688656788
178,PHETA2,1,1.5833634874628717
180,ASRGL1,1,1.1029035996852985
183,ALG1L2,1,1.3725604143315118
184,SLC36A1,1,1.1042161294599604
185,SCMH1,1,1.240018898867422
187,ZBED3,1,1.0782241416539493
188,ORC1,1,1.5360955534493708
189,IFT172,1,1.4567820958239586
190,THOP1,1,1.1466111313849012
191,SLC1A4,1,1.0711544788747402
192,NOL6,1,1.1147029535693522
193,TOMM34,1,1.0781632687710776
195,VASH1-AS1,1,1.1082461039156657
198,USP31,1,1.1635751244672299
200,XYLT1,1,1.214809069660758
201,ERMP1,1,1.4279717240168963
205,PAAF1,1,1.062046010604317
208,ZNF616,1,1.6394084074591244
209,PEX3,1,1.3762027224106623
210,TMEM191B,1,1.4321985913340278
211,KATNAL2,1,1.6075898728843194
