,index,0,lfc_mean
7,DOPEY2,1,-1.23522777756545
9,MANF,1,-1.635645957725114
16,TOMM5,1,-1.2573345276036136
17,CD1D,1,-3.7006255698509047
19,AEBP1,1,-2.344431132689616
21,CRYZ,1,-1.6409843558567525
22,TLE1,1,-1.7975510784151338
23,CA2,1,-1.7751417736967892
24,CENPM,1,-1.2522112675876331
25,CCDC112,1,-1.4099140097843466
27,TOMM40,1,-1.9554295140695184
29,ZNF511,1,-1.2794846040315029
30,LYAR,1,-1.4480813364543623
32,MLEC,1,-1.0853117312786766
33,LRR1,1,-1.0870354956667247
34,SDF2L1,1,-2.5629908761908533
36,LINC00467,1,-2.223671446377185
37,TYW3,1,-1.899232422583712
38,MAN1A1,1,-1.9020538048484203
39,SLC39A4,1,-1.0713875839937497
40,ATP6V1C2,1,-2.052956817716045
41,C15orf61,1,-1.0464470994857549
42,NME4,1,-1.279072611935889
43,FCHO1,1,-1.4490971740200322
44,ITM2C,1,-2.0077492683048472
45,SERHL2,1,-2.5236678670165094
46,FEZ2,1,-1.0113956473658348
47,TEDC1,1,-1.9703915194689825
48,C1QBP,1,-1.2379642015335115
49,CCDC34,1,-1.175492667887741
50,TTN-AS1,1,-1.075248196577082
51,FUOM,1,-1.100510045402982
52,CCDC191,1,-1.5118135022541719
53,FMC1,1,-1.4199259748701174
54,ITPR2,1,-1.012517123284732
56,MAPKAPK2,1,-1.0179240954837545
57,MZB1,1,-2.053601615327246
58,GMPPB,1,-1.0031835630931565
61,PPP2R3B,1,-2.115860954647873
63,NBPF19,1,-1.5711699421123515
65,BSPRY,1,-2.3701162528698303
66,LACTB2,1,-1.0137432854759665
67,GPS2,1,-1.193189934699126
68,C3orf14,1,-1.4457128391982024
69,CEP70,1,-2.4675568392077576
70,CTPS2,1,-1.6263915511160698
71,KIAA0040,1,-1.618743170273701
73,ODC1,1,-1.0875664976255346
74,CD38,1,-1.7472465709371674
75,ANXA2,1,-1.4225820845055903
76,PSMG4,1,-1.0666365403023517
77,SCARB2,1,-1.260179420269526
78,HNRNPAB,1,-1.2811694248033132
80,ZDHHC7,1,-2.202505777910775
82,EBNA1BP2,1,-1.3677448503219571
84,PPIB,1,-1.4122063081531024
85,APOO,1,-1.3006598216961978
86,PPP1R14A,1,-2.072116632117168
87,SNX18,1,-1.1951547551907624
88,SEC61B,1,-1.308569713297104
90,CCND2,1,-1.1101226454012805
91,TIMM10,1,-1.1249468959468625
92,ALDH3A2,1,-1.2619593461392924
93,TXNDC17,1,-1.1345929752036863
95,C12orf45,1,-1.1949097118895515
96,RPL22L1,1,-1.3106216791842649
97,ABCB9,1,-3.4082825647991495
98,NUTM2A-AS1,1,-1.071337054360027
99,SLIRP,1,-1.0393375893583254
100,BAG2,1,-1.0769288879352092
101,MCTP2,1,-1.1951556546624624
102,AL450326.1,1,-2.634961486953071
104,WDR4,1,-1.3007004686689905
106,NSUN6,1,-1.1723188792923265
107,BBS7,1,-1.284604936111375
108,SPATA24,1,-2.1404742086272703
109,GTF3C6,1,-1.0619291006664908
110,PSMA3,1,-1.031718185049378
111,PYM1,1,-1.1796664749961248
112,DHRS12,1,-1.4204967570452285
113,CRELD2,1,-1.4869049909842615
114,SNTB2,1,-1.7782998222365638
115,EIF5A,1,-1.0623523481663424
116,FKBP7,1,-2.791957213538492
117,ATP5MC1,1,-1.037997101117582
118,ITGAE,1,-1.4192419241731309
121,NOP16,1,-1.2718599892981033
123,AC009403.1,1,-1.1093795849161516
124,NDUFS6,1,-1.0120262996989204
125,PDCD4,1,-1.0434279772704909
126,ABHD6,1,-1.30958489311098
127,AHCY,1,-1.0448770620877859
129,ADI1,1,-1.1380179800593166
