,index,0,lfc_mean
0,DUSP4,1,3.664640738556581
1,RGS1,1,4.03030774868644
3,IFITM1,1,3.4051434337347186
4,IL32,1,3.2835342070528455
5,PIK3IP1,1,2.3143114793969004
7,RGS16,1,1.7502277288085024
8,RASGRP3,1,2.5813390642051446
12,SAMSN1,1,2.312970782341547
16,SOCS1,1,2.682105562498086
18,TCF7,1,3.2256986648601917
19,IL4I1,1,4.893676196217245
20,SGTB,1,1.1258082204583617
21,ATF5,1,1.6375625108171117
22,HEXA,1,1.1369235810134708
24,CD70,1,1.8698272499319315
27,ADGRE5,1,1.28513053420856
28,CD3E,1,3.2583985345088684
30,ITGB2-AS1,1,1.2114802231749102
34,FAS,1,3.528070262838422
35,DUSP10,1,1.3967672288990185
36,TCTN1,1,2.5587991467958733
37,SLFN5,1,3.5918220564738115
39,CETP,1,4.540046772130991
40,FSCN1,1,3.761735795642685
43,ARID5A,1,2.3220467958553184
44,FYB1,1,2.7295859428765863
46,IL7R,1,2.38253235966987
48,XCL1,1,5.336906430077702
50,SLC15A4,1,1.4390231380156953
51,TSPO,1,2.4863605542558465
53,CTSD,1,1.5804147701973958
54,MYLIP,1,1.407234401694936
57,IDS,1,1.405299670949549
60,WDR91,1,2.3658364554459395
64,ATP8A1,1,1.1745341668606055
66,SLC16A3,1,2.663850741066864
67,ABCA1,1,1.9273772594601728
68,LCK,1,1.6040419193079942
69,ATXN1,1,2.7487129223576594
71,GPR146,1,3.0750350798050783
74,EPS15,1,1.2417501023925186
79,IFIH1,1,1.1809388052457641
81,GSN,1,2.4644896174384097
82,TRAF5,1,1.5999815310921817
83,AHR,1,1.9969892746164324
84,VGLL4,1,1.3416823173473922
85,SDC4,1,4.095823177969405
86,ELK3,1,2.2923694423673697
87,MOB3A,1,1.121776565621492
89,RFTN1,1,1.43367223077103
92,INPP5F,1,1.9310717670883084
94,CERS4,1,1.0607792416273554
95,TSC22D3,1,1.2863599506793093
96,ELMSAN1,1,1.1110889664710686
97,HK1,1,1.1392079773589527
98,IRF1,1,1.4341384818474874
99,LGALS3,1,2.053919884963491
101,MEF2A,1,1.4132351119374849
102,CD96,1,2.602189963334017
104,SEMA4D,1,1.2768355100969366
105,N4BP1,1,1.5766271004967132
106,PTPRN2,1,1.3366714541874112
107,TRAT1,1,4.327568461740371
109,ANKMY2,1,1.6423910373631938
110,ZMYM2,1,1.2214977236617548
112,GGT1,1,3.993871352734256
113,BTN3A2,1,1.1216914592301463
114,N4BP2L1,1,1.1609583825070933
115,CLK3,1,1.1115461950636705
116,RABGAP1L,1,1.1650367193304851
117,HLA-DPB1,1,1.8825668121805836
118,PAG1,1,1.671111937054431
119,DHRS3,1,2.532122889429582
121,AKAP2,1,1.959431702675385
122,HLA-DPA1,1,1.734787021140621
124,RHOQ,1,1.1654783896130811
125,ANKRD28,1,1.4699081642689102
