,index,0,lfc_mean
1,CTSL,4,3.6207568918581323
2,MTRNR2L12,4,1.5809922873238953
4,CHI3L2,5,2.3981927651228214
5,FCGRT,4,1.4532898112285928
6,GINS2,3,1.4034139059124808
8,EPHB6,3,1.7447504274765262
11,BCL11A,4,2.061432747855325
13,HILPDA,4,2.091856774740085
14,GADD45G,3,1.244942860901643
16,FBLN7,4,1.7146488792100671
18,SLC18A2,4,1.8795855020678016
19,DBN1,3,2.007180861422929
22,LDB2,4,1.8424246817335335
23,SKIL,3,1.8444499002340795
27,TNFSF13B,4,2.3501083629045745
30,STAG3,5,2.0385114273914544
34,SMIM24,3,3.4802254606026524
40,NDFIP2,4,1.424163167726328
42,CD200,3,1.3182826018178353
44,BCAT1,4,2.7259945469636273
45,ZNF215,4,2.7679384988393414
46,NREP,4,1.8784831623682499
48,GSTA4,3,2.2011982895498123
53,STARD4-AS1,3,1.9475656601224969
54,PTK2,5,2.2745421784951234
55,UBXN10-AS1,3,1.3556801107791376
57,MCM2,3,1.3827922637909964
60,PLSCR1,4,1.3937423655203132
62,CCDC88A,5,1.4962174714174707
63,ENO2,4,2.4700085810297447
64,PLEKHF1,3,1.4562657199174016
66,LZTFL1,3,1.771551566071144
68,IGF2BP1,4,2.05965389644016
69,LINC00672,3,1.4440426036989056
70,AK4,4,inf
71,SYNGR1,3,1.9208527561610047
72,MARCKS,3,1.7605201669988944
73,LRRC2,4,2.5493108512887943
74,SMPD3,4,2.134499962260084
75,IFIT3,5,2.8742362757638658
77,MLLT11,3,1.303542633767748
78,CDK2,4,1.3668401654002917
80,DDX60,5,1.3744989671916144
81,CMPK2,4,2.695337365051982
84,IFIT1,4,3.0457858427827116
87,FAM213A,4,2.0156214863307786
88,OAS3,5,1.8153573694056309
93,PLEKHA5,4,1.6215804004169765
96,TLDC1,4,1.7714085723185482
97,H1F0,4,2.197770193193901
103,NINJ2,3,1.8738243091813522
105,PARP9,4,1.122632712668429
109,PCDH10,3,2.210023105450698
110,P4HA1,4,1.2351808081745708
112,RIMKLB,5,1.2512066167248324
114,CTNNA1,3,2.4289792679871485
115,PTK7,4,2.0604989099887447
116,MIR210HG,5,2.565033881825497
117,AC097534.2,4,1.8499014178719728
118,CCDC171,3,1.8639811593677358
119,PGAM1,4,1.15151489196152
120,BEND5,4,2.198352288192754
122,VEGFA,4,2.172833026149164
127,ZNF397,3,1.0495536746770568
128,BASP1,3,2.1933824850382506
129,STRBP,4,1.2395973351149785
131,SORD,4,1.451119654865029
133,RRAGD,3,1.6509257697774935
135,PKM,3,1.1081610635474934
136,DPPA4,4,2.198669017190501
137,AC004951.1,3,1.2726664324115884
139,SCRN1,3,1.9807299822997004
140,RAB13,3,2.0721657406863296
141,ITM2A,4,1.2321305938582285
142,IGF2BP2,3,1.6758017512792474
144,SYP,3,2.4001042532648005
145,CMYA5,3,1.7367418166350976
147,PPP1R3E,3,1.1719017925543112
148,ALDOC,5,1.3166835587814403
150,ADAMTS10,4,1.2544092481535203
151,RTL10,4,1.526562335943888
152,CNTLN,3,1.362600044222754
153,C11orf74,3,1.543691467149202
154,AC145124.1,4,1.6183335650971395
158,WDHD1,3,1.5149424689162074
159,JAM3,4,3.594056457798877
160,SLC44A1,3,2.00489668705108
162,SYT11,3,1.9219778665702936
165,TSPAN6,3,2.1479153843860233
166,PTGFRN,4,inf
172,LAMP3,4,2.8283179288717886
175,CORO1C,3,1.2301290286269608
176,PFKFB4,4,inf
181,GGT7,4,1.6824194147946767
187,DNAH14,4,1.6476633349390295
192,IL17RE,3,2.8789057780169753
196,GNG7,3,2.237949504873403
197,CA8,3,2.7460819627040443
200,HIF1A-AS2,3,2.8630443279486024
202,ZNF608,3,2.779886937442509
204,ZNF711,4,1.7676394669467679
205,CIART,4,2.0808669395338995
209,CBFA2T3,3,3.2780794957226944
210,HHIP-AS1,4,inf
212,DSG2,3,3.7462326450617973
214,CEP112,3,2.40364975075262
215,PTPRM,3,2.0448475848615915
222,CPXM1,3,1.8543288876708024
228,CCDC74A,3,3.447946393622708
229,CLIP3,3,2.6787794728530474
233,SPRED2,4,1.9647402938497396
235,TP53I11,3,1.9482017220591679
237,ZNRF1,5,2.164031150813385
246,LGALS3BP,3,1.7778154610067443
271,HK2,3,1.8152177341504758
285,UBE2E2,3,1.1566926102809572
292,ZNF43,3,1.2327336664269226
297,LDHA,4,1.1463509891312573
329,ARHGAP32,3,1.795842761758311
353,PGM2L1,3,1.4298458477902785
361,BNIP3,3,1.628520265624733
398,PDK1,3,1.1702655529317725
408,PMEPA1,3,2.710886108728587
