Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	7/200	4.73032462241117e-05	0.0017029168640680212	0	0	8.124352331606218	80.90986944335455	IL1B;PLAUR;TRIP10;G0S2;HES1;SOD2;PNRC1
MSigDB_Hallmark_2020	KRAS Signaling Up	6/200	0.0003852164645539641	0.006933896361971354	0	0	6.8496467045059655	53.849902677165886	MAFB;TSPAN13;IL1B;C3AR1;PLAUR;G0S2
MSigDB_Hallmark_2020	Pperoxisome	4/104	0.0015282974854259948	0.01833956982511194	0	0	8.705494505494505	56.442952165486886	ACSL1;BCL10;SOD2;DHRS3
MSigDB_Hallmark_2020	Inflammatory Response	5/200	0.002662376379366177	0.0239613874142956	0	0	5.615384615384616	33.29101085304574	IL1R1;IL1B;OSM;C3AR1;PLAUR
MSigDB_Hallmark_2020	Cholesterol Homeostasis	3/74	0.005274615179197341	0.037977229290220856	0	0	9.109308022045317	47.776950117511504	PLAUR;CPEB2;PNRC1
MSigDB_Hallmark_2020	Complement	4/200	0.01524457098272614	0.09146742589635684	0	0	4.4200493384166855	18.491417143603503	C1QA;CTSL;PLAUR;C1QC
MSigDB_Hallmark_2020	Apoptosis	3/161	0.04140903646222666	0.193777024084002	0	0	4.075467804072647	12.977333418977494	IL1B;BCL10;SOD2
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	2/87	0.06440314693494438	0.193777024084002	0	0	5.0145477545857045	13.752862474796775	IL1R1;IL1B
MSigDB_Hallmark_2020	Estrogen Response Early	3/200	0.06997503647477847	0.193777024084002	0	0	3.2621937762083424	8.676185118672581	DLC1;HES1;DHRS3
MSigDB_Hallmark_2020	Myogenesis	3/200	0.06997503647477847	0.193777024084002	0	0	3.2621937762083424	8.676185118672581	COL1A1;DMPK;ACSL1
MSigDB_Hallmark_2020	p53 Pathway	3/200	0.06997503647477847	0.193777024084002	0	0	3.2621937762083424	8.676185118672581	TGFA;RALGDS;ZFP36L1
MSigDB_Hallmark_2020	Allograft Rejection	3/200	0.06997503647477847	0.193777024084002	0	0	3.2621937762083424	8.676185118672581	IL1B;BCL10;GBP2
MSigDB_Hallmark_2020	KRAS Signaling Dn	3/200	0.06997503647477847	0.193777024084002	0	0	3.2621937762083424	8.676185118672581	SELENOP;KCNN1;TENT5C
MSigDB_Hallmark_2020	Bile Acid Metabolism	2/112	0.09929222915945786	0.2553228749814631	0	0	3.869990224828935	8.93846985543805	ACSL1;PEX11G
MSigDB_Hallmark_2020	Notch Signaling	1/32	0.1414241084723952	0.3124237931147298	0	0	6.820178448867535	13.3402147687031	HES1
MSigDB_Hallmark_2020	UV Response Dn	2/144	0.14959807973147976	0.3124237931147298	0	0	2.9930334696350145	5.6861741129988514	COL1A1;DLC1
MSigDB_Hallmark_2020	Hedgehog Signaling	1/36	0.15764814604402158	0.3124237931147298	0	0	6.0395136778115495	11.157335077597404	TLE1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	2/158	0.17296259000817688	0.3124237931147298	0	0	2.722497932175352	4.7771125371257686	ACSL1;G0S2
