Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	7/199	8.170915003992813e-05	0.0012225718501544095	0	0	7.405927835051546	69.70714462018701	SOCS2;GABARAPL1;AHNAK;CISH;PTGER2;IL18R1;SERPINB6
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	7/200	8.431530001064893e-05	0.0012225718501544095	0	0	7.367181240318358	69.1111383360861	NR4A2;SOCS3;PLEK;FOSB;SIK1;JUNB;KLF2
MSigDB_Hallmark_2020	Apoptosis	5/161	0.0015389844907292573	0.014876850077049487	0	0	6.390831390831392	41.39106629858362	ANXA1;LMNA;FAS;TSPO;CDC25B
MSigDB_Hallmark_2020	Interferon Gamma Response	5/200	0.003932263879133558	0.019005942082478862	0	0	5.102564102564102	28.260755222784233	SOCS3;FAS;UPP1;SAMHD1;HLA-DRB1
MSigDB_Hallmark_2020	Complement	5/200	0.003932263879133558	0.019005942082478862	0	0	5.102564102564102	28.260755222784233	FCER1G;ITGAM;PLEK;S100A9;CD55
MSigDB_Hallmark_2020	Inflammatory Response	5/200	0.003932263879133558	0.019005942082478862	0	0	5.102564102564102	28.260755222784233	PTGER2;OSM;IL18R1;CD55;BEST1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	3/87	0.010557056992719787	0.04373637896983913	0	0	7.0056577086280045	31.882473143730426	SOCS3;FAS;IL18R1
MSigDB_Hallmark_2020	Coagulation	3/138	0.035341009415635685	0.1281111591316794	0	0	4.347854785478549	14.533623102701526	ANXA1;PLEK;CAPN2
MSigDB_Hallmark_2020	Xenobiotic Metabolism	3/200	0.08639514793856477	0.2277690263834889	0	0	2.9701462532040006	7.2733647240378785	GABARAPL1;FAS;UPP1
MSigDB_Hallmark_2020	p53 Pathway	3/200	0.08639514793856477	0.2277690263834889	0	0	2.9701462532040006	7.2733647240378785	CDKN2A;FAS;UPP1
MSigDB_Hallmark_2020	Allograft Rejection	3/200	0.08639514793856477	0.2277690263834889	0	0	2.9701462532040006	7.2733647240378785	CDKN2A;FAS;HLA-DRA
MSigDB_Hallmark_2020	DNA Repair	2/150	0.18352403098974507	0.4259199577972153	0	0	2.6163222045574988	4.4357379418687115	PDE6G;BOLA2
MSigDB_Hallmark_2020	UV Response Up	2/158	0.1985561429974647	0.4259199577972153	0	0	2.4811463046757165	4.0112280005345315	FOSB;JUNB
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	1/49	0.2256815539658193	0.4259199577972153	0	0	4.014563106796117	5.976200388856242	JUNB
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	0.2456559199877992	0.4259199577972153	0	0	3.634914819564023	5.102778558422386	JUNB
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	0.2790510068326583	0.4259199577972153	0	0	1.95068330362448	2.4897754945672688	CISH;S100A9
MSigDB_Hallmark_2020	E2F Targets	2/200	0.2790510068326583	0.4259199577972153	0	0	1.95068330362448	2.4897754945672688	CDKN2A;CDC25B
MSigDB_Hallmark_2020	KRAS Signaling Up	2/200	0.2790510068326583	0.4259199577972153	0	0	1.95068330362448	2.4897754945672688	LAT2;FCER1G
MSigDB_Hallmark_2020	KRAS Signaling Dn	2/200	0.2790510068326583	0.4259199577972153	0	0	1.95068330362448	2.4897754945672688	NR4A2;TENT5C
MSigDB_Hallmark_2020	Androgen Response	1/100	0.4070550586365517	0.5791083957260618	0	0	1.9414533686378344	1.7449915352070269	INPP4B
MSigDB_Hallmark_2020	Pperoxisome	1/104	0.4193543555257689	0.5791083957260618	0	0	1.8656800829484401	1.6213487521726901	TSPO
MSigDB_Hallmark_2020	UV Response Dn	1/144	0.529263154909483	0.6493430720264805	0	0	1.341095797406477	0.8532983705980475	INPP4B
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	0.5626408949910002	0.6493430720264805	0	0	1.2206418898027334	0.7020078690840682	GABARAPL1
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	0.6493430720264805	0.6493430720264805	0	0	0.9609698980338586	0.4149411183845573	CDC25B
MSigDB_Hallmark_2020	Adipogenesis	1/200	0.6493430720264805	0.6493430720264805	0	0	0.9609698980338586	0.4149411183845573	PIM3
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	0.6493430720264805	0.6493430720264805	0	0	0.9609698980338586	0.4149411183845573	CISH
MSigDB_Hallmark_2020	Myc Targets V1	1/200	0.6493430720264805	0.6493430720264805	0	0	0.9609698980338586	0.4149411183845573	U2AF1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	1/200	0.6493430720264805	0.6493430720264805	0	0	0.9609698980338586	0.4149411183845573	FAS
MSigDB_Hallmark_2020	heme Metabolism	1/200	0.6493430720264805	0.6493430720264805	0	0	0.9609698980338586	0.4149411183845573	TENT5C
