Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Interferon Alpha Response	7/97	2.27635908572046e-06	3.805433758292464e-05	0	0	13.267145593869731	172.3791375651854	LGALS3BP;PLSCR1;LAMP3;CMPK2;DDX60;PARP9;IFIT3
MSigDB_Hallmark_2020	Hypoxia	9/200	4.113982441397258e-06	3.805433758292464e-05	0	0	8.136952328465142	100.90731440542271	LDHA;P4HA1;RRAGD;AK4;ALDOC;ENO2;HK2;PDK1;VEGFA
MSigDB_Hallmark_2020	mTORC1 Signaling	9/200	4.113982441397258e-06	3.805433758292464e-05	0	0	8.136952328465142	100.90731440542271	MLLT11;LDHA;P4HA1;SORD;AK4;BCAT1;HK2;PDK1;MCM2
MSigDB_Hallmark_2020	Glycolysis	9/200	4.113982441397258e-06	3.805433758292464e-05	0	0	8.136952328465142	100.90731440542271	LDHA;PKM;P4HA1;PGAM1;RRAGD;AK4;ENO2;HK2;VEGFA
MSigDB_Hallmark_2020	Interferon Gamma Response	7/200	0.00024036937030046278	0.0017787333402234245	0	0	6.154547078792209	51.28789504039728	LGALS3BP;PLSCR1;OAS3;CMPK2;IFIT1;DDX60;IFIT3
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	6/199	0.0014583919184492852	0.00899341683043726	0	0	5.230237810548691	34.15565418443408	SPRED2;PLSCR1;P4HA1;SYT11;RRAGD;HK2
MSigDB_Hallmark_2020	Angiogenesis	2/36	0.020622849856996105	0.10900649210126513	0	0	9.64657267865824	37.4417789021031	PTK2;VEGFA
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	4/200	0.0351336225048488	0.1624930040849257	0	0	3.3752358086091583	11.30230349342956	BASP1;PMEPA1;ENO2;VEGFA
MSigDB_Hallmark_2020	TGF-beta Signaling	2/54	0.043621112707563775	0.1793312411310955	0	0	6.301652892561983	19.738125472583143	PMEPA1;SKIL
MSigDB_Hallmark_2020	Myc Targets V2	2/58	0.04960093832942437	0.18352347181887016	0	0	5.850354191263282	17.57297523628775	SORD;HK2
