Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3/39	1.727765251504348e-05	0.005477015847268783	0	0	72.23913043478261	792.1812865227807	NDUFB8;NDUFA11;NDUFC2
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	3/58	5.7387246010547265e-05	0.006063918995114496	0	0	47.23873517786562	461.3187716653817	NDUFB8;NDUFA11;NDUFC2
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	3/58	5.7387246010547265e-05	0.006063918995114496	0	0	47.23873517786562	461.3187716653817	NDUFB8;NDUFA11;NDUFC2
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	3/70	0.00010076044925812604	0.006664301043973544	0	0	38.754704737183644	356.6504266910726	NDUFB8;NDUFA11;NDUFC2
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	3/71	0.00010511515842229564	0.006664301043973544	0	0	38.18286445012788	349.7723757477323	NDUFB8;NDUFA11;NDUFC2
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	3/90	0.00021255262344121298	0.011229863605144087	0	0	29.81559220389805	252.13021730456023	NDUFB8;NDUFA11;NDUFC2
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	3/103	0.0003164079494425796	0.014328759996185391	0	0	25.92260869565217	208.8967770020929	RPS17;CHMP4A;RPS10
GO_Biological_Process_2021	regulation of neural precursor cell proliferation (GO:2000177)	2/23	0.00040428492626813997	0.016019790203375045	0	0	79.17857142857143	618.6531109111313	ID2;NAP1L1
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	4/417	0.001935841757048271	0.06818464855381133	0	0	8.611490204710543	53.797813819151315	RPS17;NEDD8;IGFBP7;RPS10
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	4/481	0.0032452090947424172	0.09028554575199103	0	0	7.431675242995997	42.58777603376035	PSMA2;COMMD3;NDUFC2;CTSD
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	4/485	0.0033430514624611146	0.09028554575199103	0	0	7.368361368361367	42.006079687627114	PSMA2;COMMD3;NDUFC2;CTSD
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	4/488	0.0034177493660059693	0.09028554575199103	0	0	7.321562734785875	41.577492956603756	PSMA2;COMMD3;NDUFC2;CTSD
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2/90	0.006066897719037308	0.09883293961748214	0	0	18.831439393939394	96.13276351839643	RPS17;RPS10
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	2/93	0.0064649946755806955	0.09883293961748214	0	0	18.207875457875453	91.79232920799026	RPS17;RPS10
GO_Biological_Process_2021	negative regulation of B cell differentiation (GO:0045578)	1/5	0.006483689369798885	0.09883293961748214	0	0	199.7	1006.1815770136444	ID2
GO_Biological_Process_2021	His-Purkinje system development (GO:0003164)	1/5	0.006483689369798885	0.09883293961748214	0	0	199.7	1006.1815770136444	ID2
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	2/94	0.006600284483977989	0.09883293961748214	0	0	18.009057971014492	90.41704232490787	RPS17;RPS10
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	3/314	0.007627172430486078	0.09883293961748214	0	0	8.246749615545925	40.211465228848965	RPS17;NAP1L1;RPS10
GO_Biological_Process_2021	membrane invagination (GO:0010324)	1/7	0.009065844334115208	0.09883293961748214	0	0	133.12	626.0954814439701	CHMP4A
GO_Biological_Process_2021	negative regulation of lymphocyte differentiation (GO:0045620)	1/7	0.009065844334115208	0.09883293961748214	0	0	133.12	626.0954814439701	ID2
GO_Biological_Process_2021	platelet dense granule organization (GO:0060155)	1/7	0.009065844334115208	0.09883293961748214	0	0	133.12	626.0954814439701	BLOC1S1
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	2/113	0.009412115154388159	0.09883293961748214	0	0	14.912162162162161	69.57653354304189	RPS17;RPS10
GO_Biological_Process_2021	post-translational protein modification (GO:0043687)	3/345	0.00985977929413366	0.09883293961748214	0	0	7.4874141876430205	34.58654867337868	PSMA2;NEDD8;IGFBP7
GO_Biological_Process_2021	tumor necrosis factor-mediated signaling pathway (GO:0033209)	2/116	0.00989717785688362	0.09883293961748214	0	0	14.517543859649123	67.00580538084053	PSMA2;TNFSF12
GO_Biological_Process_2021	positive regulation of astrocyte differentiation (GO:0048711)	1/8	0.010354501736256565	0.09883293961748214	0	0	114.09714285714287	521.4620402892078	ID2
GO_Biological_Process_2021	cellular response to interleukin-21 (GO:0098757)	1/8	0.010354501736256565	0.09883293961748214	0	0	114.09714285714287	521.4620402892078	IL2RG
GO_Biological_Process_2021	mammary gland epithelial cell differentiation (GO:0060644)	1/8	0.010354501736256565	0.09883293961748214	0	0	114.09714285714287	521.4620402892078	ID2
GO_Biological_Process_2021	negative regulation of muscle cell differentiation (GO:0051148)	1/8	0.010354501736256565	0.09883293961748214	0	0	114.09714285714287	521.4620402892078	ID2
GO_Biological_Process_2021	interleukin-21-mediated signaling pathway (GO:0038114)	1/8	0.010354501736256565	0.09883293961748214	0	0	114.09714285714287	521.4620402892078	IL2RG
GO_Biological_Process_2021	cellular response to interleukin-9 (GO:0071355)	1/9	0.011641548186931168	0.09883293961748214	0	0	99.83	444.56044425456116	IL2RG
GO_Biological_Process_2021	positive regulation of blood pressure (GO:0045777)	1/9	0.011641548186931168	0.09883293961748214	0	0	99.83	444.56044425456116	ID2
GO_Biological_Process_2021	lipoprotein metabolic process (GO:0042157)	1/9	0.011641548186931168	0.09883293961748214	0	0	99.83	444.56044425456116	CTSD
GO_Biological_Process_2021	embryonic digestive tract morphogenesis (GO:0048557)	1/9	0.011641548186931168	0.09883293961748214	0	0	99.83	444.56044425456116	ID2
GO_Biological_Process_2021	interleukin-9-mediated signaling pathway (GO:0038113)	1/9	0.011641548186931168	0.09883293961748214	0	0	99.83	444.56044425456116	IL2RG
GO_Biological_Process_2021	regulation of primary metabolic process (GO:0080090)	2/130	0.01230439533707534	0.09883293961748214	0	0	12.920572916666664	56.82207924077536	PSMA2;ID2
GO_Biological_Process_2021	peptidyl-lysine acetylation (GO:0018394)	1/10	0.012926985542465876	0.09883293961748214	0	0	88.73333333333332	385.85142072369416	BLOC1S1
GO_Biological_Process_2021	modification-dependent macromolecule catabolic process (GO:0043632)	1/10	0.012926985542465876	0.09883293961748214	0	0	88.73333333333332	385.85142072369416	NEDD8
GO_Biological_Process_2021	positive regulation of lipase activity (GO:0060193)	1/10	0.012926985542465876	0.09883293961748214	0	0	88.73333333333332	385.85142072369416	RHOC
GO_Biological_Process_2021	secretory granule organization (GO:0033363)	1/10	0.012926985542465876	0.09883293961748214	0	0	88.73333333333332	385.85142072369416	BLOC1S1
GO_Biological_Process_2021	cellular response to interleukin-2 (GO:0071352)	1/11	0.014210815676953212	0.09883293961748214	0	0	79.85600000000001	339.68761467350566	IL2RG
GO_Biological_Process_2021	lipoprotein catabolic process (GO:0042159)	1/11	0.014210815676953212	0.09883293961748214	0	0	79.85600000000001	339.68761467350566	CTSD
