Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	5/209	4.294770956450632e-06	0.0019455312432721359	0	0	25.505675954592363	315.2020085479187	PPP1CB;CDKN1A;UBE2C;CCNH;CDK1
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	4/130	1.6371039825096234e-05	0.002547844627314476	0	0	31.50793650793651	347.2173547165267	PPP1CB;CDKN1A;CCNH;CDK1
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	4/131	1.6873143227248183e-05	0.002547844627314476	0	0	31.25826771653543	343.5217153915819	PPP1CB;CDKN1A;CCNH;CDK1
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	5/296	2.316232861039252e-05	0.002623133715126953	0	0	17.801591607885694	189.9960911161483	SDCBP;CDKN1A;JUND;DYNLT3;BIRC3
GO_Biological_Process_2021	positive regulation of oligodendrocyte differentiation (GO:0048714)	2/8	3.847032196562326e-05	0.0034854111700854677	0	0	302.5757575757576	3075.8712232612634	CXCR4;TNFRSF1B
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	4/178	5.6075459424314e-05	0.004233697186535707	0	0	22.76091954022989	222.80236880325603	SDCBP;UBE2C;DYNLT3;CDK1
GO_Biological_Process_2021	positive regulation of membrane protein ectodomain proteolysis (GO:0051044)	2/15	0.00014352676264691862	0.009288231925579165	0	0	139.6013986013986	1235.3312463141472	SNX9;TNFRSF1B
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	3/95	0.00019545258891225063	0.0095978376750776	0	0	30.87577639751553	263.68508081155176	CDKN1A;UBE2C;CDK1
GO_Biological_Process_2021	positive regulation of glial cell differentiation (GO:0045687)	2/18	0.00020868016842799032	0.0095978376750776	0	0	113.4090909090909	961.1089042220101	CXCR4;TNFRSF1B
GO_Biological_Process_2021	regulation of T cell cytokine production (GO:0002724)	2/19	0.0002330600759952618	0.0095978376750776	0	0	106.73262032085562	892.7345092435008	TNFRSF1B;CD55
GO_Biological_Process_2021	regulation of oligodendrocyte differentiation (GO:0048713)	2/19	0.0002330600759952618	0.0095978376750776	0	0	106.73262032085562	892.7345092435008	CXCR4;TNFRSF1B
GO_Biological_Process_2021	regulation of programmed necrotic cell death (GO:0062098)	2/20	0.00025876610708752327	0.009768420542554005	0	0	100.79797979797979	832.5495793111635	SDCBP;BIRC3
GO_Biological_Process_2021	regulation of membrane protein ectodomain proteolysis (GO:0051043)	2/22	0.00031414474221255696	0.010946736017099102	0	0	90.7090909090909	731.6283882755846	SNX9;TNFRSF1B
GO_Biological_Process_2021	regulation of necroptotic process (GO:0060544)	2/23	0.00034381145881898543	0.0111247564889286	0	0	86.38528138528139	688.9586534300897	SDCBP;BIRC3
GO_Biological_Process_2021	regulation of response to external stimulus (GO:0032101)	3/130	0.0004914664500931608	0.014842286792813457	0	0	22.327334083239595	170.09224068601748	CXCR4;CD55;BIRC3
GO_Biological_Process_2021	regulation of response to biotic stimulus (GO:0002831)	2/29	0.0005493106201692561	0.015552356933542063	0	0	67.16835016835017	504.2224932837275	CD55;BIRC3
GO_Biological_Process_2021	mitotic G2 DNA damage checkpoint signaling (GO:0007095)	2/33	0.0007122855268112139	0.018980314332087054	0	0	58.489736070381234	423.87697178566015	CDKN1A;CDK1
GO_Biological_Process_2021	positive regulation of T cell mediated immunity (GO:0002711)	2/36	0.0008480218264323182	0.021341882631880013	0	0	53.32085561497326	377.1173065055224	CD55;HSPD1
GO_Biological_Process_2021	protein stabilization (GO:0050821)	3/179	0.0012424168519632242	0.02962183336522845	0	0	16.071428571428573	107.5290544636368	CDKN1A;CCNH;HSPD1
GO_Biological_Process_2021	mitotic G2/M transition checkpoint (GO:0044818)	2/45	0.0013238573520127186	0.029985369023088074	0	0	42.14164904862579	279.2813711962976	CDKN1A;CDK1
GO_Biological_Process_2021	regulation of T cell activation (GO:0050863)	2/47	0.0014434314962566935	0.03113687941925154	0	0	40.26464646464647	263.3602622718241	TNFRSF1B;HSPD1
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	3/206	0.0018580559608721914	0.037441794035799864	0	0	13.914848698099927	87.49969277781614	NINJ1;TNFRSF1B;BIRC3
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	2/54	0.0019010182402282487	0.037441794035799864	0	0	34.83216783216783	218.23626682147088	CDKN1A;CCNH
