Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	4/200	8.814271911404375e-05	0.0022917106969651377	0	0	20.183673469387763	188.4459421090328	CDKN1A;NINJ1;FOSL2;BIRC3
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	3/105	0.00026263364631937797	0.003414237402151914	0	0	27.834733893557424	229.49043553658353	CDKN1A;CDK1;CXCR4
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	3/199	0.0016833730119356573	0.006342759328770682	0	0	14.416909620991257	92.08016384706592	ARL4A;SNX9;TNFRSF1B
MSigDB_Hallmark_2020	Hypoxia	3/200	0.0017076659731305678	0.006342759328770682	0	0	14.343002175489485	91.40261395182884	CDKN1A;CXCR4;FOSL2
MSigDB_Hallmark_2020	mTORC1 Signaling	3/200	0.0017076659731305678	0.006342759328770682	0	0	14.343002175489485	91.40261395182884	CDKN1A;CXCR4;HSPD1
MSigDB_Hallmark_2020	Inflammatory Response	3/200	0.0017076659731305678	0.006342759328770682	0	0	14.343002175489485	91.40261395182884	CDKN1A;TNFRSF1B;CD55
MSigDB_Hallmark_2020	KRAS Signaling Up	3/200	0.0017076659731305678	0.006342759328770682	0	0	14.343002175489485	91.40261395182884	CXCR4;TNFRSF1B;BIRC3
MSigDB_Hallmark_2020	Spermatogenesis	2/135	0.011326138444100452	0.03680994994332647	0	0	13.563226247436775	60.7719623706181	ARL4A;CDK1
MSigDB_Hallmark_2020	Apoptosis	2/161	0.01582607027477345	0.04414230311578128	0	0	11.330474556889653	46.977242958345784	CDKN1A;BIRC3
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	0.023768932446959143	0.04414230311578128	0	0	9.08080808080808	33.956554984338226	UBE2C;CDK1
MSigDB_Hallmark_2020	Interferon Gamma Response	2/200	0.023768932446959143	0.04414230311578128	0	0	9.08080808080808	33.956554984338226	CDKN1A;ARL4A
MSigDB_Hallmark_2020	E2F Targets	2/200	0.023768932446959143	0.04414230311578128	0	0	9.08080808080808	33.956554984338226	CDKN1A;CDK1
MSigDB_Hallmark_2020	Glycolysis	2/200	0.023768932446959143	0.04414230311578128	0	0	9.08080808080808	33.956554984338226	CDK1;CXCR4
MSigDB_Hallmark_2020	p53 Pathway	2/200	0.023768932446959143	0.04414230311578128	0	0	9.08080808080808	33.956554984338226	CDKN1A;NINJ1
MSigDB_Hallmark_2020	Myc Targets V2	1/58	0.06736465064138245	0.11676539444506293	0	0	15.193745232646835	40.98717694310057	HSPD1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1/87	0.09939427472817164	0.16151569643327893	0	0	10.055611729019212	23.21499626974228	TNFRSF1B
MSigDB_Hallmark_2020	DNA Repair	1/150	0.16538295333718495	0.2144310182188985	0	0	5.78552669973738	10.411006495037403	SDCBP
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	0.21347770736093505	0.2144310182188985	0	0	4.3429951690821245	6.706552451090786	CDK1
MSigDB_Hallmark_2020	Adipogenesis	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	ARL4A
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	DYNLT3
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	DYNLT3
MSigDB_Hallmark_2020	Myogenesis	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	CDKN1A
MSigDB_Hallmark_2020	Complement	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	CD55
MSigDB_Hallmark_2020	Myc Targets V1	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	HSPD1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	NINJ1
MSigDB_Hallmark_2020	heme Metabolism	1/200	0.2144310182188985	0.2144310182188985	0	0	4.3209525890321165	6.653261007649562	SDCBP
