Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to interleukin-1 (GO:0071347)	8/155	4.4213568643984425e-09	4.385986009483254e-06	0	0	25.65986394557823	493.6141635478041	NFKBIA;EGR1;CXCL8;CCL3L1;IL1B;CCL5;CCL4;CCL3
GO_Biological_Process_2021	negative regulation by host of viral transcription (GO:0043922)	4/13	2.4297337586328337e-08	1.2051479442818856e-05	0	0	192.66666666666663	3378.005218305921	CCL5;CCL4;CCL3;HMGA2
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	8/206	4.095412221607482e-08	1.354216307944874e-05	0	0	19.001443001443	323.2300006030682	NFKBIA;SPHK1;IL1B;CCL5;NFKBIZ;CCL3;TNFAIP3;TNF
GO_Biological_Process_2021	response to interleukin-1 (GO:0070555)	6/86	7.230986002840071e-08	1.7932845287043374e-05	0	0	33.86931818181818	556.8896712192267	CXCL8;CCL3L1;IL1B;CCL5;CCL4;CCL3
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	8/238	1.2474210963700212e-07	2.015503060061424e-05	0	0	16.331262939958588	259.6183703646517	SEMA6A;CCL3L1;IL1B;CCL5;CCL4;CCL3;TNF;ICAM1
GO_Biological_Process_2021	positive regulation of natural killer cell chemotaxis (GO:2000503)	3/5	1.4648687711442908e-07	2.015503060061424e-05	0	0	636.6382978723404	10018.350338643862	CCL5;CCL4;CCL3
GO_Biological_Process_2021	positive regulation of defense response (GO:0031349)	6/98	1.5826679231403554e-07	2.015503060061424e-05	0	0	29.43379446640316	460.90330686560105	NFKBIA;IL1B;CCL5;NFKBIZ;CCL3;TNF
GO_Biological_Process_2021	lipopolysaccharide-mediated signaling pathway (GO:0031663)	4/20	1.6254056935979225e-07	2.015503060061424e-05	0	0	108.33695652173913	1693.5599448530802	CCL5;IL1B;CCL3;TNF
GO_Biological_Process_2021	chemokine-mediated signaling pathway (GO:0070098)	5/56	2.759038080443561e-07	3.0410730842222365e-05	0	0	43.352941176470594	654.7687287629624	CXCL8;CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	response to tumor necrosis factor (GO:0034612)	6/110	3.148252386550673e-07	3.123066367458268e-05	0	0	26.021853146853147	389.5796207843582	CXCL8;CCL3L1;SPHK1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	protein kinase B signaling (GO:0043491)	4/24	3.538707538969472e-07	3.191270798779742e-05	0	0	86.65217391304348	1287.1603411426954	CCL5;IL1B;CCL3;TNF
GO_Biological_Process_2021	cellular response to chemokine (GO:1990869)	5/60	3.915355339243013e-07	3.2366937471075576e-05	0	0	40.19191919191919	592.9590027029255	CXCL8;CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	cellular response to tumor necrosis factor (GO:0071356)	7/194	5.088515117371194e-07	3.484338708428691e-05	0	0	17.204452182564356	249.31160198633012	NFKBIA;CXCL8;CCL3L1;CCL5;CCL4;CCL3;TNF
GO_Biological_Process_2021	regulation of natural killer cell chemotaxis (GO:2000501)	3/7	5.109076037011197e-07	3.484338708428691e-05	0	0	318.28723404255317	4611.051692443593	CCL5;CCL4;CCL3
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	6/120	5.268657321212738e-07	3.484338708428691e-05	0	0	23.72727272727273	343.00904961282737	CXCL8;IL1B;CCL5;CCL3;TNFAIP3;TNF
GO_Biological_Process_2021	neutrophil chemotaxis (GO:0030593)	5/70	8.51548432464697e-07	5.2796002812811216e-05	0	0	33.99145299145299	475.07166684012833	CXCL8;CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	5/73	1.0508789438099845e-06	6.132187719173557e-05	0	0	32.48692810457516	447.2112725834527	CXCL8;CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	modulation by host of symbiont process (GO:0051851)	4/32	1.1800677910960172e-06	6.503484715373606e-05	0	0	61.8695652173913	844.5157708222612	CCL5;CCL4;CCL3;HMGA2
GO_Biological_Process_2021	positive regulation of response to external stimulus (GO:0032103)	6/139	1.2495662888514222e-06	6.524051360740058e-05	0	0	20.318181818181817	276.1792351814603	NFKBIA;IL1B;CCL5;NFKBIZ;CCL3;TNF
GO_Biological_Process_2021	neutrophil migration (GO:1990266)	5/77	1.3720031205746515e-06	6.805135478050272e-05	0	0	30.67592592592593	414.10164807997774	CXCL8;CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	inflammatory response (GO:0006954)	7/230	1.5924426381786643e-06	7.52239570034874e-05	0	0	14.400771717593074	192.25377978609825	CXCL8;CCL3L1;IL1B;CCL5;CCL4;CCL3;TNF
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	10/621	2.5944544165285305e-06	0.00010955075494455367	0	0	7.9128477905073655	101.77611103680992	NFKBIA;EGR1;CXCL8;CCL3L1;IL1B;CCL5;CCL4;CCL3;TNF;ICAM1
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	6/158	2.635180949647477e-06	0.00010955075494455367	0	0	17.761363636363637	228.17240066622728	EHD1;NR4A1;CXCL8;SEMA6A;SPHK1;CCL5
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	9/482	2.650421490594041e-06	0.00010955075494455367	0	0	9.038983138245758	116.06770126298237	EGR1;CXCL8;CCL3L1;IL1B;CCL5;CCL4;CCL3;TNF;ICAM1
GO_Biological_Process_2021	positive regulation of inflammatory response (GO:0050729)	5/89	2.8182137033055165e-06	0.00011182671974716292	0	0	26.277777777777782	335.81442548341727	NFKBIA;IL1B;NFKBIZ;CCL3;TNF
GO_Biological_Process_2021	lymphocyte migration (GO:0072676)	4/40	2.9552766795183957e-06	0.00011275517177239416	0	0	48.10144927536232	612.4237213484249	CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	positive regulation of neuroinflammatory response (GO:0150078)	3/12	3.183301843206519e-06	0.00011695686772077285	0	0	141.42553191489358	1790.1066225817306	IL1B;CCL3;TNF
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	4/42	3.6061941492151016e-06	0.00012776230700076358	0	0	45.56521739130435	571.0623808062052	CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	7/267	4.273497303898047e-06	0.00013944366846181197	0	0	12.328264758497314	152.41529912498362	EGFL7;CXCL8;SEMA6A;IL1B;CCL5;TNFAIP3;TNF
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	6/172	4.305156305386295e-06	0.00013944366846181197	0	0	16.251916757940855	200.803760964731	CCL3L1;CCL5;CCL4;CCL3;TNF;ICAM1
GO_Biological_Process_2021	lymphocyte chemotaxis (GO:0048247)	4/44	4.357614639431624e-06	0.00013944366846181197	0	0	43.28260869565217	534.2625919775811	CCL3L1;CCL5;CCL4;CCL3
GO_Biological_Process_2021	positive regulation of cellular biosynthetic process (GO:0031328)	6/180	5.592564428638942e-06	0.00017336949728780722	0	0	15.498432601880875	187.4391694314469	EGR1;CXCL8;IL1B;CCL5;EIF3C;TNF
GO_Biological_Process_2021	eosinophil chemotaxis (GO:0048245)	3/16	8.046099028490014e-06	0.00023475677165476737	0	0	97.89034369885435	1148.2853674678524	CCL5;CCL4;CCL3
GO_Biological_Process_2021	eosinophil migration (GO:0072677)	3/16	8.046099028490014e-06	0.00023475677165476737	0	0	97.89034369885435	1148.2853674678524	CCL5;CCL4;CCL3
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	6/203	1.1124184064625287e-05	0.0003152911597745225	0	0	13.673050299953857	155.9601315647856	CXCL8;SEMA6A;SPHK1;IL1B;HMGA2;TNFAIP3
