Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	complement receptor mediated signaling pathway (GO:0002430)	3/11	2.3916814733302462e-06	0.0008968805524988425	0	0	159.11170212765958	2059.4645271979143	C5AR1;FPR3;FPR2
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	4/68	2.5013799905103905e-05	0.00358427786936375	0	0	27.019021739130434	286.29579393253863	HLA-DRB5;HLA-DRA;MID1;HLA-DPA1
GO_Biological_Process_2021	immune response-activating cell surface receptor signaling pathway (GO:0002429)	3/24	2.8674222954909997e-05	0.00358427786936375	0	0	60.57446808510638	633.5793754459056	C5AR1;FPR3;FPR2
GO_Biological_Process_2021	negative regulation of keratinocyte proliferation (GO:0010839)	2/8	0.00016986300982591541	0.012739725736943656	0	0	138.5	1202.2517804391234	VDR;KLF9
GO_Biological_Process_2021	heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)	2/8	0.00016986300982591541	0.012739725736943656	0	0	138.5	1202.2517804391234	EXT1;NDST3
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	4/121	0.0002367472667606436	0.014796704172540222	0	0	14.740245261984393	123.05919361950457	HLA-DRB5;HLA-DRA;MID1;HLA-DPA1
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	4/158	0.0006508160707344692	0.03486514664648942	0	0	11.17786561264822	82.01516880317187	BTNL9;HLA-DRB5;HLA-DRA;HLA-DPA1
GO_Biological_Process_2021	heparan sulfate proteoglycan biosynthetic process (GO:0015012)	2/19	0.0010193089566942573	0.042538400120837185	0	0	48.85539215686275	336.5467383808832	EXT1;NDST3
GO_Biological_Process_2021	phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	3/81	0.0010935526678219588	0.042538400120837185	0	0	16.261865793780686	110.87866258284605	C5AR1;FPR3;FPR2
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	4/185	0.0011708446867732779	0.042538400120837185	0	0	9.497477780446793	64.10825838617981	BTNL9;HLA-DRB5;HLA-DRA;HLA-DPA1
GO_Biological_Process_2021	heparan sulfate proteoglycan metabolic process (GO:0030201)	2/21	0.0012477930702112238	0.042538400120837185	0	0	43.70833333333334	292.25047477799524	EXT1;NDST3
GO_Biological_Process_2021	microglial cell activation (GO:0001774)	2/22	0.001370383663162003	0.042824489473812594	0	0	41.520833333333336	273.7329252658829	C5AR1;FPR2
GO_Biological_Process_2021	regulation of keratinocyte proliferation (GO:0010837)	2/24	0.001632124977335775	0.044220797159026236	0	0	37.74242424242424	242.22606459531661	VDR;KLF9
GO_Biological_Process_2021	cellular polysaccharide biosynthetic process (GO:0033692)	2/25	0.0017712212130127313	0.044220797159026236	0	0	36.09963768115942	228.73040961874747	EXT1;NDST3
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	3/98	0.0018922236540246308	0.044220797159026236	0	0	13.340425531914894	83.64450283646559	HLA-DRB5;HLA-DRA;HLA-DPA1
GO_Biological_Process_2021	positive regulation of protein modification process (GO:0031401)	4/214	0.0019970055704990283	0.044220797159026236	0	0	8.173913043478262	50.80991346966579	MARCO;FGF9;FGF20;FPR2
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	3/100	0.0020046761378758565	0.044220797159026236	0	0	13.064049133581927	81.15743654844592	HLA-DRB5;HLA-DRA;HLA-DPA1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	3/103	0.002181029234164079	0.045438109045084975	0	0	12.670212765957446	77.64253659479164	HLA-DRB5;HLA-DRA;HLA-DPA1
GO_Biological_Process_2021	proteoglycan biosynthetic process (GO:0030166)	2/31	0.0027192556482504363	0.053669519373363866	0	0	28.62212643678161	169.08226656127547	EXT1;NDST3
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	4/253	0.003649152705951789	0.06526653076425752	0	0	6.880041906757464	38.619465916530906	MARCO;FGF9;FGF20;FPR2
GO_Biological_Process_2021	macrophage activation (GO:0042116)	2/36	0.003654925722798421	0.06526653076425752	0	0	24.40686274509804	136.96349152286243	C5AR1;FPR2
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	4/266	0.004359667683779656	0.07431251733715324	0	0	6.534351145038168	35.51654720556709	MARCO;FGF9;FGF20;FPR2
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	4/274	0.004840473035938835	0.07892075602074188	0	0	6.338164251207728	33.78712362691089	MARCO;C5AR1;FPR2;MID1
GO_Biological_Process_2021	receptor-mediated endocytosis (GO:0006898)	3/143	0.005487804528802497	0.08574694576253902	0	0	9.031914893617019	47.01316733028689	MARCO;ALB;FPR2
GO_Biological_Process_2021	positive regulation of cytosolic calcium ion concentration (GO:0007204)	3/147	0.005923308456942808	0.08704802114313025	0	0	8.779255319148936	45.02757253551548	C5AR1;FPR3;FPR2
GO_Biological_Process_2021	regulation of cytosolic calcium ion concentration (GO:0051480)	3/148	0.006035329465923697	0.08704802114313025	0	0	8.718268525311812	44.551440495374926	C5AR1;FPR3;FPR2
GO_Biological_Process_2021	cognition (GO:0050890)	2/48	0.0064203200925442745	0.08917111239644826	0	0	18.02898550724637	91.01549863791357	C5AR1;HLA-DRA
GO_Biological_Process_2021	aminoglycan biosynthetic process (GO:0006023)	2/49	0.006682897030368853	0.08950308522815427	0	0	17.644503546099287	88.36726791367236	EXT1;SDC2
GO_Biological_Process_2021	regulation of immune effector process (GO:0002697)	2/53	0.00778121248393933	0.10061912694749134	0	0	16.25735294117647	78.94640668269976	C5AR1;HLA-DRA
GO_Biological_Process_2021	glycosaminoglycan metabolic process (GO:0030203)	2/54	0.008067670084263163	0.10084587605328954	0	0	15.943910256410255	76.84790240062691	EXT1;SDC2
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	3/172	0.00911156113502346	0.11022049760109023	0	0	7.471106634772756	35.10083699792174	MARCO;C5AR1;FPR2
GO_Biological_Process_2021	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	2/60	0.009884320404054672	0.11583187973501567	0	0	14.290229885057473	65.97521300057967	MARCO;FPR2
GO_Biological_Process_2021	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	1/5	0.012438777192772534	0.12603280583380366	0	0	101.76530612244898	446.43793514006063	HLA-DRA
GO_Biological_Process_2021	cellular response to vitamin D (GO:0071305)	1/5	0.012438777192772534	0.12603280583380366	0	0	101.76530612244898	446.43793514006063	VDR
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	4/371	0.013719446723880035	0.12603280583380366	0	0	4.63997156734984	19.9005642186198	MARCO;FGF9;FGF20;FPR2
GO_Biological_Process_2021	negative regulation of epithelial cell proliferation (GO:0050680)	2/72	0.014004803729585262	0.12603280583380366	0	0	11.833333333333336	50.50886613536218	VDR;KLF9
GO_Biological_Process_2021	positive regulation of anion transport (GO:1903793)	1/6	0.014908284799373634	0.12603280583380366	0	0	81.40816326530613	342.38956234448415	CYP4A11
GO_Biological_Process_2021	regulation of T-helper cell differentiation (GO:0045622)	1/6	0.014908284799373634	0.12603280583380366	0	0	81.40816326530613	342.38956234448415	HLA-DRA
GO_Biological_Process_2021	renal system process involved in regulation of blood volume (GO:0001977)	1/6	0.014908284799373634	0.12603280583380366	0	0	81.40816326530613	342.38956234448415	CYP4A11
GO_Biological_Process_2021	peptide antigen assembly with MHC protein complex (GO:0002501)	1/6	0.014908284799373634	0.12603280583380366	0	0	81.40816326530613	342.38956234448415	HLA-DRA
GO_Biological_Process_2021	fibroblast growth factor receptor signaling pathway (GO:0008543)	2/75	0.015132735762129947	0.12603280583380366	0	0	11.345319634703195	47.54704276850611	FGF9;FGF20
GO_Biological_Process_2021	positive regulation of immune response (GO:0050778)	2/75	0.015132735762129947	0.12603280583380366	0	0	11.345319634703195	47.54704276850611	HLA-DRA;FPR2
