Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	25/158	1.577883914544951e-11	2.4640545362835383e-08	0	0	6.155056007365353	153.09071570579658	PSMD8;PSMD4;NFKBIZ;PSMB1;PDE4B;PSMF1;HLA-DQA2;HLA-DQA1;PAG1;HLA-DPA1;HLA-DRB5;RIPK2;PSMB9;PSMC5;PSMA4;PSMA1;PSMA2;PSMC1;PSMC2;UBE2N;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB2;HLA-DQB1
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	27/185	1.692926510672304e-11	2.4640545362835383e-08	0	0	5.607454529744675	139.07596011720852	PSMD8;PSMD4;NFKBIZ;PSMB1;PDE4B;CD38;PSMF1;HLA-DQA2;HLA-DQA1;PAG1;HLA-DPA1;HLA-DRB5;RIPK2;PSMB9;PSMC5;PSMA4;PSMA1;PSMA2;PSMC1;PSMC2;BTK;UBE2N;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB2;HLA-DQB1
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	17/89	1.4544986805936262e-09	1.4113485530693487e-06	0	0	7.651822334079045	155.70390672564517	MRPS16;MRPS35;MRPL19;MRPS18B;MRPL16;MRPS18A;MRPL15;MRPS7;MRPL12;MRPL23;MRPL35;MRPL24;MRPL43;TUFM;MRPL22;MRPL9;AURKAIP1
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	16/89	1.1073514822303166e-08	8.05875041193113e-06	0	0	7.090796447993393	129.89424118921178	MRPS16;MRPS35;MRPL19;MRPS18B;MRPL16;MRPS18A;MRPL15;MRPS7;MRPL12;MRPL23;MRPL35;MRPL24;MRPL43;MRPL22;MRPL9;AURKAIP1
GO_Biological_Process_2021	translational elongation (GO:0006414)	17/104	1.7205981549721768e-08	9.681207532973089e-06	0	0	6.327624778214918	113.12533114572277	MRPS16;MRPS35;MRPL19;MRPS18B;MRPL16;MRPS18A;MRPL15;MRPL12;MRPL23;MRPS7;MRPL24;MRPL35;MRPL43;TUFM;MRPL22;MRPL9;AURKAIP1
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	17/105	1.9954395464733257e-08	9.681207532973089e-06	0	0	6.255395820622331	110.9070193703751	MRPS16;MRPS35;MRPL19;MRPS18B;MRPL16;MRPS18A;MRPL15;MRPL12;MRPL23;MRPS7;MRPL24;MRPL35;MRPL43;TUFM;MRPL22;MRPL9;AURKAIP1
GO_Biological_Process_2021	regulation of cellular amine metabolic process (GO:0033238)	12/51	3.2859776194210016e-08	1.2395251168780833e-05	0	0	9.905542045309101	170.68255877332334	PSMD8;PSMC5;PSMA4;PSMD4;PSMA1;PSMA2;PSMC1;ODC1;PSMB1;PSMC2;PSMF1;PSMB9
GO_Biological_Process_2021	translational termination (GO:0006415)	16/96	3.406458582969655e-08	1.2395251168780833e-05	0	0	6.4680067001675035	111.21742392013608	MRPS16;MRPS35;MRPL19;MRPS18B;MRPL16;MRPS18A;MRPL15;MRPS7;MRPL12;MRPL23;MRPL35;MRPL24;MRPL43;MRPL22;MRPL9;AURKAIP1
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	14/75	5.573740595886345e-08	1.6625040782317855e-05	0	0	7.404800350310628	123.67952462115063	HIGD1A;HIF1A;PSMB9;VEGFA;PSMD8;PSMC5;PSMA4;PSMD4;PSMA1;PSMA2;PSMC1;PSMB1;PSMC2;PSMF1
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	15/87	5.711109853080678e-08	1.6625040782317855e-05	0	0	6.7290273132664415	112.2285166646693	HIGD1A;HIF1A;PSMB9;VEGFA;PSMD8;PSMC5;PSMA4;PSMD4;PSMA1;PSMA2;DDIT3;PSMC1;PSMB1;PSMC2;PSMF1
GO_Biological_Process_2021	regulation of cellular amino acid metabolic process (GO:0006521)	12/54	6.527989941522458e-08	1.727543519979261e-05	0	0	9.19657713334918	152.1535214405944	PSMD8;PSMC5;PSMA4;PSMD4;PSMA1;PSMA2;PSMC1;ODC1;PSMB1;PSMC2;PSMF1;PSMB9
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	45/621	9.221373439838684e-08	2.0940847053755814e-05	0	0	2.587340448943662	41.91273350936461	SP100;CCL3L1;IFI30;CXCL3;HIF1A;TNF;TNFSF13B;IFIT2;PSMD8;PSMD4;PSMB1;STAT4;ITGAX;PSMF1;CD300LF;HLA-DQA2;HLA-DQA1;HLA-DPA1;EGR1;HLA-DRB5;RIPK2;IL18;IL16;HLA-F;LILRB4;MT3;PSMB9;VEGFA;PSMC5;PSMA4;PSMA1;PSMA2;PSMC1;IL1B;IRF1;PSMC2;CSNK2B;HLA-DPB1;UBE2N;HLA-DRA;LTB;HLA-DRB1;HLA-DQB2;HLA-DQB1;BIRC3
