Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	8/68	1.0679672283677186e-08	8.223347658431432e-06	0	0	22.388700564971753	410.9428903644525	MT2A;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-F;MID1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	8/121	9.842753490664615e-07	0.0003789460093905877	0	0	11.856007199640016	163.984705551832	MT2A;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-F;MID1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	7/103	3.9979281360282095e-06	0.0009270094858187275	0	0	12.118872549019608	150.63436576386084	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-F;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	peptide antigen assembly with MHC protein complex (GO:0002501)	3/6	4.8156336925648184e-06	0.0009270094858187275	0	0	161.55284552845532	1977.9953522883334	HLA-DMA;HLA-DRA;HLA-DRB1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	6/98	3.636707579013101e-05	0.0044840977042779505	0	0	10.75108695652174	109.89596276985182	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	complement receptor mediated signaling pathway (GO:0002430)	3/11	3.882307238781856e-05	0.0044840977042779505	0	0	60.5670731707317	615.1492266327807	C5AR1;FPR3;FPR2
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	6/100	4.0764524584345e-05	0.0044840977042779505	0	0	10.52127659574468	106.34589008950456	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	positive regulation of protein modification process (GO:0031401)	8/214	6.42318626565658e-05	0.006182316780694458	0	0	6.472930722395918	62.483272548603814	MARCO;NTRK2;FGF9;GPNMB;FGF20;PLAUR;FPR2;HLA-DRB1
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen (GO:0002483)	3/14	8.446966360572695e-05	0.007226848997378861	0	0	44.04212860310421	413.0763254841807	HLA-DRA;HLA-F;HLA-DRB1
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	4/43	0.00015322838294016858	0.01179858548639298	0	0	16.67507356031946	146.46686014151896	HLA-DRA;CD226;HLA-F;HLA-DRB1
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	8/253	0.00020410417544392264	0.014287292281074584	0	0	5.431753718436528	46.15295970090628	MARCO;NTRK2;FGF9;GPNMB;FGF20;PLAUR;FPR2;HLA-DRB1
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	8/266	0.00028632833512557505	0.0183727348372244	0	0	5.154644593351728	42.05350492811428	MARCO;NTRK2;FGF9;GPNMB;FGF20;PLAUR;FPR2;HLA-DRB1
GO_Biological_Process_2021	regulation of immune effector process (GO:0002697)	4/53	0.00034634264003862136	0.01875625150175841	0	0	13.265306122448981	105.69904672375006	C5AR1;SERPING1;HLA-DRA;HLA-DRB1
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	8/274	0.0003491781728150065	0.01875625150175841	0	0	4.9975786924939465	39.78036777704732	MARCO;NTRK2;GPNMB;C5AR1;FPR2;MID1;HLA-DRB1;LILRA5
GO_Biological_Process_2021	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	2/5	0.0003888973722052202	0.01875625150175841	0	0	106.83333333333331	838.8761737196547	HLA-DRA;HLA-DRB1
GO_Biological_Process_2021	negative regulation of neuron death (GO:1901215)	5/98	0.0003897402909456292	0.01875625150175841	0	0	8.789211765751356	68.99557569750326	NTRK2;GPNMB;FGF20;VSTM2L;HLA-F
GO_Biological_Process_2021	immune response-activating cell surface receptor signaling pathway (GO:0002429)	3/24	0.0004485586774357918	0.020317069507385863	0	0	23.05807200929152	177.76553873097362	C5AR1;FPR3;FPR2
GO_Biological_Process_2021	positive regulation of T cell mediated cytotoxicity (GO:0001916)	3/26	0.0005709396661512804	0.023543349727702098	0	0	21.050901378579	157.21291041557748	HLA-DRA;HLA-F;HLA-DRB1
GO_Biological_Process_2021	regulation of T-helper cell differentiation (GO:0045622)	2/6	0.000580939798475766	0.023543349727702098	0	0	80.12096774193549	596.9703880088007	HLA-DRA;HLA-DRB1
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	6/172	0.0007794625423297258	0.02598628017848768	0	0	5.936144578313253	42.484428298718036	MARCO;NTRK2;GPNMB;C5AR1;FPR2;HLA-DRB1
GO_Biological_Process_2021	regulation of T cell mediated cytotoxicity (GO:0001914)	3/29	0.0007914101672889778	0.02598628017848768	0	0	18.619136960600372	132.97218210308418	HLA-DRA;HLA-F;HLA-DRB1
GO_Biological_Process_2021	AV node cell to bundle of His cell communication (GO:0086067)	2/7	0.0008099619795892264	0.02598628017848768	0	0	64.09354838709677	456.2514143799687	CXADR;CACNA1G
GO_Biological_Process_2021	regulation of natural killer cell cytokine production (GO:0002727)	2/7	0.0008099619795892264	0.02598628017848768	0	0	64.09354838709677	456.2514143799687	CD226;HLA-F
