Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of interleukin-2 production (GO:0032743)	3/26	3.670503597154436e-05	0.009516906451080087	0	0	55.30157261794635	564.7726520715403	ANXA1;PDE4D;MALT1
GO_Biological_Process_2021	glucose import across plasma membrane (GO:0098708)	2/5	6.09567865299597e-05	0.009516906451080087	0	0	277.0416666666667	2688.78505476905	SLC2A1;SLC2A3
GO_Biological_Process_2021	regulation of cell migration involved in sprouting angiogenesis (GO:0090049)	3/32	6.928645627860575e-05	0.009516906451080087	0	0	43.84666177549522	419.93092849264224	ANXA1;THBS1;VEGFA
GO_Biological_Process_2021	regulation of chemotaxis (GO:0050920)	3/32	6.928645627860575e-05	0.009516906451080087	0	0	43.84666177549522	419.93092849264224	GPR183;CXCR4;THBS1
GO_Biological_Process_2021	regulation of sprouting angiogenesis (GO:1903670)	3/33	7.608112255540456e-05	0.009516906451080087	0	0	42.38297872340426	401.94789546221466	CEMIP2;THBS1;VEGFA
GO_Biological_Process_2021	regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	2/6	9.128927051395768e-05	0.009516906451080087	0	0	207.77083333333331	1932.5756890799973	ACSL1;THBS1
GO_Biological_Process_2021	regulation of nitric oxide mediated signal transduction (GO:0010749)	2/6	9.128927051395768e-05	0.009516906451080087	0	0	207.77083333333331	1932.5756890799973	THBS1;VEGFA
GO_Biological_Process_2021	hexose import across plasma membrane (GO:0140271)	2/6	9.128927051395768e-05	0.009516906451080087	0	0	207.77083333333331	1932.5756890799973	SLC2A1;SLC2A3
GO_Biological_Process_2021	L-ascorbic acid metabolic process (GO:0019852)	2/9	0.00021804660985203623	0.017810075243839422	0	0	118.70833333333331	1000.8064198202924	SLC2A1;SLC2A3
GO_Biological_Process_2021	regulation of interleukin-2 production (GO:0032663)	3/48	0.0002349050691633497	0.017810075243839422	0	0	28.23404255319149	235.93295101505728	ANXA1;PDE4D;MALT1
GO_Biological_Process_2021	positive regulation of blood vessel endothelial cell migration (GO:0043536)	3/48	0.0002349050691633497	0.017810075243839422	0	0	28.23404255319149	235.93295101505728	ANXA1;THBS1;VEGFA
GO_Biological_Process_2021	long-chain fatty acid import into cell (GO:0044539)	2/10	0.00027212309342677823	0.018912554993161086	0	0	103.86458333333331	852.6509585567859	ACSL1;SLC2A1
GO_Biological_Process_2021	glycosaminoglycan catabolic process (GO:0006027)	3/56	0.0003712232496723555	0.02381539924821112	0	0	23.96266559614613	189.27407269048402	VCAN;CEMIP2;SDC2
GO_Biological_Process_2021	glucose import (GO:0046323)	2/13	0.00046942457388711873	0.027964292472989788	0	0	75.52651515151516	578.8354329773197	SLC2A1;SLC2A3
GO_Biological_Process_2021	negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	2/14	0.0005467878206419363	0.028501315150960937	0	0	69.22916666666667	520.0114050756229	THBS1;SULF2
GO_Biological_Process_2021	positive regulation of T-helper cell differentiation (GO:0045624)	2/14	0.0005467878206419363	0.028501315150960937	0	0	69.22916666666667	520.0114050756229	ANXA1;MALT1
GO_Biological_Process_2021	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	2/16	0.0007187392304892978	0.03330158434600414	0	0	59.33333333333334	429.45537567816734	THBS1;VEGFA
GO_Biological_Process_2021	dendritic cell chemotaxis (GO:0002407)	2/16	0.0007187392304892978	0.03330158434600414	0	0	59.33333333333334	429.45537567816734	GPR183;CXCR4
GO_Biological_Process_2021	regulation of leukocyte migration (GO:0002685)	2/17	0.0008132713373134499	0.035698331332600905	0	0	55.375	393.96243373102396	ANXA1;VEGFA
