Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hypoxia	9/200	1.4676902555607876e-09	4.990146868906677e-08	0	0	22.708594049291282	461.88317285170615	ISG20;BTG1;NFIL3;SDC2;SLC2A1;CXCR4;SLC2A3;VEGFA;FOSL2
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	7/200	6.247575458382648e-07	1.06208782792505e-05	0	0	16.664537896132064	238.06795841122283	BTG1;NFIL3;GPR183;NAMPT;SLC2A3;VEGFA;FOSL2
MSigDB_Hallmark_2020	mTORC1 Signaling	5/200	0.00013983651341395648	0.0011886103640186304	0	0	11.256410256410255	99.9010527744165	NFIL3;NAMPT;SLC2A1;CXCR4;SLC2A3
MSigDB_Hallmark_2020	Glycolysis	5/200	0.00013983651341395648	0.0011886103640186304	0	0	11.256410256410255	99.9010527744165	ISG20;VCAN;SDC2;CXCR4;VEGFA
MSigDB_Hallmark_2020	Interferon Gamma Response	4/200	0.0015598806233641427	0.008839323532396809	0	0	8.763975155279503	56.64285082988862	ISG20;BTG1;NAMPT;STAT4
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	4/200	0.0015598806233641427	0.008839323532396809	0	0	8.763975155279503	56.64285082988862	VCAN;LGALS1;THBS1;VEGFA
MSigDB_Hallmark_2020	Angiogenesis	2/36	0.003654925722798421	0.017752496367878044	0	0	24.40686274509804	136.96349152286243	VCAN;VEGFA
MSigDB_Hallmark_2020	Apoptosis	3/161	0.007608098362526995	0.032334418040739735	0	0	7.9956908160517095	39.00731366496807	ISG20;ANXA1;GPX3
MSigDB_Hallmark_2020	Inflammatory Response	3/200	0.013678626042992382	0.051674809495748986	0	0	6.400151204233719	27.468942123223947	GPR183;C5AR1;NAMPT
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	2/105	0.0283980432384044	0.09655334701057497	0	0	8.028721682847896	28.593770697553435	SLC2A1;CXCR4
MSigDB_Hallmark_2020	Unfolded Protein Response	2/113	0.03250109931246501	0.1004579433294373	0	0	7.447072072072072	25.517253680402074	WIPI1;VEGFA
MSigDB_Hallmark_2020	Coagulation	2/138	0.046684795825242466	0.13174527189373725	0	0	6.07046568627451	18.601951022321643	ANXA1;THBS1
MSigDB_Hallmark_2020	UV Response Dn	2/144	0.05037319219466424	0.13174527189373725	0	0	5.812206572769952	17.368594502988177	SIPA1L1;SDC2
MSigDB_Hallmark_2020	Fatty Acid Metabolism	2/158	0.05936997225305081	0.13457193710691515	0	0	5.286858974358975	14.929913680908545	LGALS1;ACSL1
MSigDB_Hallmark_2020	UV Response Up	2/158	0.05936997225305081	0.13457193710691515	0	0	5.286858974358975	14.929913680908545	BTG1;GPX3
MSigDB_Hallmark_2020	Hedgehog Signaling	1/36	0.08624372197430759	0.16856719138123782	0	0	11.612244897959185	28.456712045041094	VEGFA
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	2/199	0.08848582523399792	0.16856719138123782	0	0	4.177876480541455	10.130986600028605	NFIL3;SLC2A3
MSigDB_Hallmark_2020	Myogenesis	2/200	0.08924145426065531	0.16856719138123782	0	0	4.156565656565657	10.043965211617904	GPX3;ACSL1
MSigDB_Hallmark_2020	Apical Surface	1/44	0.10439524246477773	0.18681253914749696	0	0	9.448030374940672	21.34849709415977	SULF2
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	1/49	0.11555999902224065	0.1964519983378091	0	0	8.46173469387755	18.260130793597924	GPX3
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	0.1265883240687765	0.20495252468278094	0	0	7.6615325375433185	15.834970375184444	THBS1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	0.16936969182663447	0.2617531600957078	0	0	5.556891249650545	9.867213018330613	NFIL3
MSigDB_Hallmark_2020	Protein Secretion	1/96	0.2140587201245348	0.3060468169816088	0	0	4.2653061224489806	6.5749903239841245	BNIP3
MSigDB_Hallmark_2020	Interferon Alpha Response	1/97	0.2160330472811356	0.3060468169816088	0	0	4.220663265306122	6.467423137579269	ISG20
MSigDB_Hallmark_2020	Pperoxisome	1/104	0.22971789307458146	0.3124163345814308	0	0	3.932435109966317	5.78423168094792	ACSL1
MSigDB_Hallmark_2020	Bile Acid Metabolism	1/112	0.24507118869589986	0.32047770829463823	0	0	3.647545504688362	5.129202360192397	ACSL1
MSigDB_Hallmark_2020	Adipogenesis	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	GPX3
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	SLC2A1
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ISG20
MSigDB_Hallmark_2020	Apical Junction	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	VCAN
MSigDB_Hallmark_2020	p53 Pathway	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	BTG1
MSigDB_Hallmark_2020	heme Metabolism	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	SLC2A1
MSigDB_Hallmark_2020	Allograft Rejection	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	STAT4
