Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	6/200	1.0219798089852524e-05	0.0001737365675274929	0	0	13.88659793814433	159.57344828850043	KLF10;IL1A;DUSP2;BCL2A1;IL1B;TNF
MSigDB_Hallmark_2020	Apoptosis	3/161	0.007608098362526995	0.06466883608147947	0	0	7.9956908160517095	39.00731366496807	IL1A;IL1B;TNF
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	2/87	0.020017318109897504	0.1134314692894192	0	0	9.737745098039216	38.08585452607372	IL1B;TNF
MSigDB_Hallmark_2020	Allograft Rejection	2/200	0.08924145426065531	0.2528507870718568	0	0	4.156565656565657	10.043965211617904	IL1B;TNF
MSigDB_Hallmark_2020	KRAS Signaling Up	2/200	0.08924145426065531	0.2528507870718568	0	0	4.156565656565657	10.043965211617904	IL1RL2;IL1B
MSigDB_Hallmark_2020	Inflammatory Response	2/200	0.08924145426065531	0.2528507870718568	0	0	4.156565656565657	10.043965211617904	IL1A;IL1B
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	0.1265883240687765	0.2875419349471036	0	0	7.6615325375433185	15.834970375184444	KLF10
MSigDB_Hallmark_2020	Myc Targets V2	1/58	0.13531385173981347	0.2875419349471036	0	0	7.1224489795918355	14.246025949065045	DUSP2
MSigDB_Hallmark_2020	Coagulation	1/138	0.29292695661244944	0.3953681557510544	0	0	2.9514375093102934	3.6238694077781934	S100A1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	0.3277037968552589	0.3953681557510544	0	0	2.572858442740153	2.8703970097526006	PTPRG
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1/199	0.3938375225272607	0.3953681557510544	0	0	2.03586889301175	1.897056906545971	S100A1
MSigDB_Hallmark_2020	p53 Pathway	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	IL1A
MSigDB_Hallmark_2020	heme Metabolism	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	TAL1
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	KLF10
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	DUSP2
MSigDB_Hallmark_2020	KRAS Signaling Dn	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	NPHS1
MSigDB_Hallmark_2020	Complement	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ADRA2B
