Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	inflammatory response (GO:0006954)	20/230	4.9864140831605275e-08	0.0001324391580487436	0	0	4.808035714285714	80.8421380314312	CCR1;GGT5;CCL13;IL1RN;CD40;CCL3L1;FPR3;TNF;NFKB1;TMIGD3;IL1A;IL1B;ADORA3;NLRP3;LGALS9;SIGLEC1;S100A9;CD44;MGLL;CMKLR1
GO_Biological_Process_2021	regulation of T cell proliferation (GO:0042129)	11/76	3.5188084326046034e-07	0.0004672977598498913	0	0	8.410295556860442	124.97676684917678	LGALS3;VCAM1;SDC4;GPNMB;IL1B;CD28;LILRB1;TNFRSF13C;CD1D;JAK3;LILRB4
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	16/179	7.581550497402929e-07	0.0006712199373700728	0	0	4.916324078173424	69.28269689228836	NPDC1;LAG3;CD40;VCAM1;SIGLEC9;FGL1;ICAM4;TREM2;LILRB1;CD1D;SAMHD1;ICAM1;FCGR3A;CD226;SIGLEC7;BIRC3
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	16/206	4.8004670004610745e-06	0.0031875100883061547	0	0	4.211828540423223	51.581410620230244	SPHK1;GBA;TNFAIP3;PLA2G7;TNF;MAPK13;CDH5;IL1RL2;IL1B;NLRP3;FFAR2;PPARG;APOE;S100A9;MGLL;BIRC3
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	7/39	1.1468887158444796e-05	0.0060498726372342545	0	0	10.779911838790932	122.6309042936277	NDUFB8;NDUFS8;NDUFA11;NDUFS6;NDUFAB1;NDUFS3;NDUFC2
GO_Biological_Process_2021	sulfur compound transport (GO:0072348)	6/28	1.691965669512324e-05	0.0060498726372342545	0	0	13.412973960712652	147.3688075718423	SLC36A1;SLC35B2;SLC9A3R1;SLC6A6;SLC26A6;ABCG2
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	9/75	1.9821210992563053e-05	0.0060498726372342545	0	0	6.74223245109321	73.0100031301522	CD40;VCAM1;IL1B;CD28;CD38;TNFRSF13C;CD1D;EPHB2;JAK3
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	8/58	2.050032143641125e-05	0.0060498726372342545	0	0	7.897373737373737	85.25270224886322	NDUFB8;NDUFS8;NDUFA11;DMAC1;NDUFS6;NDUFAB1;NDUFS3;NDUFC2
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	8/58	2.050032143641125e-05	0.0060498726372342545	0	0	7.897373737373737	85.25270224886322	NDUFB8;NDUFS8;NDUFA11;DMAC1;NDUFS6;NDUFAB1;NDUFS3;NDUFC2
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	29/621	2.7682601862065276e-05	0.006953342269612157	0	0	2.4825045045045044	26.053155995175587	CCL13;IL1RN;CD40;CCL3L1;PSMD14;IFI6;TNFRSF13C;SAMHD1;TNF;PSMB10;ICAM1;CNN2;SOCS3;UGCG;IL1RL2;ABL2;JAK3;CCR1;VCAM1;LILRB4;NFKB1;IL1A;CXCL12;PSMA2;IL1B;OAS3;CD44;BCL2L1;BIRC3
GO_Biological_Process_2021	negative regulation of T cell activation (GO:0050868)	7/45	3.048820536925307e-05	0.006953342269612157	0	0	9.075036457642847	94.36377781729126	LGALS3;SDC4;GPNMB;FGL1;LILRB1;JAK3;LILRB4
GO_Biological_Process_2021	positive regulation of mononuclear cell migration (GO:0071677)	6/31	3.141570302535613e-05	0.006953342269612157	0	0	11.801608040201005	122.36146427249392	CCR1;LGALS3;CXCL12;LGALS9;PLA2G7;TNF
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	15/224	5.401023246000706e-05	0.011034705954906058	0	0	3.576893273145472	35.14775885571417	SLC35B2;NDFIP2;CD40;PRKCB;TNFAIP3;TREM2;LILRB4;TNF;IL1B;S100A13;S100A4;LGALS9;IKBKE;LURAP1;BIRC3
