Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	25/200	3.66941658662196e-13	1.6879316298461018e-11	0	0	7.320392009046363	209.60898284273225	SDC4;BCL2A1;TNFAIP2;TNFAIP3;TNF;ICAM1;SOCS3;PLAU;PHLDA1;MAP2K3;KDM6B;KLF10;DUSP2;EGR3;SPHK1;PLAUR;NFKB1;EHD1;IL1A;NR4A3;IL1B;MAFF;PLPP3;CD44;BIRC3
MSigDB_Hallmark_2020	KRAS Signaling Up	18/200	1.3932945936779305e-07	3.20457756545924e-06	0	0	4.9742640778910205	78.52584429404808	MMD;FUCA1;VWA5A;PLAUR;TNFAIP3;GNG11;GADD45G;IL1RL2;TSPAN13;ANKH;GPNMB;PLAU;IL1B;SPP1;EPHB2;CMKLR1;ENG;BIRC3
MSigDB_Hallmark_2020	Apoptosis	14/161	5.140153550926207e-06	7.881568778086851e-05	0	0	4.7494505494505495	57.84083968106707	EGR3;GSR;TNF;IGF2R;LGALS3;IL1A;ANKH;FEZ1;IL1B;CD38;BID;CD44;BCL2L1;BIRC3
MSigDB_Hallmark_2020	Complement	15/200	1.4416691941237354e-05	0.00016579195732422959	0	0	4.045925102480372	45.10042824606328	GMFB;PLAUR;TNFAIP3;PLA2G7;ADRA2B;C2;EHD1;LGALS3;C9;MAFF;APOC1;S100A13;ME1;CD59;S100A9
MSigDB_Hallmark_2020	Adipogenesis	14/200	5.912504536064894e-05	0.0003885360123699787	0	0	3.746071133167908	36.471208908324776	SQOR;VEGFB;SLC1A5;SULT1A1;POR;UCP2;NDUFAB1;ME1;NDUFS3;PPARG;PIM3;APOE;HADH;MGLL
MSigDB_Hallmark_2020	Interferon Gamma Response	14/200	5.912504536064894e-05	0.0003885360123699787	0	0	3.746071133167908	36.471208908324776	CD40;VCAM1;TNFAIP2;TNFAIP3;SAMHD1;NFKB1;PSMB10;ICAM1;SOCS3;PSMA2;OAS3;CD38;VAMP5;CMKLR1
MSigDB_Hallmark_2020	Allograft Rejection	14/200	5.912504536064894e-05	0.0003885360123699787	0	0	3.746071133167908	36.471208908324776	CCR1;CCL13;CD40;IGSF6;PRKCB;CD1D;TNF;PSMB10;ICAM1;C2;IL1B;CD7;CD28;NLRP3
MSigDB_Hallmark_2020	Inflammatory Response	13/200	0.00022528599714097524	0.0012953944835606074	0	0	3.4508664195741074	28.980858845348983	CD40;CD82;SPHK1;PLAUR;ICAM4;NFKB1;ICAM1;MARCO;IL1A;IL1B;NLRP3;FFAR2;CMKLR1
MSigDB_Hallmark_2020	Estrogen Response Late	12/200	0.0007941856773340673	0.002810195473643623	0	0	3.160225792444637	22.55830249439869	SLC9A3R1;DUSP2;EGR3;CXCL12;TSPAN13;IMPA2;IGFBP4;IDH2;LARGE1;S100A9;CD44;MAPK13
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	12/200	0.0007941856773340673	0.002810195473643623	0	0	3.160225792444637	22.55830249439869	SPARC;VCAM1;CXCL12;SDC4;IGFBP4;FUCA1;CALU;SPP1;PLAUR;TNFAIP3;CD59;CD44
MSigDB_Hallmark_2020	Xenobiotic Metabolism	12/200	0.0007941856773340673	0.002810195473643623	0	0	3.160225792444637	22.55830249439869	GSTM4;SLC6A6;NQO1;POR;GCLC;IGFBP4;GSR;EPHX1;APOE;SLC1A5;NDRG2;PSMB10
MSigDB_Hallmark_2020	p53 Pathway	12/200	0.0007941856773340673	0.002810195473643623	0	0	3.160225792444637	22.55830249439869	IL1A;RXRA;CD82;GM2A;FUCA1;SPHK1;EPHX1;OSGIN1;VWA5A;TCHH;RPS27L;S100A4
MSigDB_Hallmark_2020	heme Metabolism	12/200	0.0007941856773340673	0.002810195473643623	0	0	3.160225792444637	22.55830249439869	MAP2K3;SELENBP1;HBZ;GCLC;TAL1;UCP2;ICAM4;CLIC2;GCLM;ANK1;HTATIP2;ABCG2
MSigDB_Hallmark_2020	Fatty Acid Metabolism	10/158	0.0014298233503717119	0.004697991008364197	0	0	3.3351625737412536	21.84599647701864	GSTZ1;ECI2;EPHX1;ODC1;ACOT2;ME1;CD1D;HADH;MGLL;PTPRG
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	7/87	0.001902173211031716	0.0057195450707867475	0	0	4.301385390428211	26.947139616127206	ACVRL1;CCR1;SOCS3;IL1B;CD38;TNF;CD44
MSigDB_Hallmark_2020	Coagulation	9/138	0.001989406981143217	0.0057195450707867475	0	0	3.4383868118928467	21.38648637439314	SPARC;PLAU;S100A1;C9;MAFF;APOC1;S100A13;GNG12;C2
MSigDB_Hallmark_2020	mTORC1 Signaling	11/200	0.0025779876125940344	0.006588190565518087	0	0	2.874065996203401	17.13157790656256	MAP2K3;SLC6A6;SLC9A3R1;GCLC;PSMD14;SCD;TXNRD1;GSR;ME1;SLC1A5;CORO1A
MSigDB_Hallmark_2020	Oxidative Phosphorylation	11/200	0.0025779876125940344	0.006588190565518087	0	0	2.874065996203401	17.13157790656256	POR;ATP5F1A;NDUFB8;NDUFS8;NDUFS6;NDUFAB1;IDH2;NDUFS3;NDUFC2;TIMM10;SLC25A20
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	5/49	0.0030150571708939416	0.007299612097953753	0	0	5.5684666210982	32.32014029120485	NQO1;GCLC;TXNRD1;GSR;GCLM
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	10/199	0.007410511227608397	0.016789682446869538	0	0	2.606155829506083	12.782818667599495	S100A1;ODC1;MAFF;COL6A1;SPP1;SLC1A5;PHLDA1;CD44;IGF2R;BCL2L1
MSigDB_Hallmark_2020	Hypoxia	10/200	0.007664855030092612	0.016789682446869538	0	0	2.5923056371894204	12.62740508300601	SELENBP1;SLC6A6;NAGK;SDC4;SDC3;MAFF;PLAUR;TNFAIP3;S100A4;LARGE1
MSigDB_Hallmark_2020	Apical Junction	9/200	0.020749377105551244	0.04338506122069805	0	0	2.3148651335409904	8.970655765068607	CNN2;VCAM1;ACTN1;EPB41L2;SDC3;ICAM4;HADH;ICAM1;MAPK13
MSigDB_Hallmark_2020	Estrogen Response Early	8/200	0.050804531030351784	0.0999801452918374	0	0	2.0416666666666665	6.083696542014701	KLF10;UGCG;SLC9A3R1;EGR3;CXCL12;IGFBP4;SNX24;CD44
MSigDB_Hallmark_2020	Androgen Response	5/100	0.05216355406530646	0.0999801452918374	0	0	2.572351932462736	7.597110180300624	ANKH;SCD;ACTN1;GSR;HSD17B14
MSigDB_Hallmark_2020	Cholesterol Homeostasis	4/74	0.06271916892183488	0.11540327081617617	0	0	2.789428571428572	7.724173612557415	LGALS3;SCD;PLAUR;PPARG
MSigDB_Hallmark_2020	UV Response Dn	6/144	0.07226823844986567	0.12785919110360852	0	0	2.1256281407035176	5.584812774061519	RXRA;PPARG;PLPP3;RND3;NFKB1;MGLL
MSigDB_Hallmark_2020	Bile Acid Metabolism	5/112	0.07684049749893143	0.13091344018336465	0	0	2.2824584826552363	5.85684202808879	SLC35B2;SLC23A2;RXRA;IDH2;GCLM
MSigDB_Hallmark_2020	TGF-beta Signaling	3/54	0.09561595668316453	0.15708335740805598	0	0	2.8670969634736685	6.730268029652151	KLF10;ENG;PPP1CA
MSigDB_Hallmark_2020	Myogenesis	7/200	0.1116955603217535	0.17717226809657452	0	0	1.7726341342451808	3.885575591814326	NQO1;FABP3;SPARC;BIN1;SCD;SPHK1;LARGE1
MSigDB_Hallmark_2020	Protein Secretion	4/96	0.12971303709575965	0.19889332354683145	0	0	2.12	4.329953031840017	GALC;GOSR2;ATP1A1;IGF2R
MSigDB_Hallmark_2020	Pperoxisome	4/104	0.1593019087386668	0.2360646306892444	0	0	1.9496	3.5813256745626365	SLC23A2;SLC35B2;ECI2;IDH2
MSigDB_Hallmark_2020	Angiogenesis	2/36	0.16421887352295264	0.2360646306892444	0	0	2.8624524436640333	5.171178193099209	SPP1;S100A4
MSigDB_Hallmark_2020	UV Response Up	5/158	0.2158227401937125	0.3008438196639629	0	0	1.5924615460219176	2.4417178734252434	SULT1A1;EPHX1;TCHH;BID;ICAM1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	3/105	0.3564327381511842	0.4822325280868963	0	0	1.4298078333577822	1.4750036725166669	MAP2K3;PRKCB;PPP1CA
MSigDB_Hallmark_2020	Myc Targets V1	5/200	0.37906758412495184	0.4843641352707718	0	0	1.2467707730865625	1.2094184777059949	PSMD14;PSMA2;ODC1;NDUFAB1;RPS10
MSigDB_Hallmark_2020	Glycolysis	5/200	0.37906758412495184	0.4843641352707718	0	0	1.2467707730865625	1.2094184777059949	GCLC;SDC3;ME1;ME2;CD44
MSigDB_Hallmark_2020	Spermatogenesis	3/135	0.5153584070209577	0.630242899255718	0	0	1.1031512128768988	0.7312708688102689	HBZ;ACRBP;OAZ3
MSigDB_Hallmark_2020	Hedgehog Signaling	1/36	0.5206354385155931	0.630242899255718	0	0	1.3868131868131868	0.9051802010556392	ADGRG1
MSigDB_Hallmark_2020	Apical Surface	1/44	0.592972407104558	0.6994033519694787	0	0	1.1283397772520054	0.5896787309456147	PLAUR
MSigDB_Hallmark_2020	Unfolded Protein Response	2/113	0.6689976992960637	0.7693473541904732	0	0	0.8733360225897541	0.3510589488940617	BAG3;GOSR2
MSigDB_Hallmark_2020	Myc Targets V2	1/58	0.694345293670563	0.7790215489962414	0	0	0.8505942275042445	0.31028478157700584	DUSP2
MSigDB_Hallmark_2020	DNA Repair	2/150	0.8094175104997123	0.886504892452066	0	0	0.6537582358477881	0.13823091129067971	POLD4;PDE6G
MSigDB_Hallmark_2020	Mitotic Spindle	2/199	0.9131384800494216	0.9348862699984424	0	0	0.4899108518322095	0.04451708898787858	BIN1;EPB41L2
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	0.9145626554332588	0.9348862699984424	0	0	0.4874114277099352	0.04353037350647655	ODC1;HMGA1
MSigDB_Hallmark_2020	KRAS Signaling Dn	2/200	0.9145626554332588	0.9348862699984424	0	0	0.4874114277099352	0.04353037350647655	NPHS1;PDK2
MSigDB_Hallmark_2020	E2F Targets	1/200	0.9834585245220536	0.9834585245220536	0	0	0.2418669027519733	0.004034294792654072	HMGA1
