Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	high-density lipoprotein particle remodeling (GO:0034375)	7/18	1.9102781826384364e-09	4.015404739905993e-06	0	0	48.45945945945946	972.8729299869708	CETP;ALB;APOC1;APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	hydrogen peroxide catabolic process (GO:0042744)	6/21	2.4005916987428607e-07	0.00015455512492972896	0	0	30.336923076923078	462.4069217903946	HBZ;HBM;HBG2;HBE1;HBB;HBA1
GO_Biological_Process_2021	regulation of cholesterol esterification (GO:0010872)	5/12	2.941106088101408e-07	0.00015455512492972896	0	0	53.98741105637657	811.9334066508678	APOC1;APOA2;APOA1;APOE;LAMTOR1
GO_Biological_Process_2021	phospholipid efflux (GO:0033700)	5/12	2.941106088101408e-07	0.00015455512492972896	0	0	53.98741105637657	811.9334066508678	APOC1;APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	5/13	4.727440330787047e-07	0.00019874159150628747	0	0	47.23659003831418	687.9873180183217	CETP;APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	regulation of cholesterol transport (GO:0032374)	6/25	7.492441180456629e-07	0.00026248518935533064	0	0	23.94534412955465	337.729946168115	CETP;APOC1;APOA2;APOA1;NR1H3;LAMTOR1
GO_Biological_Process_2021	regulation of phagocytosis (GO:0050764)	8/58	9.504259936121663e-07	0.000285399348367539	0	0	12.207131782945735	169.2684294080261	AHSG;SPHK1;IL1B;APOA2;APOA1;TREM2;TNF;TGM2
GO_Biological_Process_2021	hydrogen peroxide metabolic process (GO:0042743)	6/29	1.92189266783355e-06	0.0005049772984732652	0	0	19.776923076923076	260.30781876183045	HBZ;HBM;HBG2;HBE1;HBB;HBA1
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	5/17	2.1759864715895364e-06	0.0005082137292534673	0	0	31.48467432950192	410.4980795239351	CETP;APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	negative regulation of lipid catabolic process (GO:0050995)	5/18	2.9802505192970107e-06	0.0006264486591562316	0	0	29.061302681992334	369.7615774991001	IL1B;APOC1;APOA2;APOC3;TNF
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	4/9	3.657395232189747e-06	0.0006406537315052372	0	0	60.2412213740458	754.1453532783328	APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	positive regulation of cholesterol esterification (GO:0010873)	4/9	3.657395232189747e-06	0.0006406537315052372	0	0	60.2412213740458	754.1453532783328	APOC1;APOA2;APOA1;APOE
GO_Biological_Process_2021	regulation of cholesterol efflux (GO:0010874)	6/33	4.285632685419582e-06	0.0006823714827079694	0	0	16.843589743589742	208.19085153762924	CETP;APOA1;NR1H3;TREM2;APOE;LAMTOR1
GO_Biological_Process_2021	cholesterol homeostasis (GO:0042632)	8/71	4.544814822983621e-06	0.0006823714827079694	0	0	9.681801402731637	119.10090819625887	CETP;FABP3;APOA2;APOA1;APOC3;NR1H3;APOE;LAMTOR1
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	8/72	5.054677064693779e-06	0.0007083287459990883	0	0	9.530038759689923	116.22069620252243	CETP;FABP3;APOA2;APOA1;APOC3;NR1H3;APOE;LAMTOR1
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	4/10	6.0319265088354614e-06	0.0007924443450982588	0	0	50.19847328244275	603.3075455966083	APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	regulation of lipid catabolic process (GO:0050994)	5/21	6.850557994285676e-06	0.0008470513472934407	0	0	23.608716475095786	280.73550779796716	IL1B;APOC1;APOA2;APOC3;TNF
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	7/55	8.004287792788344e-06	0.0009347229411356166	0	0	11.08445945945946	130.0820418327944	FABP1;CETP;FABP3;APOC1;APOA2;APOC3;APOE
GO_Biological_Process_2021	negative regulation of metabolic process (GO:0009892)	7/56	9.044810707257353e-06	0.001000641689823945	0	0	10.857694429123	126.0938729971292	IL1B;GSTP1;APOC1;ID1;ACOT13;APOC3;NR1H3
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	5/23	1.108411430820564e-05	0.0011094670607546793	0	0	20.983397190293747	239.42051196120698	IL1A;IL1B;IFI6;TNF;PF4
GO_Biological_Process_2021	negative regulation of signal transduction in absence of ligand (GO:1901099)	5/23	1.108411430820564e-05	0.0011094670607546793	0	0	20.983397190293747	239.42051196120698	IL1A;IL1B;IFI6;TNF;PF4
GO_Biological_Process_2021	cholesterol efflux (GO:0033344)	5/24	1.3849482165332067e-05	0.0012657222396316526	0	0	19.87799959669288	222.3804037331818	APOC1;APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	negative regulation of lipid metabolic process (GO:0045833)	5/24	1.3849482165332067e-05	0.0012657222396316526	0	0	19.87799959669288	222.3804037331818	IL1B;APOC1;APOA2;APOC3;TNF
GO_Biological_Process_2021	acylglycerol homeostasis (GO:0055090)	5/25	1.7124572655655376e-05	0.0014998271550911498	0	0	18.88314176245211	207.24240773761483	CETP;APOA1;APOC3;NR1H3;APOE
GO_Biological_Process_2021	positive regulation of steroid metabolic process (GO:0045940)	4/13	1.9900236348800627e-05	0.001673211872207157	0	0	33.46055979643766	362.20316332230186	APOC1;APOA2;APOA1;APOE
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	12/206	2.1455542649997586e-05	0.0017345981019344198	0	0	4.7585031252536725	51.151660429151704	CDH5;IL1RL2;AHSG;SPHK1;IL1B;NR1H3;APOA1;APOE;DNASE1L3;TNF;S100A9;USP18
GO_Biological_Process_2021	positive regulation of glial cell proliferation (GO:0060252)	3/5	2.2807366856655873e-05	0.001775595745655209	0	0	112.53992395437264	1202.87475799546	PRKCH;IL1B;TNF
GO_Biological_Process_2021	positive regulation of transport (GO:0051050)	8/91	2.887828347730313e-05	0.0020789907041492595	0	0	7.3413654618473885	76.73504018817674	AHSG;IL1B;APOA2;APOA1;NR1H3;TREM2;APOE;TNF
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	11/179	2.8951077372811464e-05	0.0020789907041492595	0	0	5.023949579831934	52.49978648791701	LAG3;FCGR3A;VCAM1;AMBP;FGL1;CD226;SLAMF6;TREM2;CD1D;SAMHD1;SIGLEC7
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	5/28	3.0660662144922464e-05	0.0020789907041492595	0	0	16.417624521072796	170.6206568149199	IL1A;IL1B;IFI6;TNF;PF4
GO_Biological_Process_2021	positive regulation of monooxygenase activity (GO:0032770)	5/28	3.0660662144922464e-05	0.0020789907041492595	0	0	16.417624521072796	170.6206568149199	POR;S100A1;IL1B;APOE;TNF
GO_Biological_Process_2021	regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	3/6	4.516565113632973e-05	0.002966818709017659	0	0	75.02281368821293	750.6162817104868	APOA2;APOA1;APOC3
GO_Biological_Process_2021	heme catabolic process (GO:0042167)	4/16	4.908561105465643e-05	0.003034645718731995	0	0	25.09160305343511	248.9574959229333	FABP1;AMBP;ALB;GSTA1
GO_Biological_Process_2021	porphyrin-containing compound catabolic process (GO:0006787)	4/16	4.908561105465643e-05	0.003034645718731995	0	0	25.09160305343511	248.9574959229333	FABP1;AMBP;ALB;GSTA1
GO_Biological_Process_2021	triglyceride homeostasis (GO:0070328)	5/31	5.130814597533306e-05	0.003081420652575717	0	0	14.521072796934867	143.43423484306726	CETP;APOA1;APOC3;NR1H3;APOE
GO_Biological_Process_2021	cholesterol transport (GO:0030301)	6/51	5.7037818962146657e-05	0.003330374873845341	0	0	10.096923076923076	98.6650727330652	CETP;APOC1;APOA2;APOA1;APOC3;APOE
GO_Biological_Process_2021	regulation of establishment of endothelial barrier (GO:1903140)	4/17	6.351946784479799e-05	0.003608592470534199	0	0	23.16030534351145	223.8249918816485	CDH5;CLDN5;IL1B;TNF
GO_Biological_Process_2021	positive regulation of cholesterol transport (GO:0032376)	5/33	7.012951450809407e-05	0.0038327478975862038	0	0	13.48248494800219	128.9622176512628	CETP;APOA1;NR1H3;TREM2;APOE
GO_Biological_Process_2021	positive regulation of phagocytosis (GO:0050766)	6/53	7.111187821401615e-05	0.0038327478975862038	0	0	9.666284779050736	92.32516215254827	AHSG;IL1B;APOA2;APOA1;TREM2;TNF
GO_Biological_Process_2021	chylomicron remnant clearance (GO:0034382)	3/7	7.826209495428668e-05	0.0040123639900953795	0	0	56.264258555133075	532.0037244613327	APOC1;APOC3;APOE
GO_Biological_Process_2021	positive regulation of gliogenesis (GO:0014015)	3/7	7.826209495428668e-05	0.0040123639900953795	0	0	56.264258555133075	532.0037244613327	PRKCH;IL1B;TNF
