Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	6/179	0.00010776994834394449	0.04059118543931838	0	0	8.778568252556692	80.19671307417588	PLSCR1;CLEC2B;CD300E;FCER1A;PTPN22;PILRA
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	6/185	0.0001291026783097259	0.04059118543931838	0	0	8.481736140954018	75.95312029441227	PDE4D;PTPN22;MNDA;HLA-DQA2;HLA-DQA1;HLA-DQB1
GO_Biological_Process_2021	regulation of innate immune response (GO:0045088)	4/64	0.00015183735201740043	0.04059118543931838	0	0	16.546666666666667	145.48988696299455	PLSCR1;PTPN22;ADAM8;EREG
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	10/621	0.0002708323576969916	0.052069950640008425	0	0	4.269695227142035	35.071321576063994	ISG20;IL1R1;IL1R2;STAT4;ITGAX;HLA-DQA2;HLA-DQA1;EREG;HLA-DQB1;TNFSF13B
GO_Biological_Process_2021	regulation of chemotaxis (GO:0050920)	3/32	0.00032462562743147395	0.052069950640008425	0	0	25.39846743295019	204.021773199179	GPR183;CXCR4;THBS1
GO_Biological_Process_2021	positive regulation of innate immune response (GO:0045089)	3/36	0.0004616806920955055	0.05407903631394139	0	0	22.315375982042646	171.39630351848538	PLSCR1;ADAM8;EREG
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	7/335	0.0005217035477313785	0.05407903631394139	0	0	5.429046563192903	41.034965521337924	IL1R1;PDE4D;PTPN22;SORL1;LY9;EREG;SULF2
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	5/158	0.0005394417587425575	0.05407903631394139	0	0	8.175312319020435	61.51902681221761	PDE4D;PTPN22;HLA-DQA2;HLA-DQA1;HLA-DQB1
GO_Biological_Process_2021	positive regulation of response to biotic stimulus (GO:0002833)	3/45	0.0008929122294677668	0.06943331571691913	0	0	17.525573192239854	123.0474396630077	PLSCR1;ADAM8;EREG
GO_Biological_Process_2021	positive regulation of vasculature development (GO:1904018)	4/102	0.0008999044097479409	0.06943331571691913	0	0	10.111224489795918	70.91226215679342	PDCL3;BTG1;ITGAX;THBS1
GO_Biological_Process_2021	regulation of B cell proliferation (GO:0030888)	3/46	0.0009523272729253248	0.06943331571691913	0	0	17.117140396210164	119.07712983094895	GPR183;MNDA;TNFSF13B
