Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	8/200	1.977743771042469e-06	5.9332313131274084e-05	0	0	10.81359649122807	142.02095207374543	BTG1;GPR183;NAMPT;PLAUR;SLC2A3;MXD1;LITAF;FOSL2
MSigDB_Hallmark_2020	Hypoxia	7/200	2.1269026707161052e-05	0.00021269026707161048	0	0	9.290155440414507	99.94589548665708	ISG20;BTG1;SDC2;PLAUR;CXCR4;SLC2A3;FOSL2
MSigDB_Hallmark_2020	Interferon Gamma Response	7/200	2.1269026707161052e-05	0.00021269026707161048	0	0	9.290155440414507	99.94589548665708	ISG20;PLSCR1;BTG1;P2RY14;NAMPT;STAT4;HLA-DQA1
MSigDB_Hallmark_2020	Inflammatory Response	6/200	0.0001972820169705008	0.0014796151272787556	0	0	7.819984139571768	66.71131732122619	IL1R1;GPR183;NAMPT;PLAUR;MXD1;EREG
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	5/199	0.0015155273303906116	0.00909316398234367	0	0	6.434164165470443	41.77054118043669	PLSCR1;GLIPR2;IL1R2;SLC2A3;MXD1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	3/74	0.0037377240879609103	0.01868862043980455	0	0	10.352112676056338	57.86083962368925	PLSCR1;PLAUR;CD9
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	3/87	0.0058776662888697685	0.025189998380870438	0	0	8.744268077601411	44.915767931419154	IL1R1;IL1R2;CD9
MSigDB_Hallmark_2020	mTORC1 Signaling	4/200	0.010051872319132014	0.030155616957396037	0	0	5.030612244897959	23.14079802223381	NAMPT;CD9;CXCR4;SLC2A3
MSigDB_Hallmark_2020	Glycolysis	4/200	0.010051872319132014	0.030155616957396037	0	0	5.030612244897959	23.14079802223381	ISG20;VCAN;SDC2;CXCR4
MSigDB_Hallmark_2020	KRAS Signaling Up	4/200	0.010051872319132014	0.030155616957396037	0	0	5.030612244897959	23.14079802223381	PLAUR;CXCR4;ADAM8;EREG
MSigDB_Hallmark_2020	Apical Surface	2/44	0.014709296818850347	0.040116264051410035	0	0	11.54123112659698	48.695634291400005	PLAUR;SULF2
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	2/49	0.01804037844804382	0.04510094612010955	0	0	10.310845874416193	41.39951843325928	GPX3;LSP1
MSigDB_Hallmark_2020	Apoptosis	3/161	0.030365927870910414	0.07007521816363943	0	0	4.631504922644163	16.184488702885712	ISG20;GPX3;EREG
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	3/200	0.05208262389437196	0.09765491980194743	0	0	3.7072758037225038	10.954717877625804	VCAN;PLAUR;THBS1
MSigDB_Hallmark_2020	p53 Pathway	3/200	0.05208262389437196	0.09765491980194743	0	0	3.7072758037225038	10.954717877625804	BTG1;VDR;MXD1
MSigDB_Hallmark_2020	Allograft Rejection	3/200	0.05208262389437196	0.09765491980194743	0	0	3.7072758037225038	10.954717877625804	STAT4;HLA-DQA1;EREG
MSigDB_Hallmark_2020	Interferon Alpha Response	2/97	0.06281369693798268	0.11084770047879294	0	0	5.088831835686778	14.083760026499881	ISG20;PLSCR1
MSigDB_Hallmark_2020	Coagulation	2/138	0.11446177757650393	0.1907696292941732	0	0	3.547345767575323	7.6889227918172995	CD9;THBS1
MSigDB_Hallmark_2020	UV Response Dn	2/144	0.12272826823940375	0.1937814761674796	0	0	3.396427344555136	7.124966079605486	SIPA1L1;SDC2
MSigDB_Hallmark_2020	Angiogenesis	1/36	0.14071187733045398	0.2036385938772479	0	0	6.8437177280550765	13.420810389400806	VCAN
MSigDB_Hallmark_2020	UV Response Up	2/158	0.14254701571407352	0.2036385938772479	0	0	3.089430894308943	6.018469037111021	BTG1;GPX3
MSigDB_Hallmark_2020	Pancreas Beta Cells	1/40	0.15508398180156174	0.21147815700212966	0	0	6.140562248995984	11.444709246220533	VDR
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	0.20354081521299808	0.2367981684134973	0	0	4.51534439645374	7.187925847991767	THBS1
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	0.2052250792916977	0.2367981684134973	0	0	2.4289233801428924	3.8465595423167502	ISG20;CD9
MSigDB_Hallmark_2020	Myogenesis	2/200	0.2052250792916977	0.2367981684134973	0	0	2.4289233801428924	3.8465595423167502	GPX3;LSP1
MSigDB_Hallmark_2020	Complement	2/200	0.2052250792916977	0.2367981684134973	0	0	2.4289233801428924	3.8465595423167502	PLSCR1;PLAUR
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	0.3579462763148083	0.3977180847942315	0	0	2.2951807228915664	2.3580052588605693	CXCR4
MSigDB_Hallmark_2020	Adipogenesis	1/200	0.5708685433147935	0.5708685433147935	0	0	1.1937397832536174	0.6692061267801053	GPX3
MSigDB_Hallmark_2020	Apical Junction	1/200	0.5708685433147935	0.5708685433147935	0	0	1.1937397832536174	0.6692061267801053	VCAN
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	0.5708685433147935	0.5708685433147935	0	0	1.1937397832536174	0.6692061267801053	IL1R1
