Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	6/185	1.7322153877279128e-05	0.010826346173299457	0	0	12.498366185306208	137.0261414422852	PDE4D;PTPN22;MNDA;HLA-DQA2;HLA-DQA1;HLA-DQB1
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	5/158	0.00010248593076048284	0.023708831698039442	0	0	11.975308641975307	110.00261084925778	PDE4D;PTPN22;HLA-DQA2;HLA-DQA1;HLA-DQB1
GO_Biological_Process_2021	regulation of chemotaxis (GO:0050920)	3/32	0.00011380239215058931	0.023708831698039442	0	0	36.783251231527096	334.03043382886136	GPR183;CXCR4;THBS1
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	5/179	0.00018385039387792	0.028726624043424995	0	0	10.518837803320563	90.47660744157795	PLSCR1;CD300E;FCER1A;PTPN22;PILRA
GO_Biological_Process_2021	regulation of B cell proliferation (GO:0030888)	3/46	0.0003382267416356496	0.0422783427044562	0	0	24.789867109634557	198.11551256988975	GPR183;MNDA;TNFSF13B
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	8/621	0.0004533188424468575	0.047220712754881	0	0	4.945910501231488	38.078143723608605	ISG20;IL1R1;STAT4;HLA-DQA2;HLA-DQA1;EREG;HLA-DQB1;TNFSF13B
GO_Biological_Process_2021	positive regulation of interferon-gamma production (GO:0032729)	3/57	0.0006371147313502032	0.056885243870553874	0	0	19.729166666666668	145.17827258022422	IL1R1;PDE4D;PTPN22
GO_Biological_Process_2021	negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	2/14	0.0007609758027855224	0.05945123459261895	0	0	58.271929824561404	418.44542516201636	THBS1;SULF2
GO_Biological_Process_2021	regulation of innate immune response (GO:0045088)	3/64	0.0008940277238204347	0.06059340472727895	0	0	17.459016393442624	122.5583453686132	PLSCR1;PTPN22;EREG
GO_Biological_Process_2021	dendritic cell chemotaxis (GO:0002407)	2/16	0.0009996859337130693	0.06059340472727895	0	0	49.94235588972431	345.00526021593635	GPR183;CXCR4
