Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	inflammatory response (GO:0006954)	12/230	1.5586809331764652e-08	2.135392878451757e-05	0	0	9.928962208568302	178.49137329039775	IL1A;IL1RN;CXCL8;CCL3L1;IL1B;CCRL2;REL;NLRP3;TNF;CXCL2;NFKB1;RELB
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	11/224	1.1804818139175846e-07	8.086300425335453e-05	0	0	9.23286384976526	147.28424122245812	SLC35B2;IL1B;S100A13;REL;MIB2;TNFAIP3;TREM2;PIM2;CFLAR;TNF;BIRC3
GO_Biological_Process_2021	regulation of cytokine-mediated signaling pathway (GO:0001959)	7/74	3.204392448483574e-07	0.00010645179833470808	0	0	18.157109190887667	271.513660337047	SOCS3;IRAK2;SPHK1;TNFAIP3;CFLAR;TNF;BIRC3
GO_Biological_Process_2021	positive regulation of NF-kappaB transcription factor activity (GO:0051092)	9/155	4.308326030019374e-07	0.00010645179833470808	0	0	10.860873287671232	159.19375214271062	IRAK2;SPHK1;IL1B;NLRP3;CFLAR;RAB7B;TNF;NFKB1;NFKB2
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	10/206	5.061626257723457e-07	0.00010645179833470808	0	0	9.047159404302262	131.15131237791917	BCL6;SPHK1;IL1B;NFKBIZ;NLRP3;TNFAIP3;FFAR2;TNF;BIRC3;PPARD
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	18/742	5.135432033182635e-07	0.00010645179833470808	0	0	4.6235852598830665	66.95844583236614	EGR3;PLEKHG2;BCL2A1;SPHK1;PLAUR;HMGA2;CFLAR;TNF;CCAR2;NFKB1;BCL6;BCL3;PIM3;PIM2;SGK1;BID;PHLDA1;BIRC3
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	13/381	5.439142980605522e-07	0.00010645179833470808	0	0	6.381919283413849	92.05582968523836	EGR3;BCL2A1;SPHK1;PLAUR;HMGA2;TREM2;CFLAR;NFKB1;BCL3;PIM3;PIM2;BID;BIRC3
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	8/120	6.786737152504963e-07	0.00011622287373664751	0	0	12.494943109987354	177.46724338307098	IL1A;CXCL8;IL1B;NLRP3;TNFAIP3;TNF;CXCL2;NFKB1
GO_Biological_Process_2021	cellular response to lipid (GO:0071396)	10/219	8.857224899150803e-07	0.0001348266456870733	0	0	8.478813741971639	118.16805833607245	IL1A;CXCL8;IL1B;SPP1;NLRP3;ABL2;TNFAIP3;FFAR2;CXCL2;NFKB1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	16/621	1.0738536885494086e-06	0.00014711795533126898	0	0	4.854529712711532	66.7219030223044	IL1RN;CXCL8;CCL3L1;TNF;CXCL2;NFKB1;ICAM1;IL1A;SOCS3;BCL6;IRAK2;IL1B;ABL2;MAP3K8;SH2B3;BIRC3
