Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	39/200	8.509376562091173e-49	3.4037506248364697e-47	0	0	58.248901681563396	6447.308858115594	BTG2;CD83;BCL2A1;TNFAIP2;TNFAIP3;TNF;CXCL2;RELB;ICAM1;SOCS3;PLAU;CCRL2;MAP3K8;PHLDA1;MAP2K3;KLF10;KDM6B;EGR2;DUSP2;EGR3;SPHK1;PLAUR;CFLAR;NFKB1;NFKB2;FOSL2;EHD1;RCAN1;IL1A;NR4A3;BCL6;IL1B;MAFF;BHLHE40;BCL3;REL;SGK1;TRIB1;BIRC3
MSigDB_Hallmark_2020	Inflammatory Response	13/200	2.576956854534189e-10	5.153913709068378e-09	0	0	12.675579322638145	279.86718007082584	BTG2;CXCL8;SPHK1;PLAUR;ICAM4;NFKB1;ICAM1;IL1A;IRAK2;IL1B;CCRL2;NLRP3;FFAR2
MSigDB_Hallmark_2020	Apoptosis	8/161	6.168697267293881e-06	8.224929689725174e-05	0	0	9.127653421250509	109.49553930177298	IL1A;BTG2;EGR3;IL1B;CFLAR;BID;TNF;BIRC3
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	8/199	2.873920059493821e-05	0.00023829577828719844	0	0	7.297595329657601	76.31276776189641	CD83;S100A1;MAFF;NFKBIZ;BHLHE40;SPP1;MAP3K8;PHLDA1
MSigDB_Hallmark_2020	KRAS Signaling Up	8/200	2.9786972285899805e-05	0.00023829577828719844	0	0	7.2592182890855455	75.65150372086279	PLAU;IL1B;SPP1;PLAUR;TNFAIP3;PRDM1;TRIB1;BIRC3
MSigDB_Hallmark_2020	Complement	7/200	0.00021729464081676931	0.0014486309387784625	0	0	6.2631578947368425	52.82507914206597	EHD1;MAFF;S100A13;PLAUR;TNFAIP3;SH2B3;ADRA2B
MSigDB_Hallmark_2020	Hypoxia	6/200	0.0013754871973422414	0.006877435986711208	0	0	5.294038547736442	34.88214091728728	MAFF;BHLHE40;PLAUR;TNFAIP3;LARGE1;FOSL2
MSigDB_Hallmark_2020	Estrogen Response Late	6/200	0.0013754871973422414	0.006877435986711208	0	0	5.294038547736442	34.88214091728728	DUSP2;EGR3;IGFBP4;NAB2;SGK1;LARGE1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	4/87	0.0019270447423539927	0.008564643299351079	0	0	8.154052105859336	50.97723934437728	SOCS3;IL1B;MAP3K8;TNF
MSigDB_Hallmark_2020	Estrogen Response Early	5/200	0.007423029303145959	0.0212086551518456	0	0	4.351016799292661	21.333766525890177	KLF10;EGR3;IGFBP4;BHLHE40;RRP12
