Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	high-density lipoprotein particle remodeling (GO:0034375)	4/18	1.4227600216636344e-08	8.565015330415079e-06	0	0	211.1640211640212	3815.3288670738953	CETP;APOC1;APOA2;APOE
GO_Biological_Process_2021	positive regulation of cholesterol esterification (GO:0010873)	3/9	2.814170914022861e-07	8.205746287263999e-05	0	0	356.4821428571428	5376.972719768818	APOC1;APOA2;APOE
GO_Biological_Process_2021	acylglycerol metabolic process (GO:0006639)	4/41	4.5932435267137327e-07	8.205746287263999e-05	0	0	79.8078078078078	1164.6759795297874	CETP;APOC1;APOA2;APOE
GO_Biological_Process_2021	regulation of cholesterol esterification (GO:0010872)	3/12	7.347354101262715e-07	8.205746287263999e-05	0	0	237.6190476190476	3356.073304283189	APOC1;APOA2;APOE
GO_Biological_Process_2021	phospholipid efflux (GO:0033700)	3/12	7.347354101262715e-07	8.205746287263999e-05	0	0	237.6190476190476	3356.073304283189	APOC1;APOA2;APOE
GO_Biological_Process_2021	positive regulation of steroid metabolic process (GO:0045940)	3/13	9.541565450306977e-07	8.205746287263999e-05	0	0	213.84642857142856	2964.4328759058913	APOC1;APOA2;APOE
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	3/13	9.541565450306977e-07	8.205746287263999e-05	0	0	213.84642857142856	2964.4328759058913	CETP;APOA2;APOE
GO_Biological_Process_2021	cholesterol transport (GO:0030301)	4/51	1.1212874565592607e-06	8.437688110608438e-05	0	0	62.795902285264	860.3687306091742	CETP;APOC1;APOA2;APOE
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	4/55	1.5237005783026698e-06	0.000101918638682023	0	0	57.85911401597675	774.9862994747971	CETP;APOC1;APOA2;APOE
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	3/17	2.259137346097175e-06	0.00013600006823504993	0	0	152.71683673469386	1985.3994391666047	CETP;APOA2;APOE
GO_Biological_Process_2021	sterol metabolic process (GO:0016125)	4/70	4.030516915882897e-06	0.00022057919848740941	0	0	44.67564534231201	554.9437075661011	CETP;APOA2;APOE;LIPA
GO_Biological_Process_2021	hydrogen peroxide catabolic process (GO:0042744)	3/21	4.400118931735244e-06	0.00022073929974205143	0	0	118.75595238095238	1464.7215457078858	HBG2;HBE1;HBA1
GO_Biological_Process_2021	cholesterol efflux (GO:0033344)	3/24	6.675090990537932e-06	0.00030910805971567966	0	0	101.77551020408166	1212.8717540971236	APOC1;APOA2;APOE
GO_Biological_Process_2021	regulation of cholesterol transport (GO:0032374)	3/25	7.577380692619542e-06	0.00032582736978264027	0	0	97.14448051948051	1145.3667432674604	CETP;APOC1;APOA2
GO_Biological_Process_2021	hydrogen peroxide metabolic process (GO:0042743)	3/29	1.1987759419957194e-05	0.00045128420369894816	0	0	82.18269230769229	931.263407749183	HBG2;HBE1;HBA1
