Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Mitotic Spindle	2/199	0.006088424117449088	0.034837960779412064	0	0	20.092385786802033	102.49861363841087	TOP2A;BIRC5
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	0.006147875431660952	0.034837960779412064	0	0	19.98989898989899	101.78154350719132	TOP2A;BIRC5
MSigDB_Hallmark_2020	E2F Targets	2/200	0.006147875431660952	0.034837960779412064	0	0	19.98989898989899	101.78154350719132	TOP2A;BIRC5
MSigDB_Hallmark_2020	Pperoxisome	1/104	0.060661884961551775	0.11364434870559527	0	0	17.550750220653132	49.1849192357055	TOP2A
MSigDB_Hallmark_2020	Unfolded Protein Response	1/113	0.06574955100746059	0.11364434870559527	0	0	16.133116883116884	43.912770156229115	HSPA5
MSigDB_Hallmark_2020	Spermatogenesis	1/135	0.07807991320183788	0.11364434870559527	0	0	13.469470827679784	34.34745298046681	GPR182
MSigDB_Hallmark_2020	Apoptosis	1/161	0.09245975231846036	0.11364434870559527	0	0	11.26590909090909	26.823924947784075	TOP2A
MSigDB_Hallmark_2020	Hypoxia	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	HSPA5
MSigDB_Hallmark_2020	Oxidative Phosphorylation	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	ATP5PO
MSigDB_Hallmark_2020	Glycolysis	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	HSPA5
MSigDB_Hallmark_2020	Adipogenesis	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	ATP5PO
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	TOP2A
MSigDB_Hallmark_2020	Myogenesis	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	PVALB
MSigDB_Hallmark_2020	Interferon Gamma Response	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	PSMA2
MSigDB_Hallmark_2020	Complement	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	HSPA5
MSigDB_Hallmark_2020	mTORC1 Signaling	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	HSPA5
MSigDB_Hallmark_2020	Myc Targets V1	1/200	0.11364434870559527	0.11364434870559527	0	0	9.040201005025123	19.659557478207127	PSMA2
