Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	27/128	2.9138222019466794e-29	4.050212860705885e-26	0	0	33.35493169570122	2191.602531443011	KIF11;PMF1;CENPA;AURKB;SKA2;AURKA;CDC20;CCNB1;NUF2;NUSAP1;DLGAP5;CENPU;PLK1;ZWINT;SGO1;CENPE;CENPF;CENPH;KIF4A;TACC3;BIRC5;CENPM;KIF2C;CENPN;SPC24;MAD2L1;SPC25
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	27/157	1.0339532797952773e-26	7.185975294577178e-24	0	0	25.876095423563783	1548.2657090210791	KIF11;PMF1;CENPA;AURKB;SKA2;AURKA;CDC20;CCNB1;NUF2;DLGAP5;CENPU;PLK1;ZWINT;SGO1;TPX2;CENPE;CENPF;CENPH;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;CENPN;SPC24;MAD2L1;SPC25
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	18/102	2.4455321170780644e-18	1.1330965475795032e-15	0	0	25.317792985457654	1026.6939501096824	SPAG5;CDCA5;PLK1;NCAPG;KIF22;SMC4;NCAPH;ZWINT;SMC2;SGO1;CENPE;CCNB1;KIFC1;NUSAP1;CDK1;CHMP4A;KIF2C;DLGAP5
GO_Biological_Process_2021	mitotic chromosome condensation (GO:0007076)	9/27	1.6549240411185186e-12	5.750861042886852e-10	0	0	56.24147727272727	1525.6775144778205	CCNB1;CDCA5;PLK1;NUSAP1;CDK1;NCAPG;SMC4;NCAPH;SMC2
GO_Biological_Process_2021	kinetochore organization (GO:0051383)	7/13	8.463881240960894e-12	2.004624198075349e-09	0	0	129.83426966292134	3310.152395069039	CENPE;CENPF;CENPW;CENPH;NUF2;CENPA;DLGAP5
GO_Biological_Process_2021	chromosome condensation (GO:0030261)	10/45	8.653054092411577e-12	2.004624198075349e-09	0	0	32.293877551020415	822.6254558831088	TOP2A;CCNB1;CDCA5;PLK1;NUSAP1;CDK1;NCAPG;SMC4;NCAPH;SMC2
GO_Biological_Process_2021	centromere complex assembly (GO:0034508)	9/37	4.057380234156343e-11	8.056797893539024e-09	0	0	36.1369724025974	864.681808473561	CENPU;CENPE;CENPF;CENPW;CENPH;CENPM;CENPN;CENPA;DLGAP5
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	11/74	7.925944671380907e-11	1.3771328866524327e-08	0	0	19.82047071702244	460.9903452403274	SGO1;TPX2;SPAG5;KIFC1;UBE2C;UBE2S;PLK1;NUSAP1;KIF11;SMC4;ZWINT
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	11/84	3.2512636026685716e-10	5.021396008565906e-08	0	0	17.096677688552987	373.5078213649649	CDC20;CCNB1;PTTG1;PSMA1;UBE2C;UBE2S;PLK1;CDK1;AURKB;AURKA;MAD2L1
GO_Biological_Process_2021	sister chromatid segregation (GO:0000819)	8/34	6.805861668571617e-10	9.460147719314547e-08	0	0	34.40069534984789	726.1321712482675	TOP2A;SGO1;SPAG5;KIFC1;PLK1;NUSAP1;SMC4;ZWINT
GO_Biological_Process_2021	DNA replication-independent nucleosome assembly (GO:0006336)	8/39	2.2170791148265574e-09	2.801581790553559e-07	0	0	28.84490614178969	574.7946144421272	CENPU;CENPW;CENPH;CENPM;CENPN;CENPA;ASF1A;ASF1B
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	14/188	2.426000188947549e-09	2.810116885530912e-07	0	0	9.241580963904012	183.32544442017482	UBE2C;PLK1;HMMR;AURKA;HAUS1;CDC20;TPX2;CENPE;CCNB1;CENPF;PSMA1;UBE2S;CDK1;MAD2L1
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	16/277	6.766569115025738e-09	7.235023899912134e-07	0	0	7.0929742229476975	133.4278649580759	TOP2A;PCNA;LIG1;MCM7;UHRF1;HMGB2;HMGB3;TYMS;DDB2;RAD51AP1;CDC45;UBE2T;RPA3;CHEK1;CDK1;ASF1A
GO_Biological_Process_2021	kinetochore assembly (GO:0051382)	5/9	7.842925222621251e-09	7.786904328173956e-07	0	0	137.57638888888889	2567.6781148819314	CENPE;CENPF;CENPW;CENPA;DLGAP5
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	13/178	1.1622305347471888e-08	1.077000295532395e-06	0	0	9.001057082452432	164.4523706491911	UBE2C;PLK1;MKI67;PKMYT1;CKS1B;CDC20;CCNB1;PSMA1;UBE2S;CDK1;PIM3;DLGAP5;MAD2L1
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	8/51	2.0875805586197524e-08	1.8135856103009101e-06	0	0	20.782551570095915	367.53266968907417	CENPE;CCNB1;KIFC1;CDCA5;NUF2;CHMP4A;KIF2C;KIF22
GO_Biological_Process_2021	spindle assembly checkpoint signaling (GO:0071173)	6/21	2.7920063462806155e-08	2.042573063857924e-06	0	0	44.24581005586592	769.6080931026307	CDC20;CENPF;PLK1;TRIP13;ZWINT;MAD2L1
GO_Biological_Process_2021	mitotic spindle assembly checkpoint signaling (GO:0007094)	6/21	2.7920063462806155e-08	2.042573063857924e-06	0	0	44.24581005586592	769.6080931026307	CDC20;CENPF;PLK1;TRIP13;ZWINT;MAD2L1
GO_Biological_Process_2021	mitotic spindle checkpoint signaling (GO:0071174)	6/21	2.7920063462806155e-08	2.042573063857924e-06	0	0	44.24581005586592	769.6080931026307	CDC20;CENPF;PLK1;TRIP13;ZWINT;MAD2L1
GO_Biological_Process_2021	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	6/22	3.8096211352670416e-08	2.6476866890105947e-06	0	0	41.47835195530726	708.5809496554809	CDC20;CENPF;PLK1;TRIP13;ZWINT;MAD2L1
GO_Biological_Process_2021	histone exchange (GO:0043486)	7/38	5.121646081455628e-08	3.3900419301063437e-06	0	0	25.097499093874593	421.3168586693448	CENPU;CENPW;CENPH;ANP32E;CENPM;CENPN;CENPA
