Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	E2F Targets	52/200	9.402758028934319e-62	3.7611032115737273e-60	0	0	51.955090428774646	7300.691520740564	TOP2A;MCM7;HMGB2;HMGB3;BRCA2;MKI67;SMC4;CKS1B;CDC20;PTTG1;CHEK1;TK1;DLGAP5;TMPO;LIG1;KIF22;NME1;MELK;DEPDC1;BIRC5;KIF2C;ASF1A;ASF1B;PCNA;CDCA3;HMMR;AURKB;AURKA;RAD51AP1;CCNB2;CBX5;RRM2;SPAG5;PLK1;ATAD2;DONSON;SSRP1;CENPE;DIAPH3;UBE2S;UBE2T;KIF4A;RPA3;ANP32E;CDK1;TACC3;CENPM;TRIP13;SPC24;MAD2L1;CDKN3;SPC25
MSigDB_Hallmark_2020	G2-M Checkpoint	37/200	1.0565270633614732e-37	2.113054126722946e-36	0	0	30.14110429447853	2566.2335509488944	TOP2A;DTYMK;TROAP;HMGB3;KIF11;HMMR;BRCA2;MKI67;SMC4;CENPA;AURKB;AURKA;SMC2;KIF15;CKS1B;CDC20;CCNB2;CDC45;PTTG1;CHEK1;NUSAP1;TMPO;UBE2C;PLK1;KIF22;CCNA2;TPX2;CENPE;CENPF;UBE2S;KIF4A;CDK1;TACC3;BIRC5;KIF2C;MAD2L1;CDKN3
MSigDB_Hallmark_2020	Mitotic Spindle	18/199	4.219615017147761e-13	5.6261533561970135e-12	0	0	11.691931055017037	333.14827365708567	TOP2A;PLK1;KIF22;KIF11;BRCA2;SMC4;AURKA;KIF15;TPX2;CCNB2;CENPE;CENPF;KIF4A;CDK1;NUSAP1;BIRC5;KIF2C;DLGAP5
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	17/200	5.31948454921289e-12	5.319484549212889e-11	0	0	10.855581576893053	281.8070408187308	KDM6B;EGR2;EGR3;TNFRSF9;PLEK;TNFAIP3;CXCL3;TNF;CXCL2;ETS2;NFKB2;ICAM1;NR4A3;PLAU;NINJ1;MAFF;BIRC3
MSigDB_Hallmark_2020	Myc Targets V1	13/200	4.660911178154087e-08	3.7287289425232687e-07	0	0	7.933217261534635	133.92436748364938	RRM1;PCNA;MCM7;STARD7;TYMS;MRPL23;NME1;CDC20;CCNA2;CDC45;PSMA1;RPS10;MAD2L1
MSigDB_Hallmark_2020	DNA Repair	8/150	7.919642243569472e-05	0.0005279761495712982	0	0	6.261796769316463	59.13377517451571	PCNA;LIG1;RPA3;SSRP1;TYMS;ZWINT;DDB2;NME1
MSigDB_Hallmark_2020	Spermatogenesis	7/135	0.00026454081752751456	0.0015116618144429405	0	0	6.0484989466292145	49.82460079427713	RPL39L;CCNB2;CDK1;KIF2C;NCAPH;AURKA;CDKN3
MSigDB_Hallmark_2020	mTORC1 Signaling	7/200	0.0026461500380191537	0.013230750190095768	0	0	3.9981952611049665	23.727887551942874	DHFR;RRM2;PPA1;PLK1;CXCR4;PHGDH;AURKA
MSigDB_Hallmark_2020	Oxidative Phosphorylation	6/200	0.010891153061543151	0.043564612246172606	0	0	3.390139952773138	15.322769695653706	NDUFB8;ACAA2;ATP5PO;NDUFC2;TIMM10;FXN
MSigDB_Hallmark_2020	Glycolysis	6/200	0.010891153061543151	0.043564612246172606	0	0	3.390139952773138	15.322769695653706	CDK1;DEPDC1;CXCR4;HMMR;CENPA;AURKA
MSigDB_Hallmark_2020	Apoptosis	5/161	0.01707943457683008	0.06210703482483665	0	0	3.5005341880341883	14.246754765798592	TOP2A;EGR3;HMGB2;TNF;BIRC3
MSigDB_Hallmark_2020	UV Response Up	4/158	0.059304091272679764	0.19768030424226588	0	0	2.8214106335653297	7.970702239247926	GGH;MRPL23;CXCL2;ICAM1
MSigDB_Hallmark_2020	Adipogenesis	4/200	0.11501565409139915	0.2875391352284979	0	0	2.2120870447626566	4.784051977195441	ACAA2;DDT;ATP5PO;PIM3
MSigDB_Hallmark_2020	Estrogen Response Late	4/200	0.11501565409139915	0.2875391352284979	0	0	2.2120870447626566	4.784051977195441	CDC20;TOP2A;EGR3;FABP5
