Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	26/128	1.3267618689043292e-28	1.7035622396731587e-25	0	0	34.43969916733817	2210.6719365582408	KIF11;PMF1;CENPA;AURKB;SKA2;AURKA;CDC20;NUF2;NUSAP1;DLGAP5;CENPU;PLK1;ZWINT;SGO1;CENPE;CENPF;CENPH;KIF4A;TACC3;BIRC5;CENPM;KIF2C;CENPN;SPC24;MAD2L1;SPC25
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	26/157	3.7295601554906734e-26	2.3943776198250125e-23	0	0	26.776220851197323	1567.7724215100934	KIF11;PMF1;CENPA;AURKB;SKA2;AURKA;CDC20;NUF2;DLGAP5;CENPU;PLK1;ZWINT;SGO1;TPX2;CENPE;CENPF;CENPH;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;CENPN;SPC24;MAD2L1;SPC25
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	17/102	1.7560537250952635e-17	7.515909943407728e-15	0	0	25.47483870967742	982.8416313609756	SPAG5;CDCA5;PLK1;NCAPG;KIF22;SMC4;NCAPH;ZWINT;SMC2;SGO1;CENPE;KIFC1;NUSAP1;CDK1;CHMP4A;KIF2C;DLGAP5
GO_Biological_Process_2021	kinetochore organization (GO:0051383)	7/13	5.055160974200972e-12	1.6227066727185116e-09	0	0	140.15555555555557	3645.531693827507	CENPE;CENPF;CENPW;CENPH;NUF2;CENPA;DLGAP5
GO_Biological_Process_2021	centromere complex assembly (GO:0034508)	9/37	2.1086877522121752e-11	5.415110147680866e-09	0	0	39.04469763365469	959.8112110817284	CENPU;CENPE;CENPF;CENPW;CENPH;CENPM;CENPN;CENPA;DLGAP5
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	11/74	3.607541486508864e-11	7.720138781128968e-09	0	0	21.434979789017056	515.4128668925605	SGO1;TPX2;SPAG5;KIFC1;UBE2C;UBE2S;PLK1;NUSAP1;KIF11;SMC4;ZWINT
GO_Biological_Process_2021	mitotic chromosome condensation (GO:0007076)	8/27	4.9060568627313434e-11	8.999110016781493e-09	0	0	50.857509627727865	1207.2538082834685	CDCA5;PLK1;NUSAP1;CDK1;NCAPG;SMC4;NCAPH;SMC2
GO_Biological_Process_2021	chromosome condensation (GO:0030261)	9/45	1.4162711222630014e-10	2.2731151512321177e-08	0	0	30.355828220858893	688.4041140568908	TOP2A;CDCA5;PLK1;NUSAP1;CDK1;NCAPG;SMC4;NCAPH;SMC2
GO_Biological_Process_2021	sister chromatid segregation (GO:0000819)	8/34	3.812273259364212e-10	5.4388431833596085e-08	0	0	37.151969981238274	805.7380027252588	TOP2A;SGO1;SPAG5;KIFC1;PLK1;NUSAP1;SMC4;ZWINT
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	14/178	4.5545291803276566e-10	5.8480154675407126e-08	0	0	10.624266748996604	228.52509612805508	BTG2;UBE2C;PLK1;PKMYT1;MKI67;CKS1B;CDC20;PSMA1;UBE2S;CDK1;CKS2;PIM3;DLGAP5;MAD2L1
