Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Myc Targets V1	9/200	7.246130877532363e-07	2.6086071159116503e-05	0	0	10.205454231632242	144.28091546324458	SNRPD1;C1QBP;APEX1;MRPS18B;NHP2;PHB;MRPL23;RPS10;NME1
MSigDB_Hallmark_2020	Oxidative Phosphorylation	6/200	0.0005070298275322483	0.00608435793038698	0	0	6.483658697082694	49.191134213816134	NDUFA7;NDUFS8;ATP5PO;NDUFC2;ETFB;ATP5MC1
MSigDB_Hallmark_2020	Allograft Rejection	6/200	0.0005070298275322483	0.00608435793038698	0	0	6.483658697082694	49.191134213816134	CCR1;FGR;CCND3;ITGB2;CD3E;NME1
MSigDB_Hallmark_2020	Myc Targets V2	3/58	0.0030661973063982524	0.023931514430914697	0	0	11.159325210871602	64.58255414819172	EXOSC5;PPAN;PHB
MSigDB_Hallmark_2020	mTORC1 Signaling	5/200	0.0033238214487381523	0.023931514430914697	0	0	5.318488529014845	30.35070001325783	SDF2L1;ITGB2;ENO1;EEF1E1;ATP5MC1
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	2/49	0.024991188433223118	0.1499471305993387	0	0	8.620495006513243	31.80300585210209	PRDX2;TXN
MSigDB_Hallmark_2020	TGF-beta Signaling	2/54	0.029925836282038012	0.15390430087905266	0	0	7.789638932496076	27.33410071093129	FKBP1A;PPP1CA
MSigDB_Hallmark_2020	DNA Repair	3/150	0.03946426952500371	0.1775892128625167	0	0	4.155901535872081	13.433368165586536	ZWINT;GTF2H5;NME1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	3/199	0.07799611290963554	0.2185162436294424	0	0	3.1091941931411737	7.931853764874994	CCND3;AHCY;GLIPR2
MSigDB_Hallmark_2020	Hypoxia	3/200	0.0789086435328542	0.2185162436294424	0	0	3.0932544874143075	7.855209980826793	ANXA2;S100A4;ENO1
MSigDB_Hallmark_2020	Adipogenesis	3/200	0.0789086435328542	0.2185162436294424	0	0	3.0932544874143075	7.855209980826793	UCP2;ATP5PO;ETFB
MSigDB_Hallmark_2020	Estrogen Response Late	3/200	0.0789086435328542	0.2185162436294424	0	0	3.0932544874143075	7.855209980826793	FABP5;IGFBP4;ETFB
MSigDB_Hallmark_2020	heme Metabolism	3/200	0.0789086435328542	0.2185162436294424	0	0	3.0932544874143075	7.855209980826793	PRDX2;CCND3;UCP2
MSigDB_Hallmark_2020	Unfolded Protein Response	2/113	0.10976205232938706	0.2822452774184239	0	0	3.638352638352639	8.038723369904124	EXOSC5;NHP2
MSigDB_Hallmark_2020	Angiogenesis	1/36	0.16523874056701404	0.3965729773608337	0	0	5.733044733044733	10.321566994169176	S100A4
MSigDB_Hallmark_2020	UV Response Up	2/158	0.18711815886392236	0.4210158574438253	0	0	2.5829408686551543	4.329047629874819	CCND3;MRPL23
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	0.2642273190435063	0.4323719766166467	0	0	2.0307153164296023	2.702771390555414	SNRPD1;HMGA1
MSigDB_Hallmark_2020	E2F Targets	2/200	0.2642273190435063	0.4323719766166467	0	0	2.0307153164296023	2.702771390555414	HMGA1;NME1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2/200	0.2642273190435063	0.4323719766166467	0	0	2.0307153164296023	2.702771390555414	IGFBP4;EMP3
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2/200	0.2642273190435063	0.4323719766166467	0	0	2.0307153164296023	2.702771390555414	AHCY;IGFBP4
MSigDB_Hallmark_2020	Glycolysis	2/200	0.2642273190435063	0.4323719766166467	0	0	2.0307153164296023	2.702771390555414	TXN;ENO1
MSigDB_Hallmark_2020	p53 Pathway	2/200	0.2642273190435063	0.4323719766166467	0	0	2.0307153164296023	2.702771390555414	CCND3;S100A4
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	0.31037523789289684	0.4858047201801864	0	0	2.7434620174346205	3.209777224050686	FABP5
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1/87	0.3540498524990138	0.5090093067071237	0	0	2.327225745830397	2.4163993335324085	CCR1
MSigDB_Hallmark_2020	Protein Secretion	1/96	0.38267056588073545	0.5090093067071237	0	0	2.1057947900053158	2.0227860466278917	COPE
MSigDB_Hallmark_2020	Interferon Alpha Response	1/97	0.3857720948428521	0.5090093067071237	0	0	2.083754208754209	1.9847936202473104	PSME2
MSigDB_Hallmark_2020	Androgen Response	1/100	0.394984420817951	0.5090093067071237	0	0	2.020304050607081	1.8766785261005492	CCND3
MSigDB_Hallmark_2020	Pperoxisome	1/104	0.4070550586365517	0.5090093067071237	0	0	1.9414533686378344	1.7449915352070269	ITGB1BP1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	0.4100352748474053	0.5090093067071237	0	0	1.9226884226884229	1.7140999679223647	PPP1CA
MSigDB_Hallmark_2020	UV Response Dn	1/144	0.515386675547343	0.6184640106568116	0	0	1.3955640319276683	0.9250326397711036	ANXA2
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	0.5484697017864213	0.6348838112697764	0	0	1.270218104613009	0.7629225123606185	APEX1
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	IGFBP4
MSigDB_Hallmark_2020	Interferon Gamma Response	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	PSME2
MSigDB_Hallmark_2020	Apical Junction	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	TSPAN4
MSigDB_Hallmark_2020	Inflammatory Response	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	EMP3
MSigDB_Hallmark_2020	KRAS Signaling Up	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	ITGB2
