Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	6/93	8.591625158539185e-09	2.663403799147147e-06	0	0	50.77905491698595	943.0928765961397	EIF4A1;RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	6/113	2.78253505148026e-08	4.312929329794403e-06	0	0	41.24610591900312	717.5716350715317	RPS17;RPL36A;RPS20;EIF3E;RPS10;RPL17
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	6/171	3.271986504455884e-07	2.730926137243256e-05	0	0	26.669360269360272	398.2455122706865	RPS17;RPL36A;RPS20;EIF3E;RPS10;RPL17
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	5/90	3.543213208025824e-07	2.730926137243256e-05	0	0	41.76890756302521	620.3961590711997	RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	5/94	4.404719576198799e-07	2.730926137243256e-05	0	0	39.88362760834671	583.7136034393403	RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	5/103	6.951278604544759e-07	3.591493945681459e-05	0	0	36.20444606413994	513.3489968180335	RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	4/70	5.2140809889977725e-06	0.00021385990858725583	0	0	41.59038662486938	505.91160620369766	NDUFB8;NDUFA11;UQCRQ;UQCRFS1
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	4/71	5.518965382896926e-06	0.00021385990858725583	0	0	40.96757591353577	496.0075571857052	NDUFB8;NDUFA11;UQCRQ;UQCRFS1
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	5/162	6.475088189961879e-06	0.00022303081543202026	0	0	22.531847133757964	269.20033260376005	RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	6/314	1.1061889065549748e-05	0.00034291856103204217	0	0	14.183982683982684	161.86767811625882	RPS17;RPL36A;NAP1L1;RPS20;RPS10;RPL17
GO_Biological_Process_2021	translation (GO:0006412)	5/214	2.488617769686445e-05	0.0007013377350934527	0	0	16.881408065618597	178.96314978032865	RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	4/162	0.00014131087387765138	0.003650530908505994	0	0	17.292885202968137	153.29361639214926	RPS17;RPL36A;NOP53;RPL17
GO_Biological_Process_2021	mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	2/12	0.00017245081887581117	0.00402747912061083	0	0	128.75483870967741	1115.711982374121	UQCRQ;UQCRFS1
GO_Biological_Process_2021	rRNA processing (GO:0006364)	4/173	0.00018188615383403747	0.00402747912061083	0	0	16.1583350336666	139.15767534930717	RPS17;RPL36A;NOP53;RPL17
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	4/192	0.0002708734881024686	0.005301671432311615	0	0	14.511371973587675	119.19435863896291	RPS17;RPL36A;NOP53;RPL17
GO_Biological_Process_2021	gene expression (GO:0010467)	5/356	0.00027363465457092207	0.005301671432311615	0	0	9.979649979649981	81.87022138576008	RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	4/201	0.0003224269235592072	0.005879549782550249	0	0	13.842114475757045	111.2855347389854	RPS17;RPL36A;NOP53;RPL17
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	3/90	0.0004359941869285521	0.0072375088591056045	0	0	22.85057471264368	176.8150427023489	NDUFB8;NDUFA11;UQCRFS1
GO_Biological_Process_2021	cytoplasmic translational initiation (GO:0002183)	2/19	0.0004435892526548597	0.0072375088591056045	0	0	75.71157495256169	584.5396585589853	EIF4A1;EIF2S2
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	5/417	0.0005641376886816009	0.008744134174564816	0	0	8.475641470180305	63.39959679072678	RPS17;RPL36A;RPS20;RPS10;RPL17
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	3/136	0.0014452611699372546	0.02133480774669281	0	0	14.91278195488722	97.5216191258927	SNRPE;EIF2S2;NOP53
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	2/39	0.0018829910231392734	0.02653305532605341	0	0	34.75152571926765	218.0621331595031	NDUFB8;NDUFA11
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	2/58	0.004119166057686395	0.053205894911782604	0	0	22.9389400921659	125.98305723611936	NDUFB8;NDUFA11
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	2/58	0.004119166057686395	0.053205894911782604	0	0	22.9389400921659	125.98305723611936	NDUFB8;NDUFA11
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase I (GO:0016479)	1/5	0.008223547969126478	0.09804999501650802	0	0	155.9609375	748.7300222782447	NOP53
GO_Biological_Process_2021	regulation of mRNA binding (GO:1902415)	1/5	0.008223547969126478	0.09804999501650802	0	0	155.9609375	748.7300222782447	EIF3E
GO_Biological_Process_2021	protein sulfation (GO:0006477)	1/6	0.009860377742693641	0.10189057000783427	0	0	124.7625	576.3067827453115	TPST2
GO_Biological_Process_2021	positive regulation of RNA binding (GO:1905216)	1/6	0.009860377742693641	0.10189057000783427	0	0	124.7625	576.3067827453115	EIF3E
GO_Biological_Process_2021	ruffle assembly (GO:0097178)	1/6	0.009860377742693641	0.10189057000783427	0	0	124.7625	576.3067827453115	AIF1
GO_Biological_Process_2021	negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	1/6	0.009860377742693641	0.10189057000783427	0	0	124.7625	576.3067827453115	ITM2C
GO_Biological_Process_2021	nucleosome organization (GO:0034728)	2/94	0.010496985856888531	0.10480360275299183	0	0	13.937587657784011	63.50894747195799	HMGA1;NAP1L1
GO_Biological_Process_2021	positive regulation of protein deubiquitination (GO:1903003)	1/7	0.011494588689037816	0.10480360275299183	0	0	103.96354166666669	464.28858742437063	NOP53
GO_Biological_Process_2021	parallel actin filament bundle assembly (GO:0030046)	1/7	0.011494588689037816	0.10480360275299183	0	0	103.96354166666669	464.28858742437063	AIF1
GO_Biological_Process_2021	positive regulation of mRNA binding (GO:1902416)	1/7	0.011494588689037816	0.10480360275299183	0	0	103.96354166666669	464.28858742437063	EIF3E
GO_Biological_Process_2021	respiratory chain complex III assembly (GO:0017062)	1/8	0.013126184702817524	0.11303103494092867	0	0	89.10714285714286	386.11427848956185	UQCRFS1
GO_Biological_Process_2021	mitochondrial respiratory chain complex III assembly (GO:0034551)	1/8	0.013126184702817524	0.11303103494092867	0	0	89.10714285714286	386.11427848956185	UQCRFS1
GO_Biological_Process_2021	negative regulation of glycoprotein biosynthetic process (GO:0010561)	1/9	0.014755169717842366	0.12126214911525768	0	0	77.96484375	328.71239348696685	ITM2C
GO_Biological_Process_2021	tumor necrosis factor-mediated signaling pathway (GO:0033209)	2/116	0.0156612608858471	0.12126214911525768	0	0	11.2354272778721	46.700784629535974	PSMA2;LTB
GO_Biological_Process_2021	formation of translation preinitiation complex (GO:0001731)	1/10	0.016381547690707304	0.12126214911525768	0	0	69.2986111111111	284.92814993055333	EIF2S2
GO_Biological_Process_2021	negative regulation of phosphatidylinositol 3-kinase signaling (GO:0014067)	1/10	0.016381547690707304	0.12126214911525768	0	0	69.2986111111111	284.92814993055333	NOP53
GO_Biological_Process_2021	regulation of amyloid precursor protein biosynthetic process (GO:0042984)	1/11	0.01800532259639319	0.12126214911525768	0	0	62.365625	250.52819538044847	ITM2C
GO_Biological_Process_2021	DNA-dependent DNA replication (GO:0006261)	2/129	0.01912932244200647	0.12126214911525768	0	0	10.078740157480317	39.8768671724488	PSMA2;HMGA1
GO_Biological_Process_2021	actin crosslink formation (GO:0051764)	1/12	0.01962649841488355	0.12126214911525768	0	0	56.69318181818182	222.8537921370837	AIF1
