Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	4/90	1.327866567284374e-08	3.431976035233512e-07	0	0	308.6356589147287	5597.758023574513	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	4/93	1.516766674984714e-08	3.431976035233512e-07	0	0	298.187265917603	5368.5933132411155	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	4/94	1.583988939338544e-08	3.431976035233512e-07	0	0	294.85925925925926	5295.888850762578	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	4/103	2.294049725588435e-08	3.727830804081207e-07	0	0	267.93265993265993	4713.032492997095	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	4/113	3.336841690984302e-08	4.337894198279592e-07	0	0	243.22935779816518	4187.352949507228	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	4/162	1.4243755370332866e-07	1.543073498452727e-06	0	0	167.38396624472574	2638.7014624722783	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	4/171	1.7698520575967375e-07	1.6434340534826847e-06	0	0	158.29141716566866	2460.988272068915	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	translation (GO:0006412)	4/214	4.349668266581418e-07	3.534105466597402e-06	0	0	125.60634920634921	1839.8813094564525	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	4/314	2.0099220769863547e-06	1.4516103889345898e-05	0	0	84.65806451612903	1110.4949318567647	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	gene expression (GO:0010467)	4/356	3.3115626030269316e-06	2.1525156919675053e-05	0	0	74.39772727272727	938.7572478700996	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	4/417	6.2034412393013065e-06	3.6656698232234986e-05	0	0	63.21226795803067	757.9407810999862	RPS17;RPL36A;RPS20;RPS10
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	3/162	1.7827654539341378e-05	9.656646208809912e-05	0	0	93.55660377358492	1023.0189787868387	RPS17;RPL36A;NOP53
GO_Biological_Process_2021	rRNA processing (GO:0006364)	3/173	2.1701241799349807e-05	0.00010850620899674903	0	0	87.45441176470587	939.0978110100166	RPS17;RPL36A;NOP53
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	3/192	2.96318512498734e-05	0.00013757645223155506	0	0	78.58730158730158	819.4031305061815	RPS17;RPL36A;NOP53
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	3/201	3.3975077861184445e-05	0.00014722533739846592	0	0	74.98106060606061	771.546363812206	RPS17;RPL36A;NOP53
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	2/156	0.0012372706273500284	0.005026411923609492	0	0	51.529870129870126	344.98461872764625	RPS20;NOP53
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase I (GO:0016479)	1/5	0.0017489165149326186	0.006687033733565896	0	0	832.875	5287.722499803603	NOP53
GO_Biological_Process_2021	positive regulation of protein deubiquitination (GO:1903003)	1/7	0.0024477534600423037	0.008839109716819431	0	0	555.1944444444445	3338.1535834228607	NOP53
GO_Biological_Process_2021	negative regulation of phosphatidylinositol 3-kinase signaling (GO:0014067)	1/10	0.003495224297088996	0.011957346279514985	0	0	370.0740740740741	2093.271349114512	NOP53
GO_Biological_Process_2021	regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	1/14	0.004890387533564395	0.015893759484084283	0	0	256.15384615384613	1362.8623704331806	NOP53
GO_Biological_Process_2021	regulation of aerobic respiration (GO:1903715)	1/15	0.005238916894144343	0.016215695148542014	0	0	237.84523809523807	1249.0776854949002	NOP53
GO_Biological_Process_2021	regulation of cellular respiration (GO:0043457)	1/17	0.005935661995124462	0.017537183167413185	0	0	208.09375	1066.8501922993223	NOP53
GO_Biological_Process_2021	regulation of RIG-I signaling pathway (GO:0039535)	1/19	0.00663198906678106	0.018742577797424737	0	0	184.9537037037037	927.7001289942033	NOP53
