Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	7/179	2.952661464572975e-07	0.00017066383265231796	0	0	18.719037317468906	281.4480020822496	NCR3;JAML;ITGB2;KLRF1;PILRB;CD3E;CD3D
GO_Biological_Process_2021	positive thymic T cell selection (GO:0045059)	2/5	6.09567865299597e-05	0.017616511307158352	0	0	277.0416666666667	2688.78505476905	CD3E;CD3D
GO_Biological_Process_2021	positive regulation of myeloid leukocyte differentiation (GO:0002763)	3/36	9.903955378900075e-05	0.01908162069668081	0	0	38.524177949709866	355.1925837792589	CCR1;IL23R;ID2
GO_Biological_Process_2021	cellular defense response (GO:0006968)	3/49	0.0002497855682645102	0.036094014614221716	0	0	27.618871415356153	229.09599013803128	CX3CR1;GNLY;KLRG1
GO_Biological_Process_2021	positive regulation of cytosolic calcium ion concentration (GO:0007204)	4/147	0.0004961294316551132	0.039640492007945095	0	0	12.04439039221648	91.64183658279042	CCR1;CX3CR1;CD52;CXCR6
GO_Biological_Process_2021	regulation of cytosolic calcium ion concentration (GO:0051480)	4/148	0.0005089776136847754	0.039640492007945095	0	0	11.960144927536232	90.69505302025782	CCR1;CX3CR1;CD52;CXCR6
GO_Biological_Process_2021	positive regulation of T cell proliferation (GO:0042102)	3/66	0.0006021465740591645	0.039640492007945095	0	0	20.148936170212764	149.404556417174	TMIGD2;IL23R;CD3E
GO_Biological_Process_2021	Arp2/3 complex-mediated actin nucleation (GO:0034314)	2/15	0.0006299020654549659	0.039640492007945095	0	0	63.90064102564103	470.9442866528223	ARPC1B;ARPC4
GO_Biological_Process_2021	positive regulation of osteoclast differentiation (GO:0045672)	2/15	0.0006299020654549659	0.039640492007945095	0	0	63.90064102564103	470.9442866528223	CCR1;IL23R
GO_Biological_Process_2021	cell chemotaxis (GO:0060326)	3/69	0.0006858216610371124	0.039640492007945095	0	0	19.230174081237916	140.08975927188362	CCR1;CX3CR1;CXCR6
GO_Biological_Process_2021	positive regulation of activated T cell proliferation (GO:0042104)	2/20	0.0011307590059983252	0.05530662929223083	0	0	46.13888888888889	313.0461870363529	TMIGD2;IL23R
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	5/322	0.001227430833121679	0.05530662929223083	0	0	6.881528215913074	46.12572786239942	CCR1;ID2;GZMB;CD3E;HSPA1B
GO_Biological_Process_2021	actin nucleation (GO:0045010)	2/21	0.0012477930702112238	0.05530662929223083	0	0	43.70833333333334	292.25047477799524	ARPC1B;ARPC4
GO_Biological_Process_2021	microglial cell activation (GO:0001774)	2/22	0.001370383663162003	0.05530662929223083	0	0	41.520833333333336	273.7329252658829	CX3CR1;ITGB2
GO_Biological_Process_2021	second-messenger-mediated signaling (GO:0019932)	3/89	0.0014352931477222535	0.05530662929223083	0	0	14.743196437407224	96.51465720793364	CCR1;CX3CR1;CXCR6
GO_Biological_Process_2021	calcium-mediated signaling (GO:0019722)	3/102	0.002121212982648662	0.07662881899818291	0	0	12.798839458413925	78.78667603753652	CCR1;CX3CR1;CXCR6
GO_Biological_Process_2021	inflammatory response (GO:0006954)	4/230	0.002593007554363607	0.08816225684836262	0	0	7.589072720277031	45.192448868077385	CCR1;NCR3;ITGB2;KLRG1
GO_Biological_Process_2021	regulation of activated T cell proliferation (GO:0046006)	2/34	0.003265007400933762	0.10484301542998416	0	0	25.93489583333333	148.46413612460563	TMIGD2;IL23R
GO_Biological_Process_2021	regulation of osteoclast differentiation (GO:0045670)	2/36	0.003654925722798421	0.11118668777776247	0	0	24.40686274509804	136.96349152286243	CCR1;IL23R
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	2/43	0.005180691162792407	0.11342538425694565	0	0	20.232723577235774	106.48111760263687	NCR3;IL23R
GO_Biological_Process_2021	actin filament organization (GO:0007015)	3/152	0.006496107775646001	0.11342538425694565	0	0	8.48250749678709	42.72259082051396	ARPC4;RHOC;MYO1F
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	5/481	0.0068578174280320755	0.11342538425694565	0	0	4.545751633986928	22.64859859948357	ANXA2;ITGB2;NDUFC2;CTSD;HSPA1B
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	5/482	0.00691681901204082	0.11342538425694565	0	0	4.535988819007686	22.561097991826898	CCR1;PYHIN1;IL23R;ITGB2;IL2RG
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	5/485	0.007095967629459469	0.11342538425694565	0	0	4.5069444444444455	22.301391379620444	ANXA2;ITGB2;NDUFC2;CTSD;HSPA1B
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	5/488	0.0072783553709236	0.11342538425694565	0	0	4.478260869565218	22.04580810203948	ANXA2;ITGB2;NDUFC2;CTSD;HSPA1B
GO_Biological_Process_2021	protein catabolic process (GO:0030163)	2/64	0.01118690003742748	0.11342538425694565	0	0	13.365591397849462	60.051760195429935	FBXO44;CTSD
GO_Biological_Process_2021	negative regulation of B cell differentiation (GO:0045578)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	ID2
GO_Biological_Process_2021	positive regulation of cell fate commitment (GO:0010455)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	IL23R
GO_Biological_Process_2021	His-Purkinje system development (GO:0003164)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	ID2
GO_Biological_Process_2021	positive regulation of low-density lipoprotein receptor activity (GO:1905599)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	ANXA2
GO_Biological_Process_2021	positive regulation of natural killer cell proliferation (GO:0032819)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	IL23R
GO_Biological_Process_2021	regulation of glial cell migration (GO:1903975)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	CX3CR1
GO_Biological_Process_2021	positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	HSPA1B
GO_Biological_Process_2021	regulation of hippocampal neuron apoptotic process (GO:0110089)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	CX3CR1
GO_Biological_Process_2021	regulation of low-density lipoprotein particle receptor catabolic process (GO:0032803)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	ANXA2
GO_Biological_Process_2021	regulation of microglial cell mediated cytotoxicity (GO:1904149)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	CX3CR1
GO_Biological_Process_2021	regulation of neutrophil degranulation (GO:0043313)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	ITGB2
GO_Biological_Process_2021	monocyte extravasation (GO:0035696)	1/5	0.012438777192772534	0.11342538425694565	0	0	101.76530612244898	446.43793514006063	JAML
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	3/194	0.012608886419547886	0.11342538425694565	0	0	6.603208198730089	28.878163305605014	CCR1;ID2;CD3E
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	2/70	0.013274200561286012	0.11342538425694565	0	0	12.182598039215687	52.65237170003471	NDUFC2;UQCR11
