Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Allograft Rejection	6/200	1.0219798089852524e-05	0.0002452751541564606	0	0	13.88659793814433	159.57344828850043	CCR1;ITGB2;GZMB;IL2RG;CD3E;CD3D
MSigDB_Hallmark_2020	p53 Pathway	3/200	0.013678626042992382	0.10942900834393904	0	0	6.400151204233719	27.468942123223947	TXNIP;S100A4;CTSD
MSigDB_Hallmark_2020	KRAS Signaling Up	3/200	0.013678626042992382	0.10942900834393904	0	0	6.400151204233719	27.468942123223947	ID2;ITGB2;IL2RG
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	2/87	0.020017318109897504	0.12010390865938506	0	0	9.737745098039216	38.08585452607372	CCR1;IL2RG
MSigDB_Hallmark_2020	Angiogenesis	1/36	0.08624372197430759	0.2379772113617475	0	0	11.612244897959185	28.456712045041094	S100A4
MSigDB_Hallmark_2020	Hypoxia	2/200	0.08924145426065531	0.2379772113617475	0	0	4.156565656565657	10.043965211617904	ANXA2;S100A4
MSigDB_Hallmark_2020	Oxidative Phosphorylation	2/200	0.08924145426065531	0.2379772113617475	0	0	4.156565656565657	10.043965211617904	NDUFC2;UQCR11
MSigDB_Hallmark_2020	Adipogenesis	2/200	0.08924145426065531	0.2379772113617475	0	0	4.156565656565657	10.043965211617904	UCP2;UQCR11
MSigDB_Hallmark_2020	Complement	2/200	0.08924145426065531	0.2379772113617475	0	0	4.156565656565657	10.043965211617904	GZMB;CTSD
MSigDB_Hallmark_2020	Apical Surface	1/44	0.10439524246477773	0.2505485819154665	0	0	9.448030374940672	21.34849709415977	IL2RG
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	0.1265883240687765	0.2761927070591487	0	0	7.6615325375433185	15.834970375184444	ID2
MSigDB_Hallmark_2020	Interferon Alpha Response	1/97	0.2160330472811356	0.3953681557510544	0	0	4.220663265306122	6.467423137579269	TXNIP
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	0.23165366154685366	0.3953681557510544	0	0	3.8944270015698583	5.6956456810845415	IL2RG
MSigDB_Hallmark_2020	UV Response Dn	1/144	0.3035410668561185	0.3953681557510544	0	0	2.8267446838875414	3.3701534651174567	ANXA2
MSigDB_Hallmark_2020	Apoptosis	1/161	0.33277361941321715	0.3953681557510544	0	0	2.524234693877551	2.7773973646136283	TXNIP
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ID2
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ID2
MSigDB_Hallmark_2020	heme Metabolism	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	UCP2
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ID2
MSigDB_Hallmark_2020	Interferon Gamma Response	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	TXNIP
MSigDB_Hallmark_2020	mTORC1 Signaling	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ITGB2
MSigDB_Hallmark_2020	Myc Targets V1	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	RPS10
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ID2
MSigDB_Hallmark_2020	Inflammatory Response	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	CXCR6
