Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	11/482	2.2734952273645362e-08	9.0155716539401e-06	0	0	11.664706843050793	205.29140242474847	CCL3L1;DUSP1;IFNGR1;CCL5;CCL3;CXCR4;RORA;FYN;FOS;PIK3R1;SLA2
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	12/621	2.980354265765323e-08	9.0155716539401e-06	0	0	10.029038112522686	173.7895766503579	ISG20;CCL3L1;IFNGR1;CCL5;CCL3;RORA;FYN;FOS;PIK3R1;HLA-F;SLA2;LMNB1
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	5/121	1.2711496424379855e-05	0.002298921043392257	0	0	18.99808429118774	214.16547533782855	CCL3L1;IFNGR1;CCL5;CCL3;HLA-F
GO_Biological_Process_2021	cellular response to chemokine (GO:1990869)	4/60	1.5199477972841363e-05	0.002298921043392257	0	0	30.89130434782609	342.71583703038743	CCL3L1;DUSP1;CCL5;CCL3
GO_Biological_Process_2021	inflammatory response (GO:0006954)	6/230	2.2560286923808732e-05	0.002729794717780857	0	0	12.008522727272727	128.48302033929846	CCL3L1;PTGER2;CCL5;CCL3;CXCR4;FOS
GO_Biological_Process_2021	positive regulation of natural killer cell chemotaxis (GO:2000503)	2/5	6.09567865299597e-05	0.0054539730004959895	0	0	277.0416666666667	2688.78505476905	CCL5;CCL3
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	4/86	6.310381984044947e-05	0.0054539730004959895	0	0	21.068928950159066	203.7519075477106	CCL5;FYN;FOS;HLA-F
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	5/179	8.302771912954982e-05	0.006278971259172205	0	0	12.628352490421454	118.66024363795387	CLEC2B;CD8A;KLRF1;HLA-F;SLA2
GO_Biological_Process_2021	regulation of natural killer cell chemotaxis (GO:2000501)	2/7	0.00012760097078443218	0.007484704724503626	0	0	166.20833333333334	1490.3240703269435	CCL5;CCL3
GO_Biological_Process_2021	negative regulation of intracellular signal transduction (GO:1902532)	5/198	0.0001334135398804602	0.007484704724503626	0	0	11.374208405296487	101.48133494028835	TLE1;PIK3IP1;DUSP1;RORA;SLA2
GO_Biological_Process_2021	lymphocyte migration (GO:0072676)	3/40	0.00013608554044552048	0.007484704724503626	0	0	34.35250143760782	305.8137622456798	CCL3L1;CCL5;CCL3
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	3/42	0.00015756854407171077	0.007944080763615417	0	0	32.58756137479542	285.32528155294955	CCL3L1;CCL5;CCL3
GO_Biological_Process_2021	lymphocyte chemotaxis (GO:0048247)	3/44	0.0001811421903351466	0.008430078857904899	0	0	30.994810586403734	267.0583626754283	CCL3L1;CCL5;CCL3
GO_Biological_Process_2021	positive regulation of neuron death (GO:1901216)	3/47	0.00022061092484915678	0.009533543538124276	0	0	28.87717601547389	243.12011931420918	CCL3;FYN;FOS
GO_Biological_Process_2021	response to sterol (GO:0036314)	2/11	0.000332063883264561	0.013393243291670628	0	0	92.31944444444444	739.4956618223716	CCL3;RORA
GO_Biological_Process_2021	chemokine-mediated signaling pathway (GO:0070098)	3/56	0.0003712232496723555	0.014036879128235943	0	0	23.96266559614613	189.27407269048402	CCL3L1;CCL5;CCL3
GO_Biological_Process_2021	macrophage chemotaxis (GO:0048246)	2/12	0.0003978405023918532	0.014158441408651244	0	0	83.08333333333333	650.4975835514634	CCL5;CCL3
GO_Biological_Process_2021	lymphocyte mediated immunity (GO:0002449)	2/13	0.00046942457388711873	0.014947466694826675	0	0	75.52651515151516	578.8354329773197	CD8A;SLA2
GO_Biological_Process_2021	negative regulation by host of viral transcription (GO:0043922)	2/13	0.00046942457388711873	0.014947466694826675	0	0	75.52651515151516	578.8354329773197	CCL5;CCL3
GO_Biological_Process_2021	positive regulation of hydrolase activity (GO:0051345)	4/149	0.0005220612351235411	0.015792352362487116	0	0	11.877061469265367	89.76357233019594	CCL3L1;RGS1;CCL5;CCL3
GO_Biological_Process_2021	vascular endothelial growth factor receptor signaling pathway (GO:0048010)	3/67	0.0006292667740133991	0.016105082757260195	0	0	19.83311170212766	146.18897916479884	SH2D2A;FYN;PIK3R1
