Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	7/200	6.247575458382648e-07	1.7493211283471415e-05	0	0	16.664537896132064	238.06795841122283	DUSP2;DUSP1;CCL5;CD69;FOS;LITAF;PNRC1
MSigDB_Hallmark_2020	Hypoxia	6/200	1.0219798089852524e-05	0.00014307717325793534	0	0	13.88659793814433	159.57344828850043	ISG20;DUSP1;CXCR4;RORA;FOS;PNRC1
MSigDB_Hallmark_2020	Complement	5/200	0.00013983651341395648	0.0009788555938976956	0	0	11.256410256410255	99.9010527744165	GZMK;SPOCK2;CCL5;GZMB;FYN
MSigDB_Hallmark_2020	Inflammatory Response	5/200	0.00013983651341395648	0.0009788555938976956	0	0	11.256410256410255	99.9010527744165	RGS1;PTGER2;CCL5;CD69;CXCR6
MSigDB_Hallmark_2020	UV Response Up	4/158	0.0006508160707344692	0.0036445699961130274	0	0	11.17786561264822	82.01516880317187	DNAJB1;ABCB1;FOS;HLA-F
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	4/199	0.0015314796223635165	0.006239522493456571	0	0	8.809364548494983	57.09808076671625	ABCB1;IFNGR1;PTGER2;RORA
MSigDB_Hallmark_2020	Allograft Rejection	4/200	0.0015598806233641427	0.006239522493456571	0	0	8.763975155279503	56.64285082988862	IFNGR1;CD8A;CCL5;GZMB
MSigDB_Hallmark_2020	Apoptosis	3/161	0.007608098362526995	0.026628344268844487	0	0	7.9956908160517095	39.00731366496807	ISG20;IFNGR1;CD69
MSigDB_Hallmark_2020	Estrogen Response Late	3/200	0.013678626042992382	0.03830015292037866	0	0	6.400151204233719	27.468942123223947	ISG20;DUSP2;FOS
MSigDB_Hallmark_2020	Interferon Gamma Response	3/200	0.013678626042992382	0.03830015292037866	0	0	6.400151204233719	27.468942123223947	ISG20;CCL5;CD69
MSigDB_Hallmark_2020	UV Response Dn	2/144	0.05037319219466424	0.12822267104096352	0	0	5.812206572769952	17.368594502988177	DUSP1;FYN
MSigDB_Hallmark_2020	Hedgehog Signaling	1/36	0.08624372197430759	0.1561725449561468	0	0	11.612244897959185	28.456712045041094	TLE1
MSigDB_Hallmark_2020	Estrogen Response Early	2/200	0.08924145426065531	0.1561725449561468	0	0	4.156565656565657	10.043965211617904	FOS;MYBL1
MSigDB_Hallmark_2020	mTORC1 Signaling	2/200	0.08924145426065531	0.1561725449561468	0	0	4.156565656565657	10.043965211617904	CXCR4;SYTL2
MSigDB_Hallmark_2020	Glycolysis	2/200	0.08924145426065531	0.1561725449561468	0	0	4.156565656565657	10.043965211617904	ISG20;CXCR4
MSigDB_Hallmark_2020	KRAS Signaling Up	2/200	0.08924145426065531	0.1561725449561468	0	0	4.156565656565657	10.043965211617904	ABCB1;CXCR4
MSigDB_Hallmark_2020	Myc Targets V2	1/58	0.13531385173981347	0.22286987345381046	0	0	7.1224489795918355	14.246025949065045	DUSP2
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	0.16936969182663447	0.2634639650636536	0	0	5.556891249650545	9.867213018330613	PNRC1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1/87	0.19606909758966404	0.2889439332900312	0	0	4.713811105837683	7.6801565438185	IFNGR1
MSigDB_Hallmark_2020	Interferon Alpha Response	1/97	0.2160330472811356	0.2948319328778137	0	0	4.220663265306122	6.467423137579269	ISG20
MSigDB_Hallmark_2020	Pperoxisome	1/104	0.22971789307458146	0.2948319328778137	0	0	3.932435109966317	5.78423168094792	ABCB1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	0.23165366154685366	0.2948319328778137	0	0	3.8944270015698583	5.6956456810845415	CXCR4
MSigDB_Hallmark_2020	Coagulation	1/138	0.29292695661244944	0.3566067297890689	0	0	2.9514375093102934	3.6238694077781934	FYN
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	0.3938375225272607	0.3953681557510544	0	0	2.03586889301175	1.897056906545971	LMNB1
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	LMNB1
MSigDB_Hallmark_2020	Adipogenesis	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	IFNGR1
MSigDB_Hallmark_2020	E2F Targets	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	LMNB1
MSigDB_Hallmark_2020	p53 Pathway	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	FOS
