Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	9/179	2.84773033478328e-07	0.0002540175458626686	0	0	11.478345184227535	172.99672135444274	NCR3;JAML;CD160;ITGB2;KLRF1;SLAMF7;PILRB;CD3E;CD3D
GO_Biological_Process_2021	inflammatory response (GO:0006954)	7/230	0.00015693434792474938	0.0408571867374074	0	0	6.6415449153768265	58.177828129849395	CCR1;NCR3;GPR68;PTGER2;ITGB2;TNFRSF1A;KLRG1
GO_Biological_Process_2021	His-Purkinje system development (GO:0003164)	2/5	0.0002450871709985121	0.0408571867374074	0	0	135.35374149659864	1125.3170126751406	ID2;HOPX
GO_Biological_Process_2021	positive thymic T cell selection (GO:0045059)	2/5	0.0002450871709985121	0.0408571867374074	0	0	135.35374149659864	1125.3170126751406	CD3E;CD3D
GO_Biological_Process_2021	positive regulation of T cell proliferation (GO:0042102)	4/66	0.00033432311010974254	0.0408571867374074	0	0	13.331989247311828	106.70127789939	TMIGD2;CD6;IL23R;CD3E
GO_Biological_Process_2021	activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	2/6	0.0003664321680484968	0.0408571867374074	0	0	101.51020408163264	803.1179907171843	PILRB;ADRB2
GO_Biological_Process_2021	cellular heat acclimation (GO:0070370)	2/6	0.0003664321680484968	0.0408571867374074	0	0	101.51020408163264	803.1179907171843	HSPA6;HSPA1B
GO_Biological_Process_2021	heat acclimation (GO:0010286)	2/6	0.0003664321680484968	0.0408571867374074	0	0	101.51020408163264	803.1179907171843	HSPA6;HSPA1B
GO_Biological_Process_2021	regulation of cellular component size (GO:0032535)	3/31	0.0004924436798304107	0.048594366826825434	0	0	21.949926362297496	167.17350275311443	SLC9A3R1;PEX11B;PPP1CA
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	4/75	0.0005447798971617201	0.048594366826825434	0	0	11.636737089201878	87.45157691173141	SASH3;CD6;IL23R;CD3E
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	9/481	0.0006857695785495374	0.04894385099793887	0	0	4.070869808157944	29.65615985877861	CD63;GSN;ANXA2;HSPA6;ITGB2;TBC1D10C;PTPN6;HSPA1B;FTL
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	9/485	0.0007272847877537214	0.04894385099793887	0	0	4.0358297165019845	29.163682134358172	CD63;GSN;ANXA2;HSPA6;ITGB2;TBC1D10C;PTPN6;HSPA1B;FTL
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	9/488	0.0007597519923239754	0.04894385099793887	0	0	4.0099336988689815	28.80142299125505	CD63;GSN;ANXA2;HSPA6;ITGB2;TBC1D10C;PTPN6;HSPA1B;FTL
GO_Biological_Process_2021	positive regulation of myeloid leukocyte differentiation (GO:0002763)	3/36	0.0007681770335999374	0.04894385099793887	0	0	18.619493908153704	133.5295206771706	CCR1;IL23R;ID2
GO_Biological_Process_2021	positive regulation of cytosolic calcium ion concentration (GO:0007204)	5/147	0.0008613420107155742	0.049504274516016585	0	0	7.323202372127501	51.67997760297007	CCR1;CX3CR1;CD52;PTGER2;CXCR6
GO_Biological_Process_2021	regulation of cytosolic calcium ion concentration (GO:0051480)	5/148	0.0008879690496146473	0.049504274516016585	0	0	7.271623113728378	51.094595506302774	CCR1;CX3CR1;CD52;PTGER2;CXCR6
GO_Biological_Process_2021	second-messenger-mediated signaling (GO:0019932)	4/89	0.0010375176629096909	0.05443916207737908	0	0	9.713235294117649	66.73890423440268	CX3CR1;CCR1;P2RY11;CXCR6
GO_Biological_Process_2021	positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	3/43	0.0012945471308939182	0.06415200226429861	0	0	15.355670103092784	102.10897717127874	NCR3;CD160;IL23R
GO_Biological_Process_2021	calcium-mediated signaling (GO:0019722)	4/102	0.001718651392180299	0.0806861600960435	0	0	8.41921768707483	53.598553042979724	CCR1;CX3CR1;P2RY11;CXCR6
GO_Biological_Process_2021	renal absorption (GO:0070293)	2/14	0.0021657651600423137	0.0965931261378872	0	0	33.82312925170068	207.5042741698455	SLC9A3R1;GSN
