Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	8/199	7.100355310501942e-06	0.000248512435867568	0	0	8.972911450034145	106.37714691594884	IFITM3;CCND3;CISH;GLIPR2;PTGER2;FLT3LG;HOPX;RHOB
MSigDB_Hallmark_2020	Allograft Rejection	6/200	0.0005070298275322483	0.008873021981814345	0	0	6.483658697082694	49.191134213816134	CCR1;CCND3;ITGB2;PTPN6;CD3E;CD3D
MSigDB_Hallmark_2020	Apoptosis	4/161	0.008722895825880187	0.1017671179686022	0	0	5.239649681528663	24.845391850260786	IFITM3;GSN;TXNIP;RHOB
MSigDB_Hallmark_2020	Estrogen Response Late	4/200	0.0180733221304631	0.12651325491324172	0	0	4.188775510204081	16.81088959163861	SLC9A3R1;CISH;ID2;PTPN6
MSigDB_Hallmark_2020	Interferon Gamma Response	4/200	0.0180733221304631	0.12651325491324172	0	0	4.188775510204081	16.81088959163861	IFITM3;SLAMF7;TXNIP;PTPN6
MSigDB_Hallmark_2020	TGF-beta Signaling	2/54	0.029925836282038012	0.17456737831188834	0	0	7.789638932496076	27.33410071093129	ID2;PPP1CA
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	2/87	0.07042427630090098	0.2476942300132512	0	0	4.75750300120048	12.622688988987855	CCR1;TNFRSF1A
MSigDB_Hallmark_2020	Adipogenesis	3/200	0.0789086435328542	0.2476942300132512	0	0	3.0932544874143075	7.855209980826793	CD151;UCP2;UQCR11
MSigDB_Hallmark_2020	mTORC1 Signaling	3/200	0.0789086435328542	0.2476942300132512	0	0	3.0932544874143075	7.855209980826793	SLC9A3R1;FADS2;ITGB2
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	3/200	0.0789086435328542	0.2476942300132512	0	0	3.0932544874143075	7.855209980826793	ID2;MATN2;RHOB
MSigDB_Hallmark_2020	p53 Pathway	3/200	0.0789086435328542	0.2476942300132512	0	0	3.0932544874143075	7.855209980826793	CCND3;TXNIP;S100A4
MSigDB_Hallmark_2020	Interferon Alpha Response	2/97	0.08492373600454327	0.2476942300132512	0	0	4.254564983888292	10.49176426482804	IFITM3;TXNIP
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	2/105	0.09711249980836767	0.2614567302532976	0	0	3.9225282345948087	9.146885461046203	PPP1CA;TNFRSF1A
MSigDB_Hallmark_2020	Angiogenesis	1/36	0.16523874056701404	0.3699182466609088	0	0	5.733044733044733	10.321566994169176	S100A4
MSigDB_Hallmark_2020	UV Response Up	2/158	0.18711815886392236	0.3699182466609088	0	0	2.5829408686551543	4.329047629874819	CCND3;RHOB
MSigDB_Hallmark_2020	Apical Surface	1/44	0.19811441496549975	0.3699182466609088	0	0	4.664552501761803	7.551493311263548	CD160
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	1/49	0.21800735103248006	0.3699182466609088	0	0	4.177609427609427	6.3634453718666375	FTL
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	ID2;RHOB
MSigDB_Hallmark_2020	Hypoxia	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	ANXA2;S100A4
MSigDB_Hallmark_2020	Estrogen Response Early	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	SLC9A3R1;CISH
MSigDB_Hallmark_2020	Inflammatory Response	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	PTGER2;CXCR6
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	ID2;TNFRSF1A
MSigDB_Hallmark_2020	Oxidative Phosphorylation	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	NDUFB2;UQCR11
MSigDB_Hallmark_2020	heme Metabolism	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	CCND3;UCP2
MSigDB_Hallmark_2020	KRAS Signaling Up	2/200	0.2642273190435063	0.3699182466609088	0	0	2.0307153164296023	2.702771390555414	ID2;ITGB2
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	0.31037523789289684	0.4178128202404381	0	0	2.7434620174346205	3.209777224050686	FADS2
MSigDB_Hallmark_2020	Protein Secretion	1/96	0.38267056588073545	0.4912733466303211	0	0	2.1057947900053158	2.0227860466278917	CD63
MSigDB_Hallmark_2020	Androgen Response	1/100	0.394984420817951	0.4912733466303211	0	0	2.020304050607081	1.8766785261005492	CCND3
MSigDB_Hallmark_2020	Pperoxisome	1/104	0.4070550586365517	0.4912733466303211	0	0	1.9414533686378344	1.7449915352070269	PEX11B
MSigDB_Hallmark_2020	Bile Acid Metabolism	1/112	0.43048561638067023	0.5022332191107821	0	0	1.8008008008008007	1.517789408820894	FADS2
MSigDB_Hallmark_2020	Coagulation	1/138	0.5004839181972011	0.5637041763799063	0	0	1.45712600457126	1.0085932042209516	GSN
MSigDB_Hallmark_2020	UV Response Dn	1/144	0.515386675547343	0.5637041763799063	0	0	1.3955640319276683	0.9250326397711036	ANXA2
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	0.6330305302852147	0.6348838112697764	0	0	1.0051015202530351	0.4595692288153314	GSN
