Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	14/482	7.700148001343924e-09	6.768430093181309e-06	0	0	8.684589871157035	162.24573626752908	CCL3L1;DUSP1;IFNGR1;IL23R;CXCR4;RORA;FOS;PIK3R1;SLA2;SOCS3;SOCS1;CCL5;CCL3;FYN
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	15/621	2.4854667627001418e-08	1.0923626422067123e-05	0	0	7.243099309930992	126.82826435415588	CCL3L1;IFNGR1;IL23R;RORA;FOS;PIK3R1;HLA-F;SLA2;LMNB1;ISG20;SOCS3;SOCS1;CCL5;CCL3;FYN
GO_Biological_Process_2021	negative regulation of inclusion body assembly (GO:0090084)	3/10	7.523623740787256e-06	0.0022044217560506663	0	0	109.4065934065934	1290.7201999957067	DNAJB1;SORL1;HSPA1B
GO_Biological_Process_2021	regulation of response to interferon-gamma (GO:0060330)	3/14	2.255638814034688e-05	0.0037948750614296986	0	0	69.60839160839161	744.7744461531398	SOCS3;SOCS1;IFNGR1
GO_Biological_Process_2021	phosphatidylinositol phosphate biosynthetic process (GO:0046854)	4/42	2.48538986546133e-05	0.0037948750614296986	0	0	27.178400546821603	288.1588811875	SOCS3;SOCS1;PIK3R1;SLA2
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	5/86	2.590358403706279e-05	0.0037948750614296986	0	0	16.1127355425601	170.1686821369221	CCL5;FYN;FOS;HLA-F;SORL1
GO_Biological_Process_2021	cellular response to chemokine (GO:1990869)	4/60	0.0001024542550359884	0.011745394117211556	0	0	18.42578849721707	169.26102794803424	CCL3L1;DUSP1;CCL5;CCL3
GO_Biological_Process_2021	regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	3/23	0.00010689778491205056	0.011745394117211556	0	0	38.26730769230769	349.9023881573315	SOCS3;SOCS1;IFNGR1
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	5/121	0.00013239787762516273	0.01222960217320087	0	0	11.231284029038113	100.29198514073114	CCL3L1;IFNGR1;CCL5;CCL3;HLA-F
GO_Biological_Process_2021	negative regulation of intracellular signal transduction (GO:1902532)	6/198	0.00015287424163252307	0.01222960217320087	0	0	8.219583333333333	72.21639549125419	TLE1;PIK3IP1;DUSP1;RORA;PPP2R5C;SLA2
GO_Biological_Process_2021	positive regulation of natural killer cell chemotaxis (GO:2000503)	2/5	0.00016072595624248964	0.01222960217320087	0	0	168.06751054852322	1468.2058020807294	CCL5;CCL3
GO_Biological_Process_2021	regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	4/68	0.00016695702625530196	0.01222960217320087	0	0	16.116071428571427	140.17394876952312	SOCS3;SOCS1;IL23R;CCL5
GO_Biological_Process_2021	response to interferon-gamma (GO:0034341)	4/80	0.00031252910170136757	0.017718473922115646	0	0	13.563226247436775	109.46626228138159	CCL3L1;IL23R;CCL5;CCL3
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	7/322	0.0003295729902250729	0.017718473922115646	0	0	5.887087087087088	47.2009729654845	ERN1;RBL2;CD28;CCL3;GZMB;HSPA1B;HAVCR2
GO_Biological_Process_2021	regulation of natural killer cell chemotaxis (GO:2000501)	2/7	0.0003357527966657926	0.017718473922115646	0	0	100.83037974683545	806.5558593213212	CCL5;CCL3
GO_Biological_Process_2021	positive regulation of activation of Janus kinase activity (GO:0010536)	2/7	0.0003357527966657926	0.017718473922115646	0	0	100.83037974683545	806.5558593213212	CCL5;IL23R
GO_Biological_Process_2021	inflammatory response (GO:0006954)	6/230	0.0003426781077087213	0.017718473922115646	0	0	7.033928571428572	56.12173962837572	CCL3L1;PTGER2;CCL5;CCL3;CXCR4;FOS
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	7/335	0.0004179792037761896	0.020411317784403932	0	0	5.650008239947264	43.957509770449285	IL23R;CD28;RORA;TIGIT;SORL1;HSPA1B;HAVCR2
GO_Biological_Process_2021	regulation of activation of Janus kinase activity (GO:0010533)	2/8	0.00044649407260485916	0.020656225779982697	0	0	84.0210970464135	648.145836767381	CCL5;IL23R
GO_Biological_Process_2021	lymphocyte migration (GO:0072676)	3/40	0.0005675162160009338	0.024090088928733638	0	0	20.667359667359673	154.47283183538534	CCL3L1;CCL5;CCL3
GO_Biological_Process_2021	negative regulation of cell death (GO:0060548)	4/94	0.000577314714409462	0.024090088928733638	0	0	11.445310245310244	85.34908636283579	FYN;HLA-F;SORL1;HSPA1B
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	3/42	0.0006555926542403075	0.024090088928733638	0	0	19.605522682445763	143.70791105126455	CCL3L1;CCL5;CCL3
GO_Biological_Process_2021	regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	2/10	0.0007138146207120215	0.024090088928733638	0	0	63.009493670886066	456.49667821943734	ERN1;PIK3R1
GO_Biological_Process_2021	negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	2/10	0.0007138146207120215	0.024090088928733638	0	0	63.009493670886066	456.49667821943734	SOCS3;SOCS1
GO_Biological_Process_2021	lymphocyte chemotaxis (GO:0048247)	3/44	0.0007519397062518183	0.024090088928733638	0	0	18.647279549718572	134.12716703852635	CCL3L1;CCL5;CCL3
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	5/179	0.0008031744714604527	0.024090088928733638	0	0	7.465592861464004	53.206821884532054	CLEC2B;CD8A;KLRF1;HLA-F;SLA2
GO_Biological_Process_2021	regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	3/45	0.0008033085131570622	0.024090088928733638	0	0	18.202380952380953	129.72421375548987	SOCS3;SOCS1;CCL5
