Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	9/200	1.1702273352102266e-07	3.7447274726727233e-06	0	0	12.910994764397905	206.0710655736609	SOCS3;DUSP2;GADD45B;DUSP1;CCL5;CD69;FOS;LITAF;PNRC1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	6/199	0.00015712282601804524	0.0012917152303873027	0	0	8.176580310880826	71.61443742002477	ABCB1;SOCS1;GADD45B;IFNGR1;PTGER2;RORA
MSigDB_Hallmark_2020	Hypoxia	6/200	0.00016146440379841284	0.0012917152303873027	0	0	8.1340206185567	71.01997108520867	ISG20;DUSP1;CXCR4;RORA;FOS;PNRC1
MSigDB_Hallmark_2020	Allograft Rejection	6/200	0.00016146440379841284	0.0012917152303873027	0	0	8.1340206185567	71.01997108520867	SOCS1;IFNGR1;CD8A;CCL5;CD28;GZMB
MSigDB_Hallmark_2020	Interferon Gamma Response	5/200	0.0013171792082121306	0.006021390666112598	0	0	6.654520917678813	44.134531483728935	ISG20;SOCS3;SOCS1;CCL5;CD69
MSigDB_Hallmark_2020	Complement	5/200	0.0013171792082121306	0.006021390666112598	0	0	6.654520917678813	44.134531483728935	GZMK;SPOCK2;CCL5;GZMB;FYN
MSigDB_Hallmark_2020	Inflammatory Response	5/200	0.0013171792082121306	0.006021390666112598	0	0	6.654520917678813	44.134531483728935	RGS1;PTGER2;CCL5;CD69;CXCR6
MSigDB_Hallmark_2020	UV Response Up	4/158	0.0038923727138918352	0.014796158379919709	0	0	6.667228875021082	36.99469524686669	DNAJB1;ABCB1;FOS;HLA-F
MSigDB_Hallmark_2020	Apoptosis	4/161	0.004161419544352419	0.014796158379919709	0	0	6.5388369592191244	35.845243959836985	ISG20;GADD45B;IFNGR1;CD69
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	3/87	0.005312376382750823	0.01699960442480264	0	0	9.081959706959706	47.56872579684069	SOCS3;SOCS1;IFNGR1
MSigDB_Hallmark_2020	G2-M Checkpoint	3/200	0.04764406480846707	0.1270508394892455	0	0	3.850449043342445	11.720756163276286	SLC38A1;CDKN2C;LMNB1
MSigDB_Hallmark_2020	Estrogen Response Late	3/200	0.04764406480846707	0.1270508394892455	0	0	3.850449043342445	11.720756163276286	ISG20;DUSP2;FOS
MSigDB_Hallmark_2020	UV Response Dn	2/144	0.1156260617663814	0.28263292180422045	0	0	3.5259404528436433	7.606842425952783	DUSP1;FYN
MSigDB_Hallmark_2020	Hedgehog Signaling	1/36	0.13603573228604424	0.28263292180422045	0	0	7.1014285714285705	14.166197369671778	TLE1
MSigDB_Hallmark_2020	Adipogenesis	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	CDKN2C;IFNGR1
MSigDB_Hallmark_2020	Estrogen Response Early	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	FOS;MYBL1
MSigDB_Hallmark_2020	mTORC1 Signaling	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	CXCR4;SYTL2
MSigDB_Hallmark_2020	E2F Targets	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	CDKN2C;LMNB1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	GLIPR1;GADD45B
MSigDB_Hallmark_2020	Glycolysis	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	ISG20;CXCR4
MSigDB_Hallmark_2020	p53 Pathway	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	SOCS1;FOS
MSigDB_Hallmark_2020	KRAS Signaling Up	2/200	0.19431013374040154	0.28263292180422045	0	0	2.5215445595192434	4.131045868969444	ABCB1;CXCR4
MSigDB_Hallmark_2020	Myc Targets V2	1/58	0.20999274342358087	0.29216381693715604	0	0	4.355701754385965	6.7978666495175535	DUSP2
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	0.2598174367623267	0.3464232490164356	0	0	3.3982876712328767	4.580130771337809	PNRC1
MSigDB_Hallmark_2020	Interferon Alpha Response	1/97	0.3260481554386206	0.41207029656419797	0	0	2.5811197916666666	2.8926872584681216	ISG20
MSigDB_Hallmark_2020	Pperoxisome	1/104	0.3450177731416979	0.41207029656419797	0	0	2.404854368932039	2.5591482546923348	ABCB1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	0.3476843127260421	0.41207029656419797	0	0	2.3816105769230766	2.5160771633171324	CXCR4
MSigDB_Hallmark_2020	Unfolded Protein Response	1/113	0.3686341766750776	0.4212962019143745	0	0	2.210602678571429	2.206072087773048	ERN1
MSigDB_Hallmark_2020	Coagulation	1/138	0.4299120504312469	0.4743857108206863	0	0	1.80492700729927	1.5236735797111651	FYN
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	0.5558607865417514	0.5576776229377498	0	0	1.2450126262626262	0.7311179776143266	LMNB1
MSigDB_Hallmark_2020	Myogenesis	1/200	0.5576776229377498	0.5576776229377498	0	0	1.2386934673366834	0.7233650516865618	GADD45B
MSigDB_Hallmark_2020	heme Metabolism	1/200	0.5576776229377498	0.5576776229377498	0	0	1.2386934673366834	0.7233650516865618	YPEL5
