Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Allograft Rejection	6/200	1.0219798089852524e-05	0.0002554949522463131	0	0	13.88659793814433	159.57344828850043	CCR1;ITGB2;GZMB;IL2RG;CD3E;CD3D
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	3/87	0.001344333954493143	0.01299900519470119	0	0	15.095744680851064	99.81089894453258	CCR1;JUN;IL2RG
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	4/200	0.0015598806233641427	0.01299900519470119	0	0	8.763975155279503	56.64285082988862	JUN;ID2;KLF2;RHOB
MSigDB_Hallmark_2020	Apoptosis	3/161	0.007608098362526995	0.047550614765793725	0	0	7.9956908160517095	39.00731366496807	JUN;TXNIP;RHOB
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	3/200	0.013678626042992382	0.04885223586782994	0	0	6.400151204233719	27.468942123223947	JUN;ID2;RHOB
MSigDB_Hallmark_2020	p53 Pathway	3/200	0.013678626042992382	0.04885223586782994	0	0	6.400151204233719	27.468942123223947	JUN;TXNIP;S100A4
MSigDB_Hallmark_2020	KRAS Signaling Up	3/200	0.013678626042992382	0.04885223586782994	0	0	6.400151204233719	27.468942123223947	ID2;ITGB2;IL2RG
MSigDB_Hallmark_2020	Angiogenesis	1/36	0.08624372197430759	0.20282148695603486	0	0	11.612244897959185	28.456712045041094	S100A4
MSigDB_Hallmark_2020	Hypoxia	2/200	0.08924145426065531	0.20282148695603486	0	0	4.156565656565657	10.043965211617904	JUN;S100A4
MSigDB_Hallmark_2020	Adipogenesis	2/200	0.08924145426065531	0.20282148695603486	0	0	4.156565656565657	10.043965211617904	CD151;UQCR11
MSigDB_Hallmark_2020	Complement	2/200	0.08924145426065531	0.20282148695603486	0	0	4.156565656565657	10.043965211617904	GZMB;HSPA1A
MSigDB_Hallmark_2020	Apical Surface	1/44	0.10439524246477773	0.21749008846828696	0	0	9.448030374940672	21.34849709415977	IL2RG
MSigDB_Hallmark_2020	TGF-beta Signaling	1/54	0.1265883240687765	0.2434390847476471	0	0	7.6615325375433185	15.834970375184444	ID2
MSigDB_Hallmark_2020	Interferon Alpha Response	1/97	0.2160330472811356	0.3857732987163136	0	0	4.220663265306122	6.467423137579269	TXNIP
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	1/105	0.23165366154685366	0.3860894359114228	0	0	3.8944270015698583	5.6956456810845415	IL2RG
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	0.3277037968552589	0.3953681557510544	0	0	2.572858442740153	2.8703970097526006	XIST
MSigDB_Hallmark_2020	UV Response Up	1/158	0.3277037968552589	0.3953681557510544	0	0	2.572858442740153	2.8703970097526006	RHOB
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1/199	0.3938375225272607	0.3953681557510544	0	0	2.03586889301175	1.897056906545971	RHOB
MSigDB_Hallmark_2020	Estrogen Response Late	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ID2
MSigDB_Hallmark_2020	Interferon Gamma Response	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	TXNIP
MSigDB_Hallmark_2020	mTORC1 Signaling	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ITGB2
MSigDB_Hallmark_2020	Inflammatory Response	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	CXCR6
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	ID2
MSigDB_Hallmark_2020	Oxidative Phosphorylation	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	UQCR11
MSigDB_Hallmark_2020	Glycolysis	1/200	0.3953681557510544	0.3953681557510544	0	0	2.0255358424776952	1.8795714928238212	CHST12
