Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	14/87	4.460263185688076e-12	9.219364004817252e-09	0	0	15.787012093769702	412.6064013010891	KLF2;RBX1;DNAJB1;PSMB7;PSMA4;PSMD4;PSMA1;PSMB2;PSMA2;BAG3;TP53;ATF3;ATF4;HSPA1A
GO_Biological_Process_2021	response to unfolded protein (GO:0006986)	11/49	2.03558753311645e-11	2.1037797154758506e-08	0	0	23.575358851674643	580.3699689440723	DNAJA1;DNAJB1;HSPH1;BAG3;DNAJB4;HSPA6;SERPINH1;HSPE1;HSPA1B;HSPD1;HSPA1A
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	12/70	7.186421953739271e-11	4.419236305456164e-08	0	0	16.902847331520967	394.7870031948977	NDUFA9;NDUFA13;NDUFB8;NDUFA7;NDUFA11;NDUFB5;NDUFS4;NDUFC2;NDUFB1;UQCR11;UQCRH;COX6B1
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	12/71	8.551981239392674e-11	4.419236305456164e-08	0	0	16.615514452493144	385.1853927863475	NDUFA9;NDUFA13;NDUFB8;NDUFA7;NDUFA11;NDUFB5;NDUFS4;NDUFC2;NDUFB1;UQCR11;UQCRH;COX6B1
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	9/39	1.0949631658100194e-09	4.526577727458619e-07	0	0	24.242213114754094	500.17855572363084	NDUFA9;NDUFA13;NDUFB8;NDUFA7;NDUFA11;NDUFB5;NDUFS4;NDUFB1;NDUFC2
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	10/58	2.689607002316781e-09	7.942025248269694e-07	0	0	16.888717421124827	333.2797667183512	NDUFA9;NDUFA13;NDUFB8;NDUFA7;NDUFA11;DMAC1;NDUFB5;NDUFS4;NDUFC2;NDUFB1
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	10/58	2.689607002316781e-09	7.942025248269694e-07	0	0	16.888717421124827	333.2797667183512	NDUFA9;NDUFA13;NDUFB8;NDUFA7;NDUFA11;DMAC1;NDUFB5;NDUFS4;NDUFC2;NDUFB1
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	31/742	5.5865251808383676e-09	1.443418443599113e-06	0	0	3.738650042447511	71.04522413368058	ARL6IP1;HDAC1;GSTP1;ZFAND6;PHB;IER3IP1;HSPD1;PREX1;PRDX2;BAG3;C1QBP;CTSD;MEF2C;NFKB1;NME1;RHOB;SOD1;NFKBIA;DNAJA1;RSL1D1;TMBIM4;APEX1;CTNNB1;SGK1;TP53;NOP53;HSPA1B;CD44;HSPA1A;ATF4;BIRC3
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	11/90	1.8415008198527624e-08	4.229313549595176e-06	0	0	11.316455696202533	201.54720580512912	NDUFA9;NDUFA13;NDUFB8;NDUFA7;NDUFA11;DMAC1;NDUFB5;NDUFS4;COX17;NDUFC2;NDUFB1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	27/621	2.56810537996254e-08	4.787991067300472e-06	0	0	3.8521721641190663	67.32638646930812	CCL3L1;CEBPD;IL2RG;CXCL3;ICAM1;CDC42;PSMB7;PSMD4;PSMB2;JAGN1;CD70;FOS;COMMD7;NFKB1;RBX1;SOD1;NFKBIA;PSMA4;PSMA1;PSMA2;CAPZA1;CSNK2B;XCL2;LTB;TP53;CD44;BIRC3
GO_Biological_Process_2021	cellular response to tumor necrosis factor (GO:0071356)	15/194	2.731776864983409e-08	4.787991067300472e-06	0	0	6.889817379465753	119.99118875882021	CCL3L1;CD70;ZFAND6;COMMD7;NFKBIA;PSMB7;PSMA4;PSMD4;PSMA1;PSMB2;PSMA2;XCL2;LTB;TP53;BIRC3
