Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	response to unfolded protein (GO:0006986)	6/49	2.033225800059121e-09	1.0898090288316886e-06	0	0	64.60140616549486	1292.9094312650118	DNAJB1;HSPH1;DNAJB4;HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	chaperone cofactor-dependent protein refolding (GO:0051085)	5/26	4.527427466994536e-09	1.2133505611545357e-06	0	0	107.84632034632034	2072.0634258688	DNAJB1;DNAJB4;HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	'de novo' posttranslational protein folding (GO:0051084)	5/31	1.1587816176187401e-08	2.0703564901454813e-06	0	0	87.08479020979021	1591.3275089055176	DNAJB1;DNAJB4;HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	heat acclimation (GO:0010286)	3/6	2.749434601840158e-07	2.947393893172649e-05	0	0	433.6521739130435	6551.0534516581665	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	cellular heat acclimation (GO:0070370)	3/6	2.749434601840158e-07	2.947393893172649e-05	0	0	433.6521739130435	6551.0534516581665	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of inclusion body assembly (GO:0090084)	3/10	1.6383490128377575e-06	0.00014635917848017298	0	0	185.8136645962733	2475.3764762266032	DNAJB1;HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of inclusion body assembly (GO:0090083)	3/11	2.248854262264123e-06	0.00017219798351051	0	0	162.5788043478261	2114.3519319461293	DNAJB1;HSPA1B;HSPA1A
GO_Biological_Process_2021	cellular response to unfolded protein (GO:0034620)	3/27	3.8782172868634117e-05	0.0024854170417408397	0	0	54.14945652173913	550.0258055440286	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of cellular response to heat (GO:1900034)	4/79	4.1732748835200675e-05	0.0024854170417408397	0	0	23.55674074074074	237.55145961174247	DNAJB1;HSPH1;HSPA1B;HSPA1A
GO_Biological_Process_2021	positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)	2/5	5.852435303481676e-05	0.0031369053226661787	0	0	282.95035460992915	2757.6532832341395	HSPA1B;HSPA1A
GO_Biological_Process_2021	cellular response to topologically incorrect protein (GO:0035967)	3/32	6.520004054248621e-05	0.003177020157342964	0	0	44.80209895052474	431.8048907222991	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)	2/6	8.764936747808933e-05	0.0038432135431408702	0	0	212.20212765957447	1982.427536753553	HSPA1B;HSPA1A
GO_Biological_Process_2021	cellular response to heat (GO:0034605)	3/36	9.321226877020767e-05	0.0038432135431408702	0	0	39.36363636363637	365.3193920089891	HSPA6;HSPA1B;HSPA1A
GO_Biological_Process_2021	positive regulation of microtubule nucleation (GO:0090063)	2/7	0.0001225173273092752	0.00469066338841225	0	0	169.75319148936168	1529.0108074408633	HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	4/118	0.0001987290697834916	0.0070140141119071795	0	0	15.467446393762186	131.83783296793578	DNAJB1;HSPH1;HSPA1B;HSPA1A
GO_Biological_Process_2021	positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	2/9	0.00020937355557931885	0.0070140141119071795	0	0	121.24012158054713	1027.0724207395506	HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	2/10	0.0002613077901061752	0.007781165305383883	0	0	106.07978723404257	875.1382563847487	DNAJB1;HSPA1A
GO_Biological_Process_2021	regulation of microtubule nucleation (GO:0010968)	2/10	0.0002613077901061752	0.007781165305383883	0	0	106.07978723404257	875.1382563847487	HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of interleukin-12 production (GO:0032695)	2/14	0.0005251261040087869	0.014814083776247884	0	0	70.70567375886525	533.9602068169509	IL10;TIGIT
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	4/179	0.0009600972545238279	0.023996441994060185	0	0	10.044952380952381	69.79711025730377	CD200R1;CLEC2B;ITGA4;SLA2
GO_Biological_Process_2021	regulation of mitotic spindle assembly (GO:1901673)	2/19	0.0009790903375910178	0.023996441994060185	0	0	49.8973717146433	345.73323246011324	HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of cellular component organization (GO:0051129)	3/80	0.0009944554544714461	0.023996441994060185	0	0	16.832862789384528	116.37088706605712	DNAJB1;HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of interleukin-8 production (GO:0032677)	3/81	0.001030932953164344	0.023996441994060185	0	0	16.616220735785948	114.27458709717837	IL10;HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/20	0.00108617897822587	0.023996441994060185	0	0	47.122931442080386	321.6182135702965	HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	5/322	0.0011192370333050461	0.023996441994060185	0	0	7.038285058789791	47.82590743354802	IL10;GZMB;CPEB3;HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	2/23	0.0014395683109597462	0.028578096839793482	0	0	40.385005065856134	264.2557265415928	HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of signal transduction in absence of ligand (GO:1901099)	2/23	0.0014395683109597462	0.028578096839793482	0	0	40.385005065856134	264.2557265415928	HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of cell death (GO:0060548)	3/94	0.0015839556997365714	0.030321437680671505	0	0	14.233158146201625	91.77298342540544	CD200R1;HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of spindle assembly (GO:0090169)	2/25	0.0017016730877234152	0.03145161293171553	0	0	36.869565217391305	235.0856328071935	HSPA1B;HSPA1A
GO_Biological_Process_2021	histone lysine demethylation (GO:0070076)	2/26	0.001840602226266995	0.03288542644263698	0	0	35.33156028368794	222.50624099408685	KDM5D;UTY
GO_Biological_Process_2021	positive regulation of erythrocyte differentiation (GO:0045648)	2/27	0.0019847485989451497	0.034316943517245166	0	0	33.916595744680855	211.03797957730015	HSPA1B;HSPA1A
GO_Biological_Process_2021	positive regulation of microtubule polymerization (GO:0031116)	2/28	0.0021340868671451143	0.034662744266357	0	0	32.61047463175123	200.5451713289671	HSPA1B;HSPA1A
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	2/28	0.0021340868671451143	0.034662744266357	0	0	32.61047463175123	200.5451713289671	HSPA1B;HSPA1A
GO_Biological_Process_2021	heterotypic cell-cell adhesion (GO:0034113)	2/30	0.0024482381777960827	0.03785320343104002	0	0	30.27811550151976	182.0437366477304	CD200R1;ITGA4
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	6/566	0.002489870813225804	0.03785320343104002	0	0	4.831644518272426	28.968242853109345	IL10;CDKN2C;DUSP1;MYBL1;HSPA1B;HSPA1A
GO_Biological_Process_2021	negative regulation of interleukin-6 production (GO:0032715)	2/31	0.002613000983112837	0.03785320343104002	0	0	29.23257520176082	173.8536058145681	IL10;CD200R1
GO_Biological_Process_2021	positive regulation of RNA splicing (GO:0033120)	2/31	0.002613000983112837	0.03785320343104002	0	0	29.23257520176082	173.8536058145681	PIK3R1;HSPA1A
GO_Biological_Process_2021	regulation of mitotic spindle organization (GO:0060236)	2/35	0.003322717867486961	0.04516566533656688	0	0	25.684074790457768	146.57830071342153	HSPA1B;HSPA1A
GO_Biological_Process_2021	positive regulation of cytokine-mediated signaling pathway (GO:0001961)	2/36	0.0035126896593218387	0.04516566533656688	0	0	24.92740926157697	140.8740938987485	HSPA1B;HSPA1A
GO_Biological_Process_2021	endoderm formation (GO:0001706)	2/36	0.0035126896593218387	0.04516566533656688	0	0	24.92740926157697	140.8740938987485	ITGA4;DUSP1
