Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	3/200	0.012951499605550441	0.12951499605550446	0	0	6.539615978812624	28.42472661929245	DUSP1;DNAJB4;PNRC1
MSigDB_Hallmark_2020	Hypoxia	3/200	0.012951499605550441	0.12951499605550446	0	0	6.539615978812624	28.42472661929245	AKAP12;DUSP1;PNRC1
MSigDB_Hallmark_2020	G2-M Checkpoint	2/200	0.08621893825800953	0.2873964608600318	0	0	4.24521813883516	10.404458354124065	CDKN2C;LMNB1
MSigDB_Hallmark_2020	Allograft Rejection	2/200	0.08621893825800953	0.2873964608600318	0	0	4.24521813883516	10.404458354124065	IL10;GZMB
MSigDB_Hallmark_2020	Complement	2/200	0.08621893825800953	0.2873964608600318	0	0	4.24521813883516	10.404458354124065	GZMB;HSPA1A
MSigDB_Hallmark_2020	E2F Targets	2/200	0.08621893825800953	0.2873964608600318	0	0	4.24521813883516	10.404458354124065	CDKN2C;LMNB1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1/74	0.1662773462428849	0.3892456229672477	0	0	5.6729452054794525	10.17782035237302	PNRC1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1/87	0.19254806017668188	0.3892456229672477	0	0	4.8122577519379846	7.927759104072992	ITGA4
MSigDB_Hallmark_2020	Androgen Response	1/100	0.21800735103248006	0.3892456229672477	0	0	4.177609427609427	6.3634453718666375	AKAP12
MSigDB_Hallmark_2020	UV Response Dn	1/144	0.2984777090044541	0.3892456229672477	0	0	2.8857808857808864	3.4890823117534304	DUSP1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1/158	0.3223371204330746	0.3892456229672477	0	0	2.626592356687898	2.9737157718145637	HSPH1
MSigDB_Hallmark_2020	UV Response Up	1/158	0.3223371204330746	0.3892456229672477	0	0	2.626592356687898	2.9737157718145637	DNAJB1
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	0.3877304897677703	0.3892456229672477	0	0	2.0783880471380467	1.969157936659925	LMNB1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1/199	0.3877304897677703	0.3892456229672477	0	0	2.0783880471380467	1.969157936659925	IL10
MSigDB_Hallmark_2020	Adipogenesis	1/200	0.3892456229672477	0.3892456229672477	0	0	2.0678391959799	1.9510987409424116	CDKN2C
MSigDB_Hallmark_2020	Estrogen Response Early	1/200	0.3892456229672477	0.3892456229672477	0	0	2.0678391959799	1.9510987409424116	MYBL1
MSigDB_Hallmark_2020	KRAS Signaling Up	1/200	0.3892456229672477	0.3892456229672477	0	0	2.0678391959799	1.9510987409424116	AKAP12
MSigDB_Hallmark_2020	KRAS Signaling Dn	1/200	0.3892456229672477	0.3892456229672477	0	0	2.0678391959799	1.9510987409424116	CPEB3
MSigDB_Hallmark_2020	Apical Junction	1/200	0.3892456229672477	0.3892456229672477	0	0	2.0678391959799	1.9510987409424116	LAYN
MSigDB_Hallmark_2020	Inflammatory Response	1/200	0.3892456229672477	0.3892456229672477	0	0	2.0678391959799	1.9510987409424116	IL10
